subject,direction,gain_previous_aggregation,gain_frozen_order,difference,changed,loss_previous,loss_frozen
1,arithmetic_to_stroop,0,0,0,False,False,False
1,stroop_to_arithmetic,0,0,0,False,False,False
2,arithmetic_to_stroop,0.33333333333333331,0.33333333333333331,0,False,False,False
2,stroop_to_arithmetic,-0.33333333333333331,0,0.33333333333333331,True,True,False
3,arithmetic_to_stroop,-0.33333333333333331,-0.33333333333333331,0,False,True,True
3,stroop_to_arithmetic,0,0,0,False,False,False
4,arithmetic_to_stroop,0,0,0,False,False,False
4,stroop_to_arithmetic,-0.33333333333333331,-0.33333333333333331,0,False,True,True
5,arithmetic_to_stroop,0,0,0,False,False,False
5,stroop_to_arithmetic,0,0,0,False,False,False
6,arithmetic_to_stroop,0,0,0,False,False,False
6,stroop_to_arithmetic,0.66666666666666674,0.33333333333333331,-0.33333333333333343,True,False,False
7,arithmetic_to_stroop,0,0,0,False,False,False
7,stroop_to_arithmetic,0,-0.33333333333333331,-0.33333333333333331,True,False,True
8,arithmetic_to_stroop,0,0,0,False,False,False
8,stroop_to_arithmetic,0,0,0,False,False,False
9,arithmetic_to_stroop,0,0,0,False,False,False
9,stroop_to_arithmetic,0,0,0,False,False,False
10,arithmetic_to_stroop,0,0.33333333333333331,0.33333333333333331,True,False,False
10,stroop_to_arithmetic,-0.33333333333333331,-0.33333333333333331,0,False,True,True
11,arithmetic_to_stroop,0.66666666666666663,0.66666666666666663,0,False,False,False
11,stroop_to_arithmetic,0,0,0,False,False,False
12,arithmetic_to_stroop,0,0,0,False,False,False
12,stroop_to_arithmetic,-0.33333333333333331,-0.33333333333333331,0,False,True,True
13,arithmetic_to_stroop,0,0,0,False,False,False
13,stroop_to_arithmetic,-0.66666666666666663,-0.33333333333333331,0.33333333333333331,True,True,True
