source_family,contrast_label,n_participants,mean_difference_pp,ci95_low_pp,ci95_high_pp,primary_raw_p,sensitivity_wilcoxon_raw_p,bh_adjusted_p_exact_79,bh_adjusted_p_wilcoxon_79_sensitivity,exact_bh_significant_0_05,wilcoxon_bh_significant_0_05
legacy_65,Arithmetic to Stroop | Neural-classical stacking,13,0,-7.6923076923076925,9.6153846153846168,1,0.63101970092217508,1,0.99466338110432129,False,False
legacy_65,Arithmetic to Stroop | Random forest,13,-1.9230769230769231,-13.461538461538462,9.6153846153846168,1,0.68616784985523915,1,1,False,False
legacy_65,Arithmetic to Stroop | Extra Trees,13,-1.9230769230769231,-13.461538461538462,9.6153846153846168,1,0.59727633852587014,1,0.99466338110432129,False,False
legacy_65,Arithmetic to Stroop | Fixed blend (10%),13,0,0,0,1,1,1,1,False,False
legacy_65,Arithmetic to Stroop | Fixed blend (25%),13,0,0,0,1,1,1,1,False,False
legacy_65,Arithmetic to Stroop | Equal blend (50%),13,0,0,0,1,1,1,1,False,False
legacy_65,Arithmetic to Stroop | OOF recording-level stacking,13,11.538461538461538,-9.6153846153846168,34.615384615384613,0.4375,0.5279447062535767,1,0.99466338110432129,False,False
legacy_65,Arithmetic to Stroop | DASF,13,0,-7.6923076923076925,9.6153846153846168,1,0.63101970092217508,1,0.99466338110432129,False,False
legacy_65,Arithmetic to Stroop | CB-SF,13,0,-5.7692307692307692,5.7692307692307692,1,1,1,1,False,False
legacy_65,Arithmetic to Stroop | Riemannian TS-LR,13,-5.7692307692307692,-15.384615384615383,0,0.5,0.1576311601786051,1,0.95791243493152334,False,False
legacy_65,Arithmetic to Stroop | Riemannian MDM,13,9.6153846153846168,-5.7692307692307692,26.923076923076923,0.40625,0.47965220016467958,1,0.99466338110432129,False,False
legacy_65,Arithmetic to Stroop | EEGNet,13,0,-17.307692307692307,15.384615384615383,1,1,1,1,False,False
legacy_65,Arithmetic to Stroop | EEG-Conformer,13,7.6923076923076925,-7.6923076923076925,26.923076923076923,0.625,0.8172282863239031,1,1,False,False
legacy_65,Bidirectional cross-task | Neural-classical stacking,13,-1.9230769230769231,-10.576923076923077,6.7307692307692308,0.8359375,0.64212446121924538,1,0.99466338110432129,False,False
legacy_65,Bidirectional cross-task | Random forest,13,-2.8846153846153846,-11.538461538461538,5.7692307692307692,0.6875,0.4650851471978289,1,0.99466338110432129,False,False
legacy_65,Bidirectional cross-task | Extra Trees,13,-0.96153846153846156,-7.6923076923076925,6.7307692307692308,1,0.5637028616507731,1,0.99466338110432129,False,False
legacy_65,Bidirectional cross-task | Fixed blend (10%),13,1.9230769230769231,0,5.7692307692307692,1,0.31731050786291409,1,0.99466338110432129,False,False
legacy_65,Bidirectional cross-task | Fixed blend (25%),13,2.8846153846153846,0,7.6923076923076925,0.5,0.1576311601786051,1,0.95791243493152334,False,False
legacy_65,Bidirectional cross-task | Equal blend (50%),13,0.96153846153846156,-3.8461538461538463,6.7307692307692308,1,0.93090123504037758,1,1,False,False
legacy_65,Bidirectional cross-task | OOF recording-level stacking,13,3.8461538461538463,-6.7307692307692308,15.384615384615383,0.640625,0.80171854935113807,1,1,False,False
legacy_65,Bidirectional cross-task | DASF,13,-1.9230769230769231,-9.6153846153846168,6.7307692307692308,0.828125,0.58488188024016241,1,0.99466338110432129,False,False
legacy_65,Bidirectional cross-task | CB-SF,13,1.9230769230769231,-2.8846153846153846,7.6923076923076925,0.75,0.59864184325500436,1,0.99466338110432129,False,False
legacy_65,Bidirectional cross-task | Riemannian TS-LR,13,-2.8846153846153846,-9.6153846153846168,3.8461538461538463,0.6171875,0.53759619918098667,1,0.99466338110432129,False,False
legacy_65,Bidirectional cross-task | Riemannian MDM,13,3.8461538461538463,-5.7692307692307692,14.423076923076922,0.5859375,0.63657491080679007,1,0.99466338110432129,False,False
legacy_65,Bidirectional cross-task | EEGNet,13,1.9230769230769231,-7.6923076923076925,12.5,0.875,0.94205182242562258,1,1,False,False
legacy_65,Bidirectional cross-task | EEG-Conformer,13,6.7307692307692308,-3.8461538461538463,20.192307692307693,0.5,0.53772985084887936,1,0.99466338110432129,False,False
legacy_65,Stroop to Arithmetic | Neural-classical stacking,13,-3.8461538461538463,-21.153846153846157,13.461538461538462,0.84375,0.51199220429708381,1,0.99466338110432129,False,False
legacy_65,Stroop to Arithmetic | Random forest,13,-3.8461538461538463,-13.461538461538462,7.6923076923076925,0.75,0.24032466564725899,1,0.99466338110432129,False,False
legacy_65,Stroop to Arithmetic | Extra Trees,13,0,-7.6923076923076925,9.6153846153846168,1,0.63101970092217508,1,0.99466338110432129,False,False
legacy_65,Stroop to Arithmetic | Fixed blend (10%),13,3.8461538461538463,0,11.538461538461538,1,0.31731050786291409,1,0.99466338110432129,False,False
legacy_65,Stroop to Arithmetic | Fixed blend (25%),13,5.7692307692307692,0,15.384615384615383,0.5,0.1576311601786051,1,0.95791243493152334,False,False
legacy_65,Stroop to Arithmetic | Equal blend (50%),13,1.9230769230769231,-7.6923076923076925,11.538461538461538,1,0.93090123504037758,1,1,False,False
legacy_65,Stroop to Arithmetic | OOF recording-level stacking,13,-3.8461538461538463,-17.307692307692307,9.6153846153846168,0.78125,0.46409272472775892,1,0.99466338110432129,False,False
legacy_65,Stroop to Arithmetic | DASF,13,-3.8461538461538463,-19.230769230769237,13.461538461538462,0.84375,0.4650851471978289,1,0.99466338110432129,False,False
legacy_65,Stroop to Arithmetic | CB-SF,13,3.8461538461538463,-7.6923076923076925,17.307692307692307,0.875,0.93090123504037758,1,1,False,False
legacy_65,Stroop to Arithmetic | Riemannian TS-LR,13,0,-13.461538461538462,13.461538461538462,1,1,1,1,False,False
legacy_65,Stroop to Arithmetic | Riemannian MDM,13,-1.9230769230769231,-13.461538461538462,7.6923076923076925,1,0.93090123504037758,1,1,False,False
legacy_65,Stroop to Arithmetic | EEGNet,13,3.8461538461538463,-5.7692307692307692,15.384615384615383,0.75,0.59864184325500436,1,0.99466338110432129,False,False
legacy_65,Stroop to Arithmetic | EEG-Conformer,13,5.7692307692307692,-3.8461538461538463,17.307692307692307,0.53125,0.37387874466417131,1,0.99466338110432129,False,False
legacy_65,Arithmetic LOSO | Neural-classical stacking,15,0,-10,8.3333333333333304,1,0.73160058895990132,1,1,False,False
legacy_65,Arithmetic LOSO | Random forest,15,-5,-15,3.333333333333333,0.53125,0.37977547484094892,1,0.99466338110432129,False,False
legacy_65,Arithmetic LOSO | Extra Trees,15,0,-8.3333333333333304,8.3333333333333304,1,1,1,1,False,False
legacy_65,Arithmetic LOSO | Fixed blend (10%),15,0,0,0,1,1,1,1,False,False
legacy_65,Arithmetic LOSO | Fixed blend (25%),15,-1.6666666666666667,-5,0,1,0.31731050786291409,1,0.99466338110432129,False,False
legacy_65,Arithmetic LOSO | Equal blend (50%),15,-5,-10,0,0.25,0.083264516663550406,1,0.95791243493152334,False,False
legacy_65,Arithmetic LOSO | OOF recording-level stacking,15,3.333333333333333,-5,11.666666666666666,0.6875,0.41421617824252521,1,0.99466338110432129,False,False
legacy_65,Arithmetic LOSO | DASF,15,0,0,0,1,1,1,1,False,False
legacy_65,Arithmetic LOSO | CB-SF,15,-1.6666666666666667,-6.666666666666667,3.333333333333333,1,0.5637028616507731,1,0.99466338110432129,False,False
legacy_65,Arithmetic LOSO | Riemannian TS-LR,15,1.6666666666666667,-11.666666666666666,11.666666666666666,1,0.41684582371528711,1,0.99466338110432129,False,False
legacy_65,Arithmetic LOSO | Riemannian MDM,15,-5,-16.666666666666664,6.666666666666667,0.59375,0.57405574720078811,1,0.99466338110432129,False,False
