dataset,setting,setting_display,comparison_family,primary_metric,reference_method,reference_display,method,method_display,n_participants,reference_mean,method_mean,mean_paired_difference,mean_paired_difference_pp,median_paired_difference,paired_difference_sd,standardized_paired_effect_dz,paired_rank_biserial,participants_method_better,participants_equal,participants_method_worse,common_language_superiority,ci95_percentile_low,ci95_percentile_high,ci95_percentile_low_pp,ci95_percentile_high_pp,wilcoxon_statistic,wilcoxon_raw_p,wilcoxon_status,wilcoxon_zero_method,wilcoxon_calculation,n_zero_differences,n_nonzero_differences,wilcoxon_bh_39_26_sensitivity,wilcoxon_bh_65_primary,wilcoxon_significant_39_26_sensitivity,wilcoxon_significant_65_primary,exact_two_sided_sign_flip_p,sign_flip_bh_65,sign_flip_bh_39_26_sensitivity,sign_flip_significant_65,family_policy
openbci,cross_task_arithmetic_to_stroop,Arithmetic to Stroop,direction_specific_26_posthoc,balanced_accuracy,always_nn,Feature-MLP (neural reference),always_fuse,Neural-classical stacking,13,0.48076923076923078,0.48076923076923078,0,0,0,0.17677669529663689,0,-0.27777777777777779,1,10,2,0.46153846153846156,-0.076923076923076927,0.096153846153846159,-7.6923076923076925,9.6153846153846168,13,0.63101970092217519,approx_pratt_no_correction,pratt,"two-sided approximate, no continuity correction",10,3,1,0.97065325533141766,False,False,1,1,1,False,primary: all 65 against Feature-MLP; separate 39/26 only sensitivity
openbci,cross_task_arithmetic_to_stroop,Arithmetic to Stroop,direction_specific_26_posthoc,balanced_accuracy,always_nn,Feature-MLP (neural reference),rf,Random forest,13,0.48076923076923078,0.46153846153846156,-0.019230769230769232,-1.9230769230769231,0,0.23851839686075713,-0.080625936967016504,-0.18181818181818182,2,8,3,0.46153846153846156,-0.13461538461538461,0.096153846153846159,-13.461538461538462,9.6153846153846168,22.5,0.68616784985523926,approx_pratt_no_correction,pratt,"two-sided approximate, no continuity correction",8,5,1,0.99113133867978997,False,False,1,1,1,False,primary: all 65 against Feature-MLP; separate 39/26 only sensitivity
openbci,cross_task_arithmetic_to_stroop,Arithmetic to Stroop,direction_specific_26_posthoc,balanced_accuracy,always_nn,Feature-MLP (neural reference),extra_trees,Extra Trees,13,0.48076923076923078,0.46153846153846156,-0.019230769230769232,-1.9230769230769231,0,0.21557912462564408,-0.089205155017507892,-0.30555555555555558,1,10,2,0.46153846153846156,-0.13461538461538461,0.096153846153846159,-13.461538461538462,9.6153846153846168,12.5,0.59727633852587014,approx_pratt_no_correction,pratt,"two-sided approximate, no continuity correction",10,3,1,0.97065325533141766,False,False,1,1,1,False,primary: all 65 against Feature-MLP; separate 39/26 only sensitivity
openbci,cross_task_arithmetic_to_stroop,Arithmetic to Stroop,direction_specific_26_posthoc,balanced_accuracy,always_nn,Feature-MLP (neural reference),fixed_blend_010,Fixed blend (10%),13,0.48076923076923078,0.48076923076923078,0,0,0,0,,0,0,13,0,0.5,0,0,0,0,0,1,all_zero_p_assigned_1,pratt,"two-sided approximate, no continuity correction",13,0,1,1,False,False,1,1,1,False,primary: all 65 against Feature-MLP; separate 39/26 only sensitivity
openbci,cross_task_arithmetic_to_stroop,Arithmetic to Stroop,direction_specific_26_posthoc,balanced_accuracy,always_nn,Feature-MLP (neural reference),fixed_blend_025,Fixed blend (25%),13,0.48076923076923078,0.48076923076923078,0,0,0,0,,0,0,13,0,0.5,0,0,0,0,0,1,all_zero_p_assigned_1,pratt,"two-sided approximate, no continuity correction",13,0,1,1,False,False,1,1,1,False,primary: all 65 against Feature-MLP; separate 39/26 only sensitivity
openbci,cross_task_arithmetic_to_stroop,Arithmetic to Stroop,direction_specific_26_posthoc,balanced_accuracy,always_nn,Feature-MLP (neural reference),equal_blend_050,Equal blend (50%),13,0.48076923076923078,0.48076923076923078,0,0,0,0,,0,0,13,0,0.5,0,0,0,0,0,1,all_zero_p_assigned_1,pratt,"two-sided approximate, no continuity correction",13,0,1,1,False,False,1,1,1,False,primary: all 65 against Feature-MLP; separate 39/26 only sensitivity
openbci,cross_task_arithmetic_to_stroop,Arithmetic to Stroop,direction_specific_26_posthoc,balanced_accuracy,always_nn,Feature-MLP (neural reference),stack_recording,OOF recording-level stacking,13,0.48076923076923078,0.59615384615384615,0.11538461538461539,11.538461538461538,0,0.41602514716892186,0.27735009811261457,0.24285714285714285,4,6,3,0.53846153846153844,-0.096153846153846159,0.34615384615384615,-9.6153846153846168,34.615384615384613,26.5,0.5279447062535767,approx_pratt_no_correction,pratt,"two-sided approximate, no continuity correction",6,7,1,0.97065325533141766,False,False,0.4375,1,1,False,primary: all 65 against Feature-MLP; separate 39/26 only sensitivity
openbci,cross_task_arithmetic_to_stroop,Arithmetic to Stroop,direction_specific_26_posthoc,balanced_accuracy,always_nn,Feature-MLP (neural reference),dasf_clean,DASF,13,0.48076923076923078,0.48076923076923078,0,0,0,0.17677669529663689,0,-0.27777777777777779,1,10,2,0.46153846153846156,-0.076923076923076927,0.096153846153846159,-7.6923076923076925,9.6153846153846168,13,0.63101970092217519,approx_pratt_no_correction,pratt,"two-sided approximate, no continuity correction",10,3,1,0.97065325533141766,False,False,1,1,1,False,primary: all 65 against Feature-MLP; separate 39/26 only sensitivity
openbci,cross_task_arithmetic_to_stroop,Arithmetic to Stroop,direction_specific_26_posthoc,balanced_accuracy,always_nn,Feature-MLP (neural reference),cbsf,CB-SF,13,0.48076923076923078,0.48076923076923078,0,0,0,0.10206207261596575,0,0,1,11,1,0.5,-0.057692307692307696,0.057692307692307696,-5.7692307692307692,5.7692307692307692,12.5,1,approx_pratt_no_correction,pratt,"two-sided approximate, no continuity correction",11,2,1,1,False,False,1,1,1,False,primary: all 65 against Feature-MLP; separate 39/26 only sensitivity
openbci,cross_task_arithmetic_to_stroop,Arithmetic to Stroop,direction_specific_26_posthoc,balanced_accuracy,always_nn,Feature-MLP (neural reference),riemann_ts_logreg,Riemannian TS-LR,13,0.48076923076923078,0.42307692307692307,-0.057692307692307696,-5.7692307692307692,0,0.14978617237881953,-0.38516444325982163,-1,0,11,2,0.42307692307692307,-0.15384615384615385,0,-15.384615384615385,0,0,0.15763116017860512,approx_pratt_no_correction,pratt,"two-sided approximate, no continuity correction",11,2,1,0.97065325533141766,False,False,0.5,1,1,False,primary: all 65 against Feature-MLP; separate 39/26 only sensitivity
