contrast,setting,method,reference_method,n_participants,method_mean,reference_mean,mean_difference,mean_difference_pp,median_difference,sd_difference,ci95_low,ci95_high,ci95_low_pp,ci95_high_pp,better,tied,worse,rank_biserial,exact_sign_flip_p,wilcoxon_pratt_statistic,wilcoxon_pratt_raw_p,n_zero_differences,n_nonzero_differences,bh_adjusted_p_exact_sign_flip_14_family,bh_adjusted_p_wilcoxon_14_family_sensitivity,bh_adjusted_p_14_family,bh_significant_0_05
loso_arithmetic:heldout DASF vs Feature-MLP,loso_arithmetic,dasf_heldout_gain,feature_mlp,15,0.6,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,15,0,0.0,1.0,0.0,1.0,15,0,1.0,1.0,1.0,False
loso_arithmetic:heldout DASF vs original DASF,loso_arithmetic,dasf_heldout_gain,dasf_original,15,0.6,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,15,0,0.0,1.0,0.0,1.0,15,0,1.0,1.0,1.0,False
loso_arithmetic:heldout CB-SF vs Feature-MLP,loso_arithmetic,cbsf_heldout_gain,feature_mlp,15,0.6,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,15,0,0.0,1.0,0.0,1.0,15,0,1.0,1.0,1.0,False
loso_arithmetic:heldout CB-SF vs original CB-SF,loso_arithmetic,cbsf_heldout_gain,cbsf_original,15,0.6,0.5833333333333334,0.016666666666666666,1.6666666666666667,0.0,0.11443442705426585,-0.03333333333333333,0.06666666666666667,-3.3333333333333335,6.666666666666667,2,12,1,0.3333333333333333,1.0,14.0,0.5637028616507731,12,3,1.0,0.9864800078888529,1.0,False
loso_stroop:heldout DASF vs Feature-MLP,loso_stroop,dasf_heldout_gain,feature_mlp,13,0.6538461538461539,0.6538461538461539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,13,0,0.0,1.0,0.0,1.0,13,0,1.0,1.0,1.0,False
loso_stroop:heldout DASF vs original DASF,loso_stroop,dasf_heldout_gain,dasf_original,13,0.6538461538461539,0.6538461538461539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,13,0,0.0,1.0,0.0,1.0,13,0,1.0,1.0,1.0,False
loso_stroop:heldout CB-SF vs Feature-MLP,loso_stroop,cbsf_heldout_gain,feature_mlp,13,0.5769230769230769,0.6538461538461539,-0.07692307692307693,-7.6923076923076925,0.0,0.18776690404970267,-0.19230769230769232,0.0,-19.230769230769234,0.0,0,11,2,-1.0,0.5,0.0,0.15729920705028516,11,2,1.0,0.44136724850009434,1.0,False
loso_stroop:heldout CB-SF vs original CB-SF,loso_stroop,cbsf_heldout_gain,cbsf_original,13,0.5769230769230769,0.5769230769230769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,13,0,0.0,1.0,0.0,1.0,13,0,1.0,1.0,1.0,False
cross_task_arithmetic_to_stroop:target-task-gain CB-SF vs Feature-MLP,cross_task_arithmetic_to_stroop,cbsf_target_task_gain,feature_mlp,13,0.5,0.4807692307692308,0.019230769230769232,1.9230769230769231,0.0,0.06933752452815364,0.0,0.057692307692307696,0.0,5.769230769230769,1,12,0,1.0,1.0,0.0,0.31731050786291415,12,1,1.0,0.6346210157258282,1.0,False
cross_task_arithmetic_to_stroop:target-task-gain CB-SF vs original CB-SF,cross_task_arithmetic_to_stroop,cbsf_target_task_gain,cbsf_original,13,0.5,0.4807692307692308,0.019230769230769232,1.9230769230769231,0.0,0.06933752452815364,0.0,0.057692307692307696,0.0,5.769230769230769,1,12,0,1.0,1.0,0.0,0.31731050786291415,12,1,1.0,0.6346210157258282,1.0,False
cross_task_stroop_to_arithmetic:target-task-gain CB-SF vs Feature-MLP,cross_task_stroop_to_arithmetic,cbsf_target_task_gain,feature_mlp,13,0.5961538461538461,0.5,0.09615384615384616,9.615384615384617,0.0,0.24019223070763066,0.0,0.23076923076923078,0.0,23.076923076923077,2,11,0,1.0,0.5,0.0,0.15763116017860512,11,2,1.0,0.44136724850009434,1.0,False
cross_task_stroop_to_arithmetic:target-task-gain CB-SF vs original CB-SF,cross_task_stroop_to_arithmetic,cbsf_target_task_gain,cbsf_original,13,0.5961538461538461,0.5384615384615384,0.057692307692307696,5.769230769230769,0.0,0.10963225241337865,0.0,0.11538461538461539,0.0,11.538461538461538,3,10,0,1.0,0.25,0.0,0.0832645166635504,10,3,1.0,0.3918987831713592,1.0,False
cross_task_bidirectional:target-task-gain CB-SF vs Feature-MLP,cross_task_bidirectional,cbsf_target_task_gain,feature_mlp,13,0.5480769230769231,0.49038461538461536,0.057692307692307696,5.769230769230769,0.0,0.12092724025585566,0.0,0.125,0.0,12.5,3,10,0,1.0,0.25,0.0,0.08397831067957696,10,3,1.0,0.3918987831713592,1.0,False
cross_task_bidirectional:target-task-gain CB-SF vs original CB-SF,cross_task_bidirectional,cbsf_target_task_gain,cbsf_original,13,0.5480769230769231,0.5096153846153846,0.038461538461538464,3.8461538461538463,0.0,0.06004805767690767,0.009615384615384616,0.0673076923076923,0.9615384615384616,6.730769230769231,4,9,0,1.0,0.125,0.0,0.0455002638963584,9,4,1.0,0.3918987831713592,1.0,False
