protocol,direction,subject,method,recording_balanced_accuracy
cross_task,arithmetic_to_stroop,1,cbsf_original,0.5
cross_task,arithmetic_to_stroop,1,cbsf_target_task_gain,0.5
cross_task,arithmetic_to_stroop,1,dasf_original,0.5
cross_task,arithmetic_to_stroop,1,feature_mlp,0.5
cross_task,arithmetic_to_stroop,2,cbsf_original,0.5
cross_task,arithmetic_to_stroop,2,cbsf_target_task_gain,0.5
cross_task,arithmetic_to_stroop,2,dasf_original,0.5
cross_task,arithmetic_to_stroop,2,feature_mlp,0.5
cross_task,arithmetic_to_stroop,3,cbsf_original,0.75
cross_task,arithmetic_to_stroop,3,cbsf_target_task_gain,0.75
cross_task,arithmetic_to_stroop,3,dasf_original,0.5
cross_task,arithmetic_to_stroop,3,feature_mlp,0.75
cross_task,arithmetic_to_stroop,4,cbsf_original,0.5
cross_task,arithmetic_to_stroop,4,cbsf_target_task_gain,0.5
cross_task,arithmetic_to_stroop,4,dasf_original,0.5
cross_task,arithmetic_to_stroop,4,feature_mlp,0.5
cross_task,arithmetic_to_stroop,5,cbsf_original,0.0
cross_task,arithmetic_to_stroop,5,cbsf_target_task_gain,0.0
cross_task,arithmetic_to_stroop,5,dasf_original,0.0
cross_task,arithmetic_to_stroop,5,feature_mlp,0.0
cross_task,arithmetic_to_stroop,6,cbsf_original,0.5
cross_task,arithmetic_to_stroop,6,cbsf_target_task_gain,0.75
cross_task,arithmetic_to_stroop,6,dasf_original,0.5
cross_task,arithmetic_to_stroop,6,feature_mlp,0.75
cross_task,arithmetic_to_stroop,7,cbsf_original,0.5
cross_task,arithmetic_to_stroop,7,cbsf_target_task_gain,0.5
cross_task,arithmetic_to_stroop,7,dasf_original,0.5
cross_task,arithmetic_to_stroop,7,feature_mlp,0.5
cross_task,arithmetic_to_stroop,8,cbsf_original,0.5
cross_task,arithmetic_to_stroop,8,cbsf_target_task_gain,0.5
cross_task,arithmetic_to_stroop,8,dasf_original,0.5
cross_task,arithmetic_to_stroop,8,feature_mlp,0.5
cross_task,arithmetic_to_stroop,9,cbsf_original,0.5
cross_task,arithmetic_to_stroop,9,cbsf_target_task_gain,0.5
cross_task,arithmetic_to_stroop,9,dasf_original,0.5
cross_task,arithmetic_to_stroop,9,feature_mlp,0.5
cross_task,arithmetic_to_stroop,10,cbsf_original,0.5
cross_task,arithmetic_to_stroop,10,cbsf_target_task_gain,0.5
cross_task,arithmetic_to_stroop,10,dasf_original,0.25
cross_task,arithmetic_to_stroop,10,feature_mlp,0.25
cross_task,arithmetic_to_stroop,11,cbsf_original,0.0
cross_task,arithmetic_to_stroop,11,cbsf_target_task_gain,0.0
cross_task,arithmetic_to_stroop,11,dasf_original,0.5
cross_task,arithmetic_to_stroop,11,feature_mlp,0.0
cross_task,arithmetic_to_stroop,12,cbsf_original,0.5
cross_task,arithmetic_to_stroop,12,cbsf_target_task_gain,0.5
cross_task,arithmetic_to_stroop,12,dasf_original,0.5
cross_task,arithmetic_to_stroop,12,feature_mlp,0.5
cross_task,arithmetic_to_stroop,13,cbsf_original,1.0
cross_task,arithmetic_to_stroop,13,cbsf_target_task_gain,1.0
cross_task,arithmetic_to_stroop,13,dasf_original,1.0
cross_task,arithmetic_to_stroop,13,feature_mlp,1.0
cross_task,stroop_to_arithmetic,1,cbsf_original,0.75
cross_task,stroop_to_arithmetic,1,cbsf_target_task_gain,0.75
cross_task,stroop_to_arithmetic,1,dasf_original,0.5
cross_task,stroop_to_arithmetic,1,feature_mlp,0.75
cross_task,stroop_to_arithmetic,2,cbsf_original,0.5
cross_task,stroop_to_arithmetic,2,cbsf_target_task_gain,0.75
cross_task,stroop_to_arithmetic,2,dasf_original,0.75
cross_task,stroop_to_arithmetic,2,feature_mlp,0.75
cross_task,stroop_to_arithmetic,3,cbsf_original,0.5
cross_task,stroop_to_arithmetic,3,cbsf_target_task_gain,0.5
cross_task,stroop_to_arithmetic,3,dasf_original,0.5
cross_task,stroop_to_arithmetic,3,feature_mlp,0.5
cross_task,stroop_to_arithmetic,4,cbsf_original,1.0
cross_task,stroop_to_arithmetic,4,cbsf_target_task_gain,1.0
cross_task,stroop_to_arithmetic,4,dasf_original,0.75
cross_task,stroop_to_arithmetic,4,feature_mlp,1.0
cross_task,stroop_to_arithmetic,5,cbsf_original,0.0
cross_task,stroop_to_arithmetic,5,cbsf_target_task_gain,0.0
cross_task,stroop_to_arithmetic,5,dasf_original,0.0
cross_task,stroop_to_arithmetic,5,feature_mlp,0.0
cross_task,stroop_to_arithmetic,6,cbsf_original,1.0
cross_task,stroop_to_arithmetic,6,cbsf_target_task_gain,1.0
cross_task,stroop_to_arithmetic,6,dasf_original,1.0
cross_task,stroop_to_arithmetic,6,feature_mlp,0.25
cross_task,stroop_to_arithmetic,7,cbsf_original,0.5
cross_task,stroop_to_arithmetic,7,cbsf_target_task_gain,0.5
cross_task,stroop_to_arithmetic,7,dasf_original,0.75
cross_task,stroop_to_arithmetic,7,feature_mlp,0.5
cross_task,stroop_to_arithmetic,8,cbsf_original,0.5
cross_task,stroop_to_arithmetic,8,cbsf_target_task_gain,0.75
cross_task,stroop_to_arithmetic,8,dasf_original,0.25
cross_task,stroop_to_arithmetic,8,feature_mlp,0.25
cross_task,stroop_to_arithmetic,9,cbsf_original,0.5
cross_task,stroop_to_arithmetic,9,cbsf_target_task_gain,0.5
cross_task,stroop_to_arithmetic,9,dasf_original,0.5
cross_task,stroop_to_arithmetic,9,feature_mlp,0.5
cross_task,stroop_to_arithmetic,10,cbsf_original,0.5
cross_task,stroop_to_arithmetic,10,cbsf_target_task_gain,0.5
cross_task,stroop_to_arithmetic,10,dasf_original,0.0
cross_task,stroop_to_arithmetic,10,feature_mlp,0.5
cross_task,stroop_to_arithmetic,11,cbsf_original,0.5
cross_task,stroop_to_arithmetic,11,cbsf_target_task_gain,0.5
cross_task,stroop_to_arithmetic,11,dasf_original,0.5
cross_task,stroop_to_arithmetic,11,feature_mlp,0.5
cross_task,stroop_to_arithmetic,12,cbsf_original,0.25
cross_task,stroop_to_arithmetic,12,cbsf_target_task_gain,0.5
