protocol,direction,method,n_recordings,n_class_0,n_class_1,accuracy,balanced_accuracy,sensitivity,specificity,precision,f1,log_loss,brier_score,auroc,pr_auc,average_precision,subject
cross_task,arithmetic_to_stroop,cbsf_target_task_gain,39,13,26,0.53846153846153844,0.5,0.61538461538461542,0.38461538461538464,0.66666666666666663,0.64000000000000001,1.1372225293081375,0.32596112059397914,0.47337278106508873,0.6168000920306167,0.64127015156647638,
cross_task,stroop_to_arithmetic,cbsf_target_task_gain,39,13,26,0.58974358974358976,0.59615384615384615,0.57692307692307687,0.61538461538461542,0.75,0.65217391304347827,2.6551275826068652,0.34931546919630729,0.54142011834319526,0.71096752504716521,0.72424770611917644,
loso,arithmetic,cbsf_double_exclusion_gain,60,30,30,0.59999999999999998,0.59999999999999998,0.46666666666666667,0.73333333333333328,0.63636363636363635,0.53846153846153844,0.71031836165211004,0.25279834139530027,0.66555555555555557,0.60416512999779126,0.62558922367471193,
loso,arithmetic,dasf_double_exclusion_gain,60,30,30,0.59999999999999998,0.59999999999999998,0.46666666666666667,0.73333333333333328,0.63636363636363635,0.53846153846153844,0.98751459292941113,0.311996958484273,0.65555555555555545,0.5687233934770185,0.59074626638176808,
loso,stroop,cbsf_double_exclusion_gain,52,26,26,0.57692307692307687,0.57692307692307687,0.53846153846153844,0.61538461538461542,0.58333333333333337,0.56000000000000005,0.85399460622395007,0.27335972508149542,0.63461538461538458,0.64966703686001381,0.66040000344710326,
loso,stroop,dasf_double_exclusion_gain,52,26,26,0.65384615384615385,0.65384615384615385,0.53846153846153844,0.76923076923076927,0.69999999999999996,0.60869565217391308,1.5272289981767133,0.2958734681813005,0.63165680473372776,0.70475691021449194,0.71085036696457748,
cross_task,arithmetic_to_stroop,cbsf_target_task_gain,3,1,2,0.66666666666666663,0.5,1,0,0.66666666666666663,0.80000000000000004,0.68098866310954065,0.25242648337044421,0.5,0.79166666666666663,0.83333333333333326,1
cross_task,arithmetic_to_stroop,cbsf_target_task_gain,3,1,2,0.33333333333333331,0.5,0,1,,0,0.87681626285034708,0.33805579434851868,1,1,1,2
cross_task,arithmetic_to_stroop,cbsf_target_task_gain,3,1,2,0.66666666666666663,0.75,0.5,1,1,0.66666666666666663,0.35116298546127883,0.11870613908917609,1,1,1,3
cross_task,arithmetic_to_stroop,cbsf_target_task_gain,3,1,2,0.66666666666666663,0.5,1,0,0.66666666666666663,0.80000000000000004,3.7892924247498949,0.33332563129904447,0,0.41666666666666663,0.58333333333333326,4
