Method,Bidirectional cross-task,Arithmetic LOSO,Stroop LOSO
Always neural,52.88 (45.19-60.58),58.33 (50.00-66.67),61.54 (53.85-71.15)
Always fused,50.96 (44.23-57.69),63.33 (56.67-71.67),57.69 (50.00-65.38)
Random forest,56.73 (46.15-66.35),51.67 (41.67-60.00),57.69 (51.92-63.46)
Extra Trees,57.69 (49.04-66.35),51.67 (45.00-58.33),53.85 (44.23-63.46)
Fixed blend (10%),52.88 (46.15-59.62),58.33 (50.00-68.33),59.62 (51.92-69.23)
Fixed blend (25%),54.81 (47.12-61.54),58.33 (50.00-66.67),59.62 (51.92-69.23)
Equal blend (50%),55.77 (47.12-65.38),60.00 (51.67-68.33),61.54 (53.85-71.15)
OOF recording-level stacking,49.04 (42.31-55.77),60.00 (51.67-68.33),59.62 (50.00-67.31)
DASF,46.15 (39.42-52.88),58.33 (50.00-66.67),61.54 (53.85-71.15)
CB-SF,50.00 (43.27-56.73),60.00 (51.67-68.33),59.62 (51.92-69.23)
Riemannian TS-LR,47.12 (41.35-51.92),50.00 (45.00-55.00),57.69 (51.92-63.46)
Riemannian MDM,53.85 (48.05-61.54),53.33 (50.00-58.33),53.85 (50.00-59.62)
EEGNet,50.00 (40.38-58.65),61.67 (53.33-68.33),67.31 (59.62-75.00)
EEG-Conformer,50.00 (40.38-59.62),66.67 (60.00-75.00),63.46 (57.69-69.23)
