Analysis setting,Method,Participants,Always-neural mean,Method mean,Paired difference (pp),Difference 95% CI low (pp),Difference 95% CI high (pp),Paired effect dz,Rank-biserial effect,Raw Wilcoxon p,Reporting-family BH p,All-65 BH p,Participants better,Participants tied,Participants worse,Superiority established
Arithmetic to Stroop,DASF,13,0.5384615384615384,0.4615384615384615,-7.6923076923076925,-17.307692307692307,0.0,-0.4880711008692506,-1.0,0.0837998634229303,0.6660578265883708,0.7019612122691796,0,10,3,False
Arithmetic to Stroop,CB-SF,13,0.5384615384615384,0.4807692307692307,-5.769230769230769,-11.538461538461538,0.0,-0.5262348115842175,-1.0,0.0832645166635504,0.6660578265883708,0.7019612122691796,0,10,3,False
Stroop to Arithmetic,DASF,13,0.5192307692307692,0.4615384615384615,-5.769230769230769,-13.461538461538462,1.9230769230769231,-0.3851644432598216,-0.5999999999999999,0.1797124948789997,0.6675035524077134,0.7019612122691796,1,8,4,False
Stroop to Arithmetic,CB-SF,13,0.5192307692307692,0.5192307692307692,0.0,-9.615384615384617,9.615384615384617,0.0,0.0,1.0,1.0,1.0,3,7,3,False
Bidirectional cross-task,DASF,13,0.5288461538461539,0.4615384615384615,-6.730769230769231,-13.461538461538462,-0.9615384615384616,-0.5565966126844862,-0.7142857142857143,0.0832645166635504,0.6700538844387623,0.7019612122691796,1,7,5,False
Bidirectional cross-task,CB-SF,13,0.5288461538461539,0.5,-2.8846153846153846,-8.653846153846153,2.8846153846153846,-0.2489933810139309,-0.2894736842105263,0.4174054351308553,0.6940966653838903,0.7306280688251477,3,5,5,False
Arithmetic LOSO,DASF,15,0.5833333333333333,0.5833333333333333,0.0,0.0,0.0,,0.0,1.0,1.0,1.0,0,15,0,False
Arithmetic LOSO,CB-SF,15,0.5833333333333333,0.5999999999999999,1.6666666666666667,0.0,5.0,0.2581988897471611,1.0,0.3173105078629141,0.6700538844387623,0.7019612122691796,1,14,0,False
Stroop LOSO,DASF,13,0.6153846153846154,0.6153846153846154,0.0,0.0,0.0,,0.0,1.0,1.0,1.0,0,13,0,False
Stroop LOSO,CB-SF,13,0.6153846153846154,0.5961538461538461,-1.9230769230769231,-5.769230769230769,0.0,-0.2773500981126145,-1.0,0.3173105078629141,0.6700538844387623,0.7019612122691796,0,12,1,False
