Analysis setting,Method,Participants,Balanced accuracy,Participant SD,Participant median,95% CI low,95% CI high
Arithmetic to Stroop,Always neural,13,0.5384615384615384,0.1721843079302986,0.5,0.4615384615384615,0.6346153846153845
Arithmetic to Stroop,Always fused,13,0.5384615384615384,0.2467740583964122,0.5,0.423076923076923,0.6730769230769231
Arithmetic to Stroop,Random forest,13,0.6153846153846154,0.2192645048267573,0.5,0.5,0.7307692307692307
Arithmetic to Stroop,Extra Trees,13,0.5576923076923077,0.2729821070495844,0.5,0.423076923076923,0.6923076923076922
Arithmetic to Stroop,Fixed blend (10%),13,0.5192307692307692,0.1233870291982061,0.5,0.4615384615384615,0.5769230769230768
Arithmetic to Stroop,Fixed blend (25%),13,0.5192307692307692,0.1233870291982061,0.5,0.4615384615384615,0.5769230769230768
Arithmetic to Stroop,Equal blend (50%),13,0.5384615384615384,0.1721843079302986,0.5,0.4615384615384615,0.6346153846153845
Arithmetic to Stroop,OOF recording-level stacking,13,0.5,0.2700308624336608,0.5,0.3653846153846153,0.6346153846153845
Arithmetic to Stroop,DASF,13,0.4615384615384615,0.1386750490563072,0.5,0.3846153846153846,0.5384615384615384
Arithmetic to Stroop,CB-SF,13,0.4807692307692307,0.1233870291982061,0.5,0.423076923076923,0.5384615384615384
Arithmetic to Stroop,Riemannian TS-LR,13,0.4615384615384615,0.1721843079302986,0.5,0.3653846153846153,0.5384615384615384
Arithmetic to Stroop,Riemannian MDM,13,0.5,0.1767766952966368,0.5,0.423076923076923,0.5961538461538461
Arithmetic to Stroop,EEGNet,13,0.4807692307692307,0.1601281538050871,0.5,0.3846153846153846,0.5576923076923077
Arithmetic to Stroop,EEG-Conformer,13,0.4423076923076922,0.2080125735844609,0.5,0.3269230769230769,0.5384615384615384
Stroop to Arithmetic,Always neural,13,0.5192307692307692,0.2594372608313853,0.5,0.3846153846153846,0.6538461538461539
Stroop to Arithmetic,Always fused,13,0.4807692307692307,0.215579124625644,0.5,0.3653846153846153,0.5961538461538461
Stroop to Arithmetic,Random forest,13,0.5192307692307692,0.2594372608313854,0.5,0.3846153846153846,0.6538461538461539
Stroop to Arithmetic,Extra Trees,13,0.5961538461538461,0.217429623155726,0.5,0.5,0.7115384615384615
Stroop to Arithmetic,Fixed blend (10%),13,0.5384615384615384,0.2670470044095282,0.5,0.4038461538461538,0.6730769230769231
Stroop to Arithmetic,Fixed blend (25%),13,0.5769230769230768,0.2773500981126145,0.5,0.423076923076923,0.7115384615384615
Stroop to Arithmetic,Equal blend (50%),13,0.5769230769230768,0.257888367819121,0.5,0.4423076923076922,0.7115384615384615
Stroop to Arithmetic,OOF recording-level stacking,13,0.4807692307692307,0.1898886313281875,0.5,0.3846153846153846,0.5769230769230768
Stroop to Arithmetic,DASF,13,0.4615384615384615,0.2246792585682292,0.5,0.3461538461538461,0.5769230769230768
Stroop to Arithmetic,CB-SF,13,0.5192307692307692,0.215579124625644,0.5,0.4038461538461538,0.6346153846153845
Stroop to Arithmetic,Riemannian TS-LR,13,0.4807692307692307,0.1233870291982061,0.5,0.423076923076923,0.5384615384615384
Stroop to Arithmetic,Riemannian MDM,13,0.5769230769230768,0.2137126035662776,0.5,0.4807692307692307,0.6923076923076922
Stroop to Arithmetic,EEGNet,13,0.5192307692307692,0.3139389945637405,0.5,0.3461538461538461,0.6735576923076853
Stroop to Arithmetic,EEG-Conformer,13,0.5576923076923077,0.2914376390171616,0.5,0.4038461538461538,0.7115384615384615
Bidirectional cross-task,Always neural,13,0.5288461538461539,0.1457188195085808,0.5,0.4519230769230769,0.6057692307692307
Bidirectional cross-task,Always fused,13,0.5096153846153845,0.1297186304156927,0.5,0.4423076923076922,0.5769230769230768
Bidirectional cross-task,Random forest,13,0.5673076923076922,0.1882995771881359,0.625,0.4615384615384615,0.6634615384615384
Bidirectional cross-task,Extra Trees,13,0.5769230769230768,0.1656620362557766,0.625,0.4903846153846153,0.6634615384615384
Bidirectional cross-task,Fixed blend (10%),13,0.5288461538461539,0.1364910535247922,0.5,0.4615384615384615,0.5961538461538461
Bidirectional cross-task,Fixed blend (25%),13,0.5480769230769231,0.1304884806783479,0.625,0.4711538461538461,0.6153846153846154
Bidirectional cross-task,Equal blend (50%),13,0.5576923076923077,0.181252763020496,0.5,0.4711538461538461,0.6538461538461539
Bidirectional cross-task,OOF recording-level stacking,13,0.4903846153846153,0.1393954437691194,0.5,0.423076923076923,0.5576923076923077
Bidirectional cross-task,DASF,13,0.4615384615384615,0.1289441839095605,0.5,0.3942307692307692,0.5288461538461539
Bidirectional cross-task,CB-SF,13,0.5,0.125,0.5,0.4326923076923077,0.5673076923076922
Bidirectional cross-task,Riemannian TS-LR,13,0.4711538461538461,0.1040062867922304,0.5,0.4134615384615384,0.5192307692307692
Bidirectional cross-task,Riemannian MDM,13,0.5384615384615384,0.1289441839095605,0.5,0.4805288461538463,0.6153846153846154
Bidirectional cross-task,EEGNet,13,0.5,0.1767766952966368,0.5,0.4038461538461538,0.5865384615384615
Bidirectional cross-task,EEG-Conformer,13,0.5,0.1839950180484968,0.5,0.4038461538461538,0.5961538461538461
Arithmetic LOSO,Always neural,15,0.5833333333333333,0.1809367161139365,0.5,0.5,0.6666666666666666
Arithmetic LOSO,Always fused,15,0.6333333333333333,0.1599851183555461,0.5,0.5666666666666667,0.7166666666666666
Arithmetic LOSO,Random forest,15,0.5166666666666667,0.199702159179495,0.5,0.4166666666666666,0.5999999999999999
Arithmetic LOSO,Extra Trees,15,0.5166666666666667,0.1484042099261659,0.5,0.45,0.5833333333333333
Arithmetic LOSO,Fixed blend (10%),15,0.5833333333333333,0.1809367161139365,0.5,0.5,0.6833333333333333
Arithmetic LOSO,Fixed blend (25%),15,0.5833333333333333,0.1809367161139365,0.5,0.5,0.6666666666666666
Arithmetic LOSO,Equal blend (50%),15,0.5999999999999999,0.1841970994032518,0.5,0.5166666666666667,0.6833333333333333
Arithmetic LOSO,OOF recording-level stacking,15,0.5999999999999999,0.1841970994032518,0.5,0.5166666666666667,0.6833333333333333
Arithmetic LOSO,DASF,15,0.5833333333333333,0.1809367161139365,0.5,0.5,0.6666666666666666
Arithmetic LOSO,CB-SF,15,0.5999999999999999,0.1841970994032518,0.5,0.5166666666666667,0.6833333333333333
Arithmetic LOSO,Riemannian TS-LR,15,0.5,0.0944911182523067,0.5,0.45,0.55
Arithmetic LOSO,Riemannian MDM,15,0.5333333333333333,0.0879664438186245,0.5,0.5,0.5833333333333333
Arithmetic LOSO,EEGNet,15,0.6166666666666667,0.1599851183555461,0.75,0.5333333333333333,0.6833333333333333
Arithmetic LOSO,EEG-Conformer,15,0.6666666666666666,0.1543033499620919,0.75,0.5999999999999999,0.75
Stroop LOSO,Always neural,13,0.6153846153846154,0.1650563229433812,0.5,0.5384615384615384,0.7115384615384615
Stroop LOSO,Always fused,13,0.5769230769230768,0.1576062929890287,0.5,0.5,0.6538461538461539
Stroop LOSO,Random forest,13,0.5769230769230768,0.1200961153538153,0.5,0.5192307692307692,0.6346153846153845
Stroop LOSO,Extra Trees,13,0.5384615384615384,0.2001601922563589,0.5,0.4423076923076922,0.6346153846153845
Stroop LOSO,Fixed blend (10%),13,0.5961538461538461,0.1626109088969977,0.5,0.5192307692307692,0.6923076923076922
Stroop LOSO,Fixed blend (25%),13,0.5961538461538461,0.1626109088969977,0.5,0.5192307692307692,0.6923076923076922
Stroop LOSO,Equal blend (50%),13,0.6153846153846154,0.1650563229433812,0.5,0.5384615384615384,0.7115384615384615
Stroop LOSO,OOF recording-level stacking,13,0.5961538461538461,0.1626109088969977,0.5,0.5,0.6730769230769231
Stroop LOSO,DASF,13,0.6153846153846154,0.1650563229433812,0.5,0.5384615384615384,0.7115384615384615
Stroop LOSO,CB-SF,13,0.5961538461538461,0.1626109088969977,0.5,0.5192307692307692,0.6923076923076922
Stroop LOSO,Riemannian TS-LR,13,0.5769230769230768,0.1200961153538153,0.5,0.5192307692307692,0.6346153846153845
Stroop LOSO,Riemannian MDM,13,0.5384615384615384,0.0938834520248513,0.5,0.5,0.5961538461538461
Stroop LOSO,EEGNet,13,0.6730769230769231,0.1576062929890287,0.75,0.5961538461538461,0.75
Stroop LOSO,EEG-Conformer,13,0.6346153846153845,0.1297186304156927,0.75,0.5769230769230768,0.6923076923076922
