Analysis setting,Method,n_participants,n_recordings,n_class_0,n_class_1,accuracy,balanced_accuracy,sensitivity,specificity,precision,f1,auroc,pr_auc,average_precision,log_loss,brier_score,ece_5_bins,maximum_calibration_error_5_bins,calibration_intercept,calibration_slope,calibration_fit_status
Arithmetic to Stroop,Always fused,13,39,13,26,0.5897435897435896,0.5384615384615384,0.6923076923076922,0.3846153846153846,0.6923076923076922,0.6923076923076922,0.4940828402366863,0.6690639400374125,0.683343319660861,0.8364879062754214,0.2626002323166431,0.2210590690897319,0.3325920755930349,0.6936566960212118,-0.0010231984940229,estimated
Arithmetic to Stroop,Always neural,13,39,13,26,0.641025641025641,0.5384615384615384,0.8461538461538461,0.2307692307692307,0.6875,0.7586206896551723,0.5266272189349112,0.6884510459157176,0.7023496129342546,1.268879009183338,0.3104728628784447,0.2815380734753724,0.6422238925019186,0.6669333180055323,0.0101382412257525,estimated
Arithmetic to Stroop,CB-SF,13,39,13,26,0.5897435897435896,0.4807692307692307,0.8076923076923077,0.1538461538461538,0.65625,0.7241379310344827,0.4319526627218934,0.6596312894155096,0.6734772394899516,0.8153520661604543,0.2501342938246026,0.1434538235183919,0.3327454503841965,0.6872326097464355,0.0074924927112971,estimated
Arithmetic to Stroop,DASF,13,39,13,26,0.5128205128205127,0.4615384615384615,0.6153846153846154,0.3076923076923077,0.64,0.6274509803921569,0.4289940828402367,0.6462588911839348,0.6607749930369932,1.1507201021424007,0.3284118135491856,0.2867494844200892,0.8792903522054683,0.768809876619723,-0.0535613001237839,estimated
Arithmetic to Stroop,EEG-Conformer,13,39,13,26,0.5384615384615384,0.4423076923076922,0.7307692307692307,0.1538461538461538,0.6333333333333333,0.6785714285714286,0.5680473372781065,0.7306766432875236,0.7406481146602601,0.9458296996549584,0.2783356609532649,0.2330359854685938,0.4198223430656085,0.4974907202179162,0.1066228548846596,estimated
Arithmetic to Stroop,EEGNet,13,39,13,26,0.6153846153846154,0.4807692307692307,0.8846153846153845,0.0769230769230769,0.6571428571428571,0.7540983606557377,0.4674556213017751,0.6826130321546493,0.6922741445950257,1.30948984183176,0.2828768871693881,0.2092986350151687,0.6602822032474133,0.718915932385914,-0.0093131177698114,estimated
Arithmetic to Stroop,Equal blend (50%),13,39,13,26,0.641025641025641,0.5384615384615384,0.8461538461538461,0.2307692307692307,0.6875,0.7586206896551723,0.5177514792899408,0.7131840239985696,0.7254384905271191,0.8186703665148611,0.246351434841662,0.1404004904665185,0.4231323926670876,0.6788838371765946,0.0149089991476841,estimated
Arithmetic to Stroop,Extra Trees,13,39,13,26,0.641025641025641,0.5576923076923077,0.8076923076923077,0.3076923076923077,0.6999999999999998,0.75,0.5857988165680473,0.7223820000597684,0.7329139838356566,0.7741837405991989,0.2354804146525912,0.1198965641278606,0.1942466013743173,0.6097331887875522,0.0711567892231005,estimated
Arithmetic to Stroop,Fixed blend (10%),13,39,13,26,0.6153846153846154,0.5192307692307692,0.8076923076923077,0.2307692307692307,0.6774193548387096,0.7368421052631579,0.5177514792899409,0.6956617136351853,0.7090024942509695,0.9279990187056104,0.2698981731539609,0.1825070941438769,0.3594712686124217,0.663673048037408,0.0189210196723735,estimated
Arithmetic to Stroop,Fixed blend (25%),13,39,13,26,0.6153846153846154,0.5192307692307692,0.8076923076923077,0.2307692307692307,0.6774193548387096,0.7368421052631579,0.5147928994082839,0.7007595502714834,0.7136671885310483,0.8572885036661788,0.2552097323513503,0.160678943465341,0.7017521230884429,0.6699915769578308,0.01871277139574,estimated
