Analysis setting,Comparison family,Primary metric,Reference,Method,n_participants,reference_mean,method_mean,mean_paired_difference_pp,ci95_percentile_low_pp,ci95_percentile_high_pp,standardized_paired_effect_dz,paired_rank_biserial,participants_method_better,participants_equal,participants_method_worse,wilcoxon_raw_p,wilcoxon_status,n_zero_differences,n_nonzero_differences,bh_adjusted_p_reporting_family,bh_adjusted_p_single_family_65_sensitivity,superiority_established
Arithmetic to Stroop,26 direction-specific comparisons,balanced_accuracy,Always neural,Always fused,13,0.5384615384615384,0.5384615384615384,0.0,-15.384615384615383,15.384615384615383,0.0,-0.0714285714285714,3,6,4,0.8522802934356507,approx_pratt_no_correction,6,7,1.0,1.0,False
Arithmetic to Stroop,26 direction-specific comparisons,balanced_accuracy,Always neural,Random forest,13,0.5384615384615384,0.6153846153846154,7.6923076923076925,-1.9230769230769231,17.307692307692307,0.4096732451993513,0.618181818181818,4,8,1,0.1686298379731362,approx_pratt_no_correction,8,5,0.6675035524077134,0.7019612122691796,False
Arithmetic to Stroop,26 direction-specific comparisons,balanced_accuracy,Always neural,Extra Trees,13,0.5384615384615384,0.5576923076923077,1.9230769230769231,-11.538461538461538,15.384615384615383,0.0806259369670165,0.1818181818181818,3,8,2,0.6861678498552392,approx_pratt_no_correction,8,5,0.892018204811811,0.8686082529655916,False
Arithmetic to Stroop,26 direction-specific comparisons,balanced_accuracy,Always neural,Fixed blend (10%),13,0.5384615384615384,0.5192307692307692,-1.9230769230769231,-5.769230769230769,0.0,-0.2773500981126145,-1.0,0,12,1,0.3173105078629141,approx_pratt_no_correction,12,1,0.6875061003696473,0.7019612122691796,False
Arithmetic to Stroop,26 direction-specific comparisons,balanced_accuracy,Always neural,Fixed blend (25%),13,0.5384615384615384,0.5192307692307692,-1.9230769230769231,-5.769230769230769,0.0,-0.2773500981126145,-1.0,0,12,1,0.3173105078629141,approx_pratt_no_correction,12,1,0.6875061003696473,0.7019612122691796,False
Arithmetic to Stroop,26 direction-specific comparisons,balanced_accuracy,Always neural,Equal blend (50%),13,0.5384615384615384,0.5384615384615384,0.0,-5.769230769230769,5.769230769230769,0.0,0.0,1,11,1,1.0,approx_pratt_no_correction,11,2,1.0,1.0,False
Arithmetic to Stroop,26 direction-specific comparisons,balanced_accuracy,Always neural,OOF recording-level stacking,13,0.5384615384615384,0.5,-3.8461538461538463,-21.153846153846157,13.461538461538462,-0.1144259135381246,-0.1571428571428571,3,6,4,0.6813223261500249,approx_pratt_no_correction,6,7,0.892018204811811,0.8686082529655916,False
Arithmetic to Stroop,26 direction-specific comparisons,balanced_accuracy,Always neural,DASF,13,0.5384615384615384,0.4615384615384615,-7.6923076923076925,-17.307692307692307,0.0,-0.4880711008692506,-1.0,0,10,3,0.0837998634229303,approx_pratt_no_correction,10,3,0.6660578265883708,0.7019612122691796,False
Arithmetic to Stroop,26 direction-specific comparisons,balanced_accuracy,Always neural,CB-SF,13,0.5384615384615384,0.4807692307692307,-5.769230769230769,-11.538461538461538,0.0,-0.5262348115842175,-1.0,0,10,3,0.0832645166635504,approx_pratt_no_correction,10,3,0.6660578265883708,0.7019612122691796,False
Arithmetic to Stroop,26 direction-specific comparisons,balanced_accuracy,Always neural,Riemannian TS-LR,13,0.5384615384615384,0.4615384615384615,-7.6923076923076925,-19.230769230769237,1.9230769230769231,-0.359937016532678,-0.5434782608695651,1,9,3,0.2788660386828982,approx_pratt_no_correction,9,4,0.6875061003696473,0.7019612122691796,False
Arithmetic to Stroop,26 direction-specific comparisons,balanced_accuracy,Always neural,Riemannian MDM,13,0.5384615384615384,0.5,-3.8461538461538463,-13.461538461538462,3.8461538461538463,-0.223374237314982,-0.3611111111111111,1,10,2,0.5323782283120907,approx_pratt_no_correction,10,3,0.8162004593157953,0.8279089321611763,False
Arithmetic to Stroop,26 direction-specific comparisons,balanced_accuracy,Always neural,EEGNet,13,0.5384615384615384,0.4807692307692307,-5.769230769230769,-17.307692307692307,3.8461538461538463,-0.2773500981126145,-0.3888888888888889,1,10,2,0.501323387246776,approx_pratt_no_correction,10,3,0.8162004593157953,0.8279089321611763,False
Arithmetic to Stroop,26 direction-specific comparisons,balanced_accuracy,Always neural,EEG-Conformer,13,0.5384615384615384,0.4423076923076922,-9.615384615384617,-21.153846153846157,1.9230769230769231,-0.4422297420116461,-0.6363636363636364,1,8,4,0.1572992070502851,approx_pratt_no_correction,8,5,0.6675035524077134,0.7019612122691796,False
Bidirectional cross-task,39 complete-setting comparisons,balanced_accuracy,Always neural,Always fused,13,0.5288461538461539,0.5096153846153845,-1.9230769230769231,-11.538461538461538,7.6923076923076925,-0.1051418729623123,-0.125,5,2,6,0.6948866023724733,approx_pratt_no_correction,2,11,0.8468930466414519,0.8686082529655916,False
Bidirectional cross-task,39 complete-setting comparisons,balanced_accuracy,Always neural,Random forest,13,0.5288461538461539,0.5673076923076922,3.8461538461538463,-2.8846153846153846,10.576923076923077,0.298280521814887,0.3289473684210526,5,5,3,0.3600262696880028,approx_pratt_no_correction,5,8,0.6700538844387623,0.7019612122691796,False
Bidirectional cross-task,39 complete-setting comparisons,balanced_accuracy,Always neural,Extra Trees,13,0.5288461538461539,0.5769230769230768,4.807692307692308,-3.8461538461538463,13.461538461538462,0.2902108664334773,0.4210526315789473,6,5,2,0.2432427057426568,approx_pratt_no_correction,5,8,0.6700538844387623,0.7019612122691796,False
Bidirectional cross-task,39 complete-setting comparisons,balanced_accuracy,Always neural,Fixed blend (10%),13,0.5288461538461539,0.5288461538461539,0.0,-2.8846153846153846,2.8846153846153846,0.0,0.0,1,11,1,1.0,approx_pratt_no_correction,11,2,1.0,1.0,False
Bidirectional cross-task,39 complete-setting comparisons,balanced_accuracy,Always neural,Fixed blend (25%),13,0.5288461538461539,0.5480769230769231,1.9230769230769231,-1.9230769230769231,5.769230769230769,0.2773500981126145,0.5,3,9,1,0.3173105078629141,approx_pratt_no_correction,9,4,0.6700538844387623,0.7019612122691796,False
Bidirectional cross-task,39 complete-setting comparisons,balanced_accuracy,Always neural,Equal blend (50%),13,0.5288461538461539,0.5576923076923077,2.8846153846153846,-3.8461538461538463,10.576923076923077,0.211340986102904,0.1857142857142857,4,6,3,0.6257555454400946,approx_pratt_no_correction,6,7,0.8102229893125542,0.8473773011167947,False
Bidirectional cross-task,39 complete-setting comparisons,balanced_accuracy,Always neural,OOF recording-level stacking,13,0.5288461538461539,0.4903846153846153,-3.8461538461538463,-14.423076923076922,5.769230769230769,-0.1987207131701751,-0.188235294117647,5,3,5,0.5691834713460703,approx_pratt_no_correction,3,10,0.805070065067075,0.8279089321611763,False
Bidirectional cross-task,39 complete-setting comparisons,balanced_accuracy,Always neural,DASF,13,0.5288461538461539,0.4615384615384615,-6.730769230769231,-13.461538461538462,-0.9615384615384616,-0.5565966126844862,-0.7142857142857143,1,7,5,0.0832645166635504,approx_pratt_no_correction,7,6,0.6700538844387623,0.7019612122691796,False
