Section,Analysis setting,Method,Metric,Outer cells,Seeds,"Inner folds per outer seed, minimum","Inner folds per outer seed, maximum",Outer-training participants,Outer-training recordings,Inner-training participants,Inner-training recordings,Inner-validation participants,Inner-validation recordings,Outer-test recordings,Minimum inner-training windows,Median inner-training windows,Maximum inner-training windows,Seed mean,Seed standard deviation,Seed minimum,Seed maximum,Seed range,Interpretation
Inner-split sample structure,Arithmetic to Stroop,All model-selection components,Sample structure,13.0,5,2.0,2.0,1.0,4.0,1.0,2.0,1.0,2.0,3.0,82.0,336.0,836.0,,,,,,Complete disjoint inner-fold structure; windows are not independent sample units.
Inner-split sample structure,Stroop to Arithmetic,All model-selection components,Sample structure,13.0,5,2.0,2.0,1.0,4.0,1.0,2.0,1.0,2.0,3.0,151.0,308.0,658.0,,,,,,Complete disjoint inner-fold structure; windows are not independent sample units.
Inner-split sample structure,Arithmetic LOSO,All model-selection components,Sample structure,15.0,1,14.0,14.0,14.0,56.0,13.0,52.0,1.0,4.0,4.0,8645.0,9366.0,9871.0,,,,,,Complete disjoint inner-fold structure; windows are not independent sample units.
Inner-split sample structure,Stroop LOSO,All model-selection components,Sample structure,13.0,1,12.0,12.0,12.0,48.0,11.0,44.0,1.0,4.0,4.0,6631.0,7104.0,7363.0,,,,,,Complete disjoint inner-fold structure; windows are not independent sample units.
Five-seed stability diagnostic,Arithmetic to Stroop,Always fused,Participant-macro recording accuracy,,5,,,,,,,,,,,,,0.5641025641025641,0.0702208407057905,0.5128205128205126,0.641025641025641,0.1282051282051284,Model-randomness diagnostic only; seeds are ensemble members.
Five-seed stability diagnostic,Arithmetic to Stroop,Always fused,Participant-macro recording balanced accuracy,,5,,,,,,,,,,,,,0.5461538461538462,0.0631987566352114,0.5,0.6153846153846154,0.1153846153846154,Model-randomness diagnostic only; seeds are ensemble members.
Five-seed stability diagnostic,Arithmetic to Stroop,Always neural,Participant-macro recording accuracy,,5,,,,,,,,,,,,,0.6256410256410256,0.0292352673102342,0.5897435897435896,0.6666666666666666,0.0769230769230768,Model-randomness diagnostic only; seeds are ensemble members.
Five-seed stability diagnostic,Arithmetic to Stroop,Always neural,Participant-macro recording balanced accuracy,,5,,,,,,,,,,,,,0.5269230769230768,0.0291649055540444,0.5,0.5576923076923077,0.0576923076923077,Model-randomness diagnostic only; seeds are ensemble members.
Five-seed stability diagnostic,Arithmetic to Stroop,EEG-Conformer,Participant-macro recording accuracy,,5,,,,,,,,,,,,,0.605128205128205,0.0429056423863628,0.5384615384615384,0.641025641025641,0.1025641025641026,Model-randomness diagnostic only; seeds are ensemble members.
Five-seed stability diagnostic,Arithmetic to Stroop,EEG-Conformer,Participant-macro recording balanced accuracy,,5,,,,,,,,,,,,,0.5230769230769231,0.0285238403349833,0.4807692307692307,0.5576923076923077,0.0769230769230769,Model-randomness diagnostic only; seeds are ensemble members.
Five-seed stability diagnostic,Arithmetic to Stroop,EEGNet,Participant-macro recording accuracy,,5,,,,,,,,,,,,,0.5846153846153845,0.0380317871133111,0.5384615384615384,0.641025641025641,0.1025641025641026,Model-randomness diagnostic only; seeds are ensemble members.
Five-seed stability diagnostic,Arithmetic to Stroop,EEGNet,Participant-macro recording balanced accuracy,,5,,,,,,,,,,,,,0.4692307692307692,0.0398777718333225,0.423076923076923,0.5192307692307692,0.0961538461538462,Model-randomness diagnostic only; seeds are ensemble members.
Five-seed stability diagnostic,Arithmetic to Stroop,Extra Trees,Participant-macro recording accuracy,,5,,,,,,,,,,,,,0.6512820512820513,0.014044168141158,0.641025641025641,0.6666666666666666,0.0256410256410255,Model-randomness diagnostic only; seeds are ensemble members.
Five-seed stability diagnostic,Arithmetic to Stroop,Extra Trees,Participant-macro recording balanced accuracy,,5,,,,,,,,,,,,,0.5653846153846153,0.0105331261058685,0.5576923076923077,0.5769230769230768,0.0192307692307691,Model-randomness diagnostic only; seeds are ensemble members.
Five-seed stability diagnostic,Arithmetic to Stroop,Random forest,Participant-macro recording accuracy,,5,,,,,,,,,,,,,0.6666666666666667,0.0,0.6666666666666667,0.6666666666666667,0.0,Model-randomness diagnostic only; seeds are ensemble members.
Five-seed stability diagnostic,Arithmetic to Stroop,Random forest,Participant-macro recording balanced accuracy,,5,,,,,,,,,,,,,0.6153846153846154,0.0,0.6153846153846154,0.6153846153846154,0.0,Model-randomness diagnostic only; seeds are ensemble members.
Five-seed stability diagnostic,Arithmetic to Stroop,Riemannian MDM,Participant-macro recording accuracy,,5,,,,,,,,,,,,,0.641025641025641,0.0,0.641025641025641,0.641025641025641,0.0,Model-randomness diagnostic only; seeds are ensemble members.
Five-seed stability diagnostic,Arithmetic to Stroop,Riemannian MDM,Participant-macro recording balanced accuracy,,5,,,,,,,,,,,,,0.5,0.0,0.5,0.5,0.0,Model-randomness diagnostic only; seeds are ensemble members.
Five-seed stability diagnostic,Arithmetic to Stroop,Riemannian TS-LR,Participant-macro recording accuracy,,5,,,,,,,,,,,,,0.5897435897435898,0.0,0.5897435897435898,0.5897435897435898,0.0,Model-randomness diagnostic only; seeds are ensemble members.
Five-seed stability diagnostic,Arithmetic to Stroop,Riemannian TS-LR,Participant-macro recording balanced accuracy,,5,,,,,,,,,,,,,0.4615384615384615,0.0,0.4615384615384615,0.4615384615384615,0.0,Model-randomness diagnostic only; seeds are ensemble members.
Five-seed stability diagnostic,Bidirectional cross-task,Always fused,Participant-macro recording accuracy,,5,,,,,,,,,,,,,0.5282051282051281,0.0378150800096221,0.4743589743589743,0.5641025641025641,0.0897435897435897,Model-randomness diagnostic only; seeds are ensemble members.
Five-seed stability diagnostic,Bidirectional cross-task,Always fused,Participant-macro recording balanced accuracy,,5,,,,,,,,,,,,,0.519230769230769,0.0280334225713716,0.4807692307692307,0.5576923076923077,0.0769230769230769,Model-randomness diagnostic only; seeds are ensemble members.
Five-seed stability diagnostic,Bidirectional cross-task,Always neural,Participant-macro recording accuracy,,5,,,,,,,,,,,,,0.5897435897435896,0.0157018573255332,0.5769230769230768,0.6153846153846154,0.0384615384615385,Model-randomness diagnostic only; seeds are ensemble members.
Five-seed stability diagnostic,Bidirectional cross-task,Always neural,Participant-macro recording balanced accuracy,,5,,,,,,,,,,,,,0.519230769230769,0.0179887374364131,0.5,0.5384615384615384,0.0384615384615384,Model-randomness diagnostic only; seeds are ensemble members.
