Task,Label definition,Analysis role,Metric,Participants,Participant-macro mean,Participant SD,95% CI low,95% CI high
Arithmetic,Natural vs high only,extreme-level sensitivity with intermediate levels excluded,Recording accuracy,15,0.6333333333333333,0.2288688541085317,0.5333333333333333,0.7333333333333332
Arithmetic,Natural vs high only,extreme-level sensitivity with intermediate levels excluded,Recording balanced accuracy,15,0.6333333333333333,0.2288688541085317,0.5333333333333333,0.7666666666666667
Arithmetic,Natural vs high only,extreme-level sensitivity with intermediate levels excluded,Sensitivity,15,0.6666666666666666,0.4879500364742666,0.4,0.8666666666666667
Arithmetic,Natural vs high only,extreme-level sensitivity with intermediate levels excluded,Specificity,15,0.5999999999999999,0.5070925528371099,0.3333333333333333,0.8666666666666667
Arithmetic,Natural vs high only,extreme-level sensitivity with intermediate levels excluded,F1 score,15,0.5333333333333333,0.4140393356054125,0.3333333333333333,0.7333333333333331
Arithmetic,Natural vs high only,extreme-level sensitivity with intermediate levels excluded,AUROC,15,0.9333333333333332,0.2581988897471611,0.8,1.0
Arithmetic,Natural vs high only,extreme-level sensitivity with intermediate levels excluded,PR-AUC,15,0.95,0.1936491673103709,0.8499999999999999,1.0
Arithmetic,Natural vs high only,extreme-level sensitivity with intermediate levels excluded,average_precision,15,0.9666666666666666,0.1290994448735805,0.9,1.0
Arithmetic,Natural vs high only,extreme-level sensitivity with intermediate levels excluded,Log loss,15,1.5825690788093845,1.984005831961192,0.7368729586991107,2.634360221813702
Arithmetic,Natural vs high only,extreme-level sensitivity with intermediate levels excluded,Brier score,15,0.2909580434828182,0.1757545531267714,0.2048204578690748,0.374815734304895
Arithmetic,Natural/low vs medium/high,manuscript primary binary mapping,Recording accuracy,15,0.5833333333333333,0.1219875091185666,0.5333333333333333,0.65
Arithmetic,Natural/low vs medium/high,manuscript primary binary mapping,Recording balanced accuracy,15,0.5833333333333333,0.1219875091185666,0.5333333333333333,0.65
Arithmetic,Natural/low vs medium/high,manuscript primary binary mapping,Sensitivity,15,0.6999999999999998,0.4551294949163996,0.4666666666666666,0.9
Arithmetic,Natural/low vs medium/high,manuscript primary binary mapping,Specificity,15,0.4666666666666666,0.3994043183589901,0.2666666666666666,0.6666666666666666
Arithmetic,Natural/low vs medium/high,manuscript primary binary mapping,F1 score,15,0.5222222222222223,0.3360996324945371,0.3511111111111111,0.6822222222222221
Arithmetic,Natural/low vs medium/high,manuscript primary binary mapping,AUROC,15,0.75,0.2112885636821291,0.65,0.8499999999999999
Arithmetic,Natural/low vs medium/high,manuscript primary binary mapping,PR-AUC,15,0.7555555555555554,0.2340479419978717,0.6388888888888888,0.8666666666666665
Arithmetic,Natural/low vs medium/high,manuscript primary binary mapping,average_precision,15,0.8166666666666667,0.1672608456160331,0.7333333333333332,0.8944444444444444
Arithmetic,Natural/low vs medium/high,manuscript primary binary mapping,Log loss,15,1.2717186539927594,1.041942379472112,0.8250061644045183,1.8347944950814885
