dataset,setting,setting_display,comparison_family,method,method_display,metric,higher_is_better,n_participants,participant_macro_mean,participant_standard_deviation,participant_median,ci95_percentile_low,ci95_percentile_high,ci95_width
openbci,cross_task_arithmetic_to_stroop,Arithmetic to Stroop,direction_specific_26_posthoc,always_fuse,Neural-classical stacking,balanced_accuracy,True,13,0.48076923076923078,0.21557912462564408,0.5,0.36538461538461536,0.59615384615384615,0.23076923076923078
openbci,cross_task_arithmetic_to_stroop,Arithmetic to Stroop,direction_specific_26_posthoc,always_nn,Feature-MLP (neural reference),balanced_accuracy,True,13,0.48076923076923078,0.27879088753823889,0.5,0.32692307692307693,0.61538461538461542,0.28846153846153849
openbci,cross_task_arithmetic_to_stroop,Arithmetic to Stroop,direction_specific_26_posthoc,cbsf,CB-SF,balanced_accuracy,True,13,0.48076923076923078,0.25943726083138541,0.5,0.34615384615384615,0.61538461538461542,0.26923076923076927
openbci,cross_task_arithmetic_to_stroop,Arithmetic to Stroop,direction_specific_26_posthoc,dasf_clean,DASF,balanced_accuracy,True,13,0.48076923076923078,0.21557912462564408,0.5,0.36538461538461536,0.59615384615384615,0.23076923076923078
openbci,cross_task_arithmetic_to_stroop,Arithmetic to Stroop,direction_specific_26_posthoc,eeg_conformer,EEG-Conformer,balanced_accuracy,True,13,0.55769230769230771,0.14978617237881953,0.5,0.5,0.65384615384615385,0.15384615384615385
openbci,cross_task_arithmetic_to_stroop,Arithmetic to Stroop,direction_specific_26_posthoc,eegnet,EEGNet,balanced_accuracy,True,13,0.48076923076923078,0.069337524528153643,0.5,0.44230769230769229,0.5,0.057692307692307709
openbci,cross_task_arithmetic_to_stroop,Arithmetic to Stroop,direction_specific_26_posthoc,equal_blend_050,Equal blend (50%),balanced_accuracy,True,13,0.48076923076923078,0.27879088753823889,0.5,0.32692307692307693,0.61538461538461542,0.28846153846153849
openbci,cross_task_arithmetic_to_stroop,Arithmetic to Stroop,direction_specific_26_posthoc,extra_trees,Extra Trees,balanced_accuracy,True,13,0.46153846153846156,0.17218430793029865,0.5,0.36538461538461536,0.53846153846153844,0.17307692307692307
openbci,cross_task_arithmetic_to_stroop,Arithmetic to Stroop,direction_specific_26_posthoc,fixed_blend_010,Fixed blend (10%),balanced_accuracy,True,13,0.48076923076923078,0.27879088753823889,0.5,0.32692307692307693,0.61538461538461542,0.28846153846153849
openbci,cross_task_arithmetic_to_stroop,Arithmetic to Stroop,direction_specific_26_posthoc,fixed_blend_025,Fixed blend (25%),balanced_accuracy,True,13,0.48076923076923078,0.27879088753823889,0.5,0.32692307692307693,0.61538461538461542,0.28846153846153849
openbci,cross_task_arithmetic_to_stroop,Arithmetic to Stroop,direction_specific_26_posthoc,rf,Random forest,balanced_accuracy,True,13,0.46153846153846156,0.17218430793029865,0.5,0.36538461538461536,0.53846153846153844,0.17307692307692307
openbci,cross_task_arithmetic_to_stroop,Arithmetic to Stroop,direction_specific_26_posthoc,riemann_mdm,Riemannian MDM,balanced_accuracy,True,13,0.57692307692307687,0.23683273335783547,0.5,0.46153846153846156,0.71153846153846156,0.25
openbci,cross_task_arithmetic_to_stroop,Arithmetic to Stroop,direction_specific_26_posthoc,riemann_ts_logreg,Riemannian TS-LR,balanced_accuracy,True,13,0.42307692307692307,0.21371260356627761,0.5,0.30769230769230771,0.51923076923076927,0.21153846153846156
openbci,cross_task_arithmetic_to_stroop,Arithmetic to Stroop,direction_specific_26_posthoc,stack_recording,OOF recording-level stacking,balanced_accuracy,True,13,0.59615384615384615,0.2609769613566959,0.5,0.46153846153846156,0.73076923076923073,0.26923076923076916
openbci,cross_task_bidirectional,Bidirectional cross-task,complete_settings_39_posthoc,always_fuse,Neural-classical stacking,balanced_accuracy,True,13,0.47115384615384615,0.19865331868771036,0.5,0.35576923076923078,0.56730769230769229,0.21153846153846151
openbci,cross_task_bidirectional,Bidirectional cross-task,complete_settings_39_posthoc,always_nn,Feature-MLP (neural reference),balanced_accuracy,True,13,0.49038461538461536,0.20704731281422067,0.5,0.375,0.59615384615384615,0.22115384615384615
openbci,cross_task_bidirectional,Bidirectional cross-task,complete_settings_39_posthoc,cbsf,CB-SF,balanced_accuracy,True,13,0.50961538461538458,0.21324342055560921,0.5,0.39423076923076922,0.61538461538461542,0.2211538461538462
openbci,cross_task_bidirectional,Bidirectional cross-task,complete_settings_39_posthoc,dasf_clean,DASF,balanced_accuracy,True,13,0.47115384615384615,0.20510316353559177,0.5,0.35576923076923078,0.56730769230769229,0.21153846153846151
openbci,cross_task_bidirectional,Bidirectional cross-task,complete_settings_39_posthoc,eeg_conformer,EEG-Conformer,balanced_accuracy,True,13,0.55769230769230771,0.097031253225773106,0.5,0.50961538461538458,0.61538461538461542,0.10576923076923084
openbci,cross_task_bidirectional,Bidirectional cross-task,complete_settings_39_posthoc,eegnet,EEGNet,balanced_accuracy,True,13,0.50961538461538458,0.080064076902543579,0.5,0.47115384615384615,0.55769230769230771,0.086538461538461564
openbci,cross_task_bidirectional,Bidirectional cross-task,complete_settings_39_posthoc,equal_blend_050,Equal blend (50%),balanced_accuracy,True,13,0.5,0.19764235376052372,0.5,0.39423076923076922,0.59615384615384615,0.20192307692307693
openbci,cross_task_bidirectional,Bidirectional cross-task,complete_settings_39_posthoc,extra_trees,Extra Trees,balanced_accuracy,True,13,0.48076923076923078,0.17563985588231101,0.5,0.38461538461538464,0.56730769230769229,0.18269230769230765
openbci,cross_task_bidirectional,Bidirectional cross-task,complete_settings_39_posthoc,fixed_blend_010,Fixed blend (10%),balanced_accuracy,True,13,0.50961538461538458,0.20704731281422067,0.5,0.39423076923076922,0.60576923076923073,0.21153846153846151
openbci,cross_task_bidirectional,Bidirectional cross-task,complete_settings_39_posthoc,fixed_blend_025,Fixed blend (25%),balanced_accuracy,True,13,0.51923076923076927,0.20945212414223044,0.625,0.39423076923076922,0.61538461538461542,0.2211538461538462
openbci,cross_task_bidirectional,Bidirectional cross-task,complete_settings_39_posthoc,rf,Random forest,balanced_accuracy,True,13,0.46153846153846156,0.18669699845141921,0.5,0.35576923076923078,0.54807692307692313,0.19230769230769235
openbci,cross_task_bidirectional,Bidirectional cross-task,complete_settings_39_posthoc,riemann_mdm,Riemannian MDM,balanced_accuracy,True,13,0.52884615384615385,0.14571881950858084,0.5,0.45192307692307693,0.60576923076923073,0.1538461538461538
openbci,cross_task_bidirectional,Bidirectional cross-task,complete_settings_39_posthoc,riemann_ts_logreg,Riemannian TS-LR,balanced_accuracy,True,13,0.46153846153846156,0.16444837862006798,0.5,0.36538461538461536,0.53846153846153844,0.17307692307692307
openbci,cross_task_bidirectional,Bidirectional cross-task,complete_settings_39_posthoc,stack_recording,OOF recording-level stacking,balanced_accuracy,True,13,0.52884615384615385,0.15439605249371186,0.5,0.45192307692307693,0.61538461538461542,0.16346153846153849
openbci,cross_task_stroop_to_arithmetic,Stroop to Arithmetic,direction_specific_26_posthoc,always_fuse,Neural-classical stacking,balanced_accuracy,True,13,0.46153846153846156,0.30355796134747626,0.5,0.30769230769230771,0.61538461538461542,0.30769230769230771
openbci,cross_task_stroop_to_arithmetic,Stroop to Arithmetic,direction_specific_26_posthoc,always_nn,Feature-MLP (neural reference),balanced_accuracy,True,13,0.5,0.25,0.5,0.36538461538461536,0.63461538461538458,0.26923076923076922
openbci,cross_task_stroop_to_arithmetic,Stroop to Arithmetic,direction_specific_26_posthoc,cbsf,CB-SF,balanced_accuracy,True,13,0.53846153846153844,0.26704700440952817,0.5,0.40384615384615385,0.67307692307692313,0.26923076923076927
openbci,cross_task_stroop_to_arithmetic,Stroop to Arithmetic,direction_specific_26_posthoc,dasf_clean,DASF,balanced_accuracy,True,13,0.46153846153846156,0.32025630761017426,0.5,0.28846153846153844,0.63461538461538458,0.34615384615384615
