dataset,setting,setting_display,comparison_family,subject,method,method_display,n_recordings,n_class_0,n_class_1,tn,fp,fn,tp,accuracy,balanced_accuracy,sensitivity,specificity,precision,f1,auroc,pr_auc,average_precision,log_loss,brier_score
openbci,cross_task_bidirectional,Bidirectional cross-task,complete_settings_39_posthoc,1,always_fuse,Neural-classical stacking,6,2,4,0,2,0,4,0.66666666666666663,0.5,1,0,0.66666666666666663,0.80000000000000004,0.75,0.87083333333333335,0.88749999999999996,0.6542422373733997,0.23083428996171382
openbci,cross_task_bidirectional,Bidirectional cross-task,complete_settings_39_posthoc,1,always_nn,Feature-MLP (neural reference),6,2,4,1,1,1,3,0.66666666666666663,0.625,0.75,0.5,0.75,0.75,0.5,0.73124999999999996,0.77083333333333326,0.65225584795485048,0.23478821675679182
openbci,cross_task_bidirectional,Bidirectional cross-task,complete_settings_39_posthoc,1,cbsf,CB-SF,6,2,4,1,1,1,3,0.66666666666666663,0.625,0.75,0.5,0.75,0.75,0.625,0.8354166666666667,0.85416666666666663,0.64057297030147398,0.22449983771241119
openbci,cross_task_bidirectional,Bidirectional cross-task,complete_settings_39_posthoc,1,dasf_clean,DASF,6,2,4,0,2,0,4,0.66666666666666663,0.5,1,0,0.66666666666666663,0.80000000000000004,0.75,0.87083333333333335,0.88749999999999996,0.6542422373733997,0.23083428996171382
openbci,cross_task_bidirectional,Bidirectional cross-task,complete_settings_39_posthoc,1,eeg_conformer,EEG-Conformer,6,2,4,1,1,2,2,0.5,0.5,0.5,0.5,0.66666666666666663,0.5714285714285714,0.75,0.87083333333333335,0.88749999999999996,0.68453234642077376,0.24855252780614481
openbci,cross_task_bidirectional,Bidirectional cross-task,complete_settings_39_posthoc,1,eegnet,EEGNet,6,2,4,2,0,4,0,0.33333333333333331,0.5,0,1,,0,0.625,0.76666666666666661,0.8041666666666667,1.8245730420563515,0.54265847997550321
openbci,cross_task_bidirectional,Bidirectional cross-task,complete_settings_39_posthoc,1,equal_blend_050,Equal blend (50%),6,2,4,1,1,1,3,0.66666666666666663,0.625,0.75,0.5,0.75,0.75,0.625,0.8354166666666667,0.85416666666666663,0.62452041956935478,0.21797942150691432
openbci,cross_task_bidirectional,Bidirectional cross-task,complete_settings_39_posthoc,1,extra_trees,Extra Trees,6,2,4,0,2,0,4,0.66666666666666663,0.5,1,0,0.66666666666666663,0.80000000000000004,0.625,0.76666666666666661,0.8041666666666667,0.65540423351275123,0.2303243946239221
openbci,cross_task_bidirectional,Bidirectional cross-task,complete_settings_39_posthoc,1,fixed_blend_010,Fixed blend (10%),6,2,4,1,1,1,3,0.66666666666666663,0.625,0.75,0.5,0.75,0.75,0.625,0.8354166666666667,0.85416666666666663,0.62139682595714796,0.22017293898266899
openbci,cross_task_bidirectional,Bidirectional cross-task,complete_settings_39_posthoc,1,fixed_blend_025,Fixed blend (25%),6,2,4,1,1,1,3,0.66666666666666663,0.625,0.75,0.5,0.75,0.75,0.625,0.8354166666666667,0.85416666666666663,0.6175378309850742,0.21666574748627945
