Method,Bidirectional cross-task,Arithmetic LOSO,Stroop LOSO
Feature-MLP (neural reference),49.04 (37.50 to 59.62),60.00 (51.67 to 70.00),65.38 (53.85 to 76.92)
Neural-classical stack,47.12 (35.58 to 56.73),60.00 (48.33 to 70.00),63.46 (51.92 to 75.00)
Random forest,46.15 (35.58 to 54.81),55.00 (43.33 to 66.67),55.77 (48.08 to 65.38)
Extra Trees,48.08 (38.46 to 56.73),60.00 (51.67 to 70.00),61.54 (53.85 to 71.15)
Fixed 10% blend,50.96 (39.42 to 60.58),60.00 (51.67 to 70.00),63.46 (50.00 to 75.00)
Fixed 25% blend,51.92 (39.42 to 61.54),58.33 (48.33 to 68.33),63.46 (50.00 to 76.92)
Equal 50% blend,50.00 (39.42 to 59.62),55.00 (45.00 to 65.00),63.46 (50.00 to 76.92)
Recording-level OOF stacker,52.88 (45.19 to 61.54),63.33 (55.00 to 71.67),59.62 (48.08 to 71.15)
DASF,47.12 (35.58 to 56.73),60.00 (51.67 to 70.00),65.38 (53.85 to 76.92)
CB-SF,50.96 (39.42 to 61.54),58.33 (50.00 to 68.33),57.69 (44.23 to 71.15)
Riemannian TS-LR,46.15 (36.54 to 53.85),61.67 (55.00 to 70.00),48.08 (40.38 to 55.77)
Riemannian MDM,52.88 (45.19 to 60.58),55.00 (50.00 to 60.00),61.54 (48.08 to 73.08)
EEGNet,50.96 (47.12 to 55.77),56.67 (50.00 to 65.00),59.62 (51.92 to 69.23)
EEG-Conformer,55.77 (50.96 to 61.54),66.67 (60.00 to 71.67),55.77 (48.08 to 63.46)
