task,family,left,right,n_participants,left_mean,right_mean,mean_difference_pp,ci95_low_pp,ci95_high_pp,wilcoxon_statistic,wilcoxon_raw_p,exact_sign_flip_p,n_zero_differences,n_nonzero_differences,wilcoxon_bh_family6,wilcoxon_bh_all12_sensitivity,sign_flip_bh_family6,sign_flip_bh_all12_sensitivity
arithmetic,primary_six,random_window_88_12,recording_disjoint,15,0.99833333333333329,0.53333333333333333,46.5,38.999999999999993,54.499999999999993,0,0.00062414172423880005,6.103515625e-05,0,15,0.0018724251727164003,0.0018724251727164003,0.00018310546875,0.00018310546875
arithmetic,primary_six,random_window_88_12,participant_disjoint,15,0.99833333333333329,0.55000000000000004,44.833333333333329,39.499999999999993,50,0,0.00029018706942284146,6.103515625e-05,0,15,0.0017411224165370487,0.0017411224165370487,0.00018310546875,0.00018310546875
arithmetic,primary_six,recording_disjoint,participant_disjoint,15,0.53333333333333333,0.55000000000000004,-1.6666666666666667,-11.666666666666666,7.0000000000000009,51.5,0.9535223918760517,0.830078125,5,10,0.9535223918760517,1,0.830078125,0.99609375
arithmetic,fraction_sensitivity_six,random_window_50_50,recording_disjoint,15,1,0.53333333333333333,46.666666666666671,38.999999999999993,54.666666666666671,0,0.00062254813537914757,6.103515625e-05,0,15,0.0018676444061374426,0.0018724251727164003,0.00018310546875,0.00018310546875
arithmetic,fraction_sensitivity_six,random_window_50_50,participant_disjoint,15,1,0.55000000000000004,45,40,50,0,0.00028741416145803287,6.103515625e-05,0,15,0.0017244849687481972,0.0017411224165370487,0.00018310546875,0.00018310546875
arithmetic,fraction_sensitivity_six,random_window_88_12,random_window_50_50,15,0.99833333333333329,1,-0.1666666666666668,-0.50000000000000044,0,0,0.31731050786291415,1,14,1,0.38077260943549696,0.40574030843888309,1,1
stroop,primary_six,random_window_88_12,recording_disjoint,13,1,0.52307692307692311,47.692307692307693,35.769230769230766,58.461538461538453,0,0.0015811947251554073,0.00048828125,1,12,0.0023717920877331109,0.0023717920877331109,0.000732421875,0.000732421875
stroop,primary_six,random_window_88_12,participant_disjoint,13,1,0.59615384615384615,40.384615384615387,30.76923076923077,50,0,0.0013170533382971059,0.00048828125,1,12,0.0023717920877331109,0.0023717920877331109,0.000732421875,0.000732421875
stroop,primary_six,recording_disjoint,participant_disjoint,13,0.52307692307692311,0.59615384615384615,-7.3076923076923066,-20.384615384615383,5.0000000000000009,29,0.33811692369906921,0.328125,3,10,0.40574030843888309,0.40574030843888309,0.39374999999999999,0.4375
stroop,fraction_sensitivity_six,random_window_50_50,recording_disjoint,13,1,0.52307692307692311,47.692307692307693,35.769230769230766,58.461538461538453,0,0.0015811947251554073,0.00048828125,1,12,0.0023717920877331109,0.0023717920877331109,0.000732421875,0.000732421875
stroop,fraction_sensitivity_six,random_window_50_50,participant_disjoint,13,1,0.59615384615384615,40.384615384615387,30.76923076923077,50,0,0.0013170533382971059,0.00048828125,1,12,0.0023717920877331109,0.0023717920877331109,0.000732421875,0.000732421875
stroop,fraction_sensitivity_six,random_window_88_12,random_window_50_50,13,1,1,0,0,0,0,1,1,13,0,1,1,1,1
