dataset,setting,setting_display,comparison_family,method,method_display,metric,higher_is_better,n_participants,participant_macro_mean,participant_standard_deviation,participant_median,ci95_percentile_low,ci95_percentile_high,ci95_width
openbci,cross_task_arithmetic_to_stroop,Arithmetic to Stroop,direction_specific_26_posthoc,always_fuse,Neural-classical stacking,accuracy,True,13,0.5641025641025641,0.25035587206627025,0.66666666666666663,0.43589743589743579,0.69230769230769229,0.2564102564102565
openbci,cross_task_arithmetic_to_stroop,Arithmetic to Stroop,direction_specific_26_posthoc,always_fuse,Neural-classical stacking,balanced_accuracy,True,13,0.48076923076923078,0.21557912462564408,0.5,0.36538461538461536,0.59615384615384615,0.23076923076923078
openbci,cross_task_arithmetic_to_stroop,Arithmetic to Stroop,direction_specific_26_posthoc,always_fuse,Neural-classical stacking,sensitivity,True,13,0.73076923076923073,0.4385290096535146,1,0.5,0.92307692307692313,0.42307692307692313
openbci,cross_task_arithmetic_to_stroop,Arithmetic to Stroop,direction_specific_26_posthoc,always_fuse,Neural-classical stacking,specificity,True,13,0.23076923076923078,0.4385290096535146,0,0,0.46153846153846156,0.46153846153846156
openbci,cross_task_arithmetic_to_stroop,Arithmetic to Stroop,direction_specific_26_posthoc,always_fuse,Neural-classical stacking,precision,True,11,0.62121212121212122,0.23677121037112189,0.66666666666666663,0.46969696969696972,0.72765151515150961,0.25795454545453989
openbci,cross_task_arithmetic_to_stroop,Arithmetic to Stroop,direction_specific_26_posthoc,always_fuse,Neural-classical stacking,f1,True,13,0.60769230769230764,0.36162028533978952,0.80000000000000004,0.40769230769230769,0.77692307692307705,0.36923076923076936
openbci,cross_task_arithmetic_to_stroop,Arithmetic to Stroop,direction_specific_26_posthoc,always_fuse,Neural-classical stacking,auroc,True,13,0.5,0.45643546458763845,0.5,0.26923076923076922,0.73076923076923073,0.46153846153846151
openbci,cross_task_arithmetic_to_stroop,Arithmetic to Stroop,direction_specific_26_posthoc,always_fuse,Neural-classical stacking,pr_auc,True,13,0.72756410256410264,0.26875020704954589,0.79166666666666663,0.58012820512820518,0.86217948717948711,0.28205128205128194
openbci,cross_task_arithmetic_to_stroop,Arithmetic to Stroop,direction_specific_26_posthoc,always_fuse,Neural-classical stacking,average_precision,True,13,0.80128205128205121,0.19105718778116937,0.83333333333333326,0.69871794871794879,0.89743589743589758,0.19871794871794879
openbci,cross_task_arithmetic_to_stroop,Arithmetic to Stroop,direction_specific_26_posthoc,always_fuse,Neural-classical stacking,log_loss,False,13,0.92924548721241473,0.54806385129330193,0.66512637085540138,0.68882485800209692,1.2440643373151901,0.55523947931309314
openbci,cross_task_arithmetic_to_stroop,Arithmetic to Stroop,direction_specific_26_posthoc,always_fuse,Neural-classical stacking,brier_score,False,13,0.27706170063736379,0.079765883194219914,0.23601982457909254,0.24009236573722981,0.32204017362933096,0.081947807892101154
