dataset,protocol,direction,analysis_cell_display,method,method_display,n_participants,n_recordings,n_class_0,n_class_1,tn,fp,fn,tp,accuracy,balanced_accuracy,sensitivity,specificity,precision,f1,auroc,pr_auc,average_precision,log_loss,brier_score,ece_5_bins,maximum_calibration_error_5_bins,calibration_intercept,calibration_slope,calibration_fit_status
openbci,cross_task,arithmetic_to_stroop,Arithmetic to Stroop,always_fuse,Neural-classical stacking,13,39,13,26,3,10,7,19,0.5641025641025641,0.48076923076923073,0.73076923076923073,0.23076923076923078,0.65517241379310343,0.69090909090909092,0.52071005917159763,0.64995758075017074,0.6738863234438075,0.92924548721241473,0.27706170063736385,0.22002681989964284,0.40582030386744589,0.75572678518392067,-0.088839728564947568,estimated
openbci,cross_task,arithmetic_to_stroop,Arithmetic to Stroop,always_nn,Feature-MLP (neural reference),13,39,13,26,5,8,11,15,0.51282051282051277,0.48076923076923073,0.57692307692307687,0.38461538461538464,0.65217391304347827,0.61224489795918369,0.50295857988165671,0.65328235446618443,0.67664836475140178,1.6405616091144541,0.37800078415849586,0.38305056206164301,0.62960305180197762,0.68546869100066288,0.0045977887459372237,estimated
openbci,cross_task,arithmetic_to_stroop,Arithmetic to Stroop,cbsf,CB-SF,13,39,13,26,4,9,9,17,0.53846153846153844,0.48076923076923078,0.65384615384615385,0.30769230769230771,0.65384615384615385,0.65384615384615385,0.48224852071005919,0.63260894801233436,0.65663203258071245,0.90473934648000076,0.27420484852052357,0.19395459252239267,0.39813962334082859,0.72692691685954569,-0.048215125829197646,estimated
openbci,cross_task,arithmetic_to_stroop,Arithmetic to Stroop,dasf_clean,DASF,13,39,13,26,3,10,7,19,0.5641025641025641,0.48076923076923073,0.73076923076923073,0.23076923076923078,0.65517241379310343,0.69090909090909092,0.50887573964497035,0.66216394595873884,0.67671070444900527,1.2562991863948745,0.30377904240964188,0.25341068070965062,0.50738365356957349,0.72896230923087602,-0.027123475300293597,estimated
openbci,cross_task,arithmetic_to_stroop,Arithmetic to Stroop,eeg_conformer,EEG-Conformer,13,39,13,26,3,10,3,23,0.66666666666666663,0.55769230769230771,0.88461538461538458,0.23076923076923078,0.69696969696969702,0.77966101694915257,0.5502958579881656,0.7084102721920239,0.72155468831589231,0.93082696996229308,0.27053669402076769,0.15687187076898351,0.65390406837258241,0.6333982009542769,0.060842455352202354,estimated
openbci,cross_task,arithmetic_to_stroop,Arithmetic to Stroop,eegnet,EEGNet,13,39,13,26,2,11,5,21,0.58974358974358976,0.48076923076923078,0.80769230769230771,0.15384615384615385,0.65625,0.72413793103448276,0.49408284023668636,0.64782919811646589,0.67142504993258156,1.0789430726496543,0.3055477296013574,0.20443206232910921,0.6503538297792133,0.69350847241159264,-0.0015641378164452495,estimated
openbci,cross_task,arithmetic_to_stroop,Arithmetic to Stroop,equal_blend_050,Equal blend (50%),13,39,13,26,5,8,11,15,0.51282051282051277,0.48076923076923073,0.57692307692307687,0.38461538461538464,0.65217391304347827,0.61224489795918369,0.47928994082840232,0.63207216145476675,0.65610907307523225,0.91559554406398858,0.28526551959653557,0.20054940048942954,0.48505907709083479,0.72334725632335284,-0.043624034121526066,estimated
openbci,cross_task,arithmetic_to_stroop,Arithmetic to Stroop,extra_trees,Extra Trees,13,39,13,26,3,10,8,18,0.53846153846153844,0.46153846153846156,0.69230769230769229,0.23076923076923078,0.6428571428571429,0.66666666666666663,0.48224852071005914,0.67332483692800815,0.68729117587646005,1.0834708998366038,0.29722715072172118,0.21341240434089018,0.60098262387169576,0.68999254718531078,0.0040137163455151691,estimated
openbci,cross_task,arithmetic_to_stroop,Arithmetic to Stroop,fixed_blend_010,Fixed blend (10%),13,39,13,26,5,8,11,15,0.51282051282051277,0.48076923076923073,0.57692307692307687,0.38461538461538464,0.65217391304347827,0.61224489795918369,0.50591715976331364,0.65538857329701816,0.67870472990374209,1.1149193169154581,0.33600547182364043,0.31700732663027031,0.56978891085100247,0.70736634998504544,-0.015261145239421311,estimated
openbci,cross_task,arithmetic_to_stroop,Arithmetic to Stroop,fixed_blend_025,Fixed blend (25%),13,39,13,26,5,8,11,15,0.51282051282051277,0.48076923076923073,0.57692307692307687,0.38461538461538464,0.65217391304347827,0.61224489795918369,0.50295857988165671,0.65424297061087,0.67756806986615337,0.99589879979798501,0.30917373672001575,0.26987215905246015,0.46783486953046316,0.71493221717786726,-0.027385888238523618,estimated
