protocol,direction,subject,kind,replicates,full_used_fusion,five_seed_fusion_fraction,five_seed_unanimous,perturbed_fusion_fraction,agreement_with_full_fraction
cross_task,arithmetic_to_stroop,1,leave_one_seed_out,5,True,0.80000000000000004,False,1,1
cross_task,arithmetic_to_stroop,1,seed_row_bootstrap,1000,True,0.80000000000000004,False,0.93000000000000005,0.93000000000000005
cross_task,arithmetic_to_stroop,2,leave_one_seed_out,5,True,1,True,1,1
cross_task,arithmetic_to_stroop,2,seed_row_bootstrap,1000,True,1,True,1,1
cross_task,arithmetic_to_stroop,3,leave_one_seed_out,5,True,0.80000000000000004,False,1,1
cross_task,arithmetic_to_stroop,3,seed_row_bootstrap,1000,True,0.80000000000000004,False,0.81799999999999995,0.81799999999999995
cross_task,arithmetic_to_stroop,4,leave_one_seed_out,5,True,0.80000000000000004,False,1,1
cross_task,arithmetic_to_stroop,4,seed_row_bootstrap,1000,True,0.80000000000000004,False,0.95199999999999996,0.95199999999999996
cross_task,arithmetic_to_stroop,5,leave_one_seed_out,5,True,0.59999999999999998,False,1,1
cross_task,arithmetic_to_stroop,5,seed_row_bootstrap,1000,True,0.59999999999999998,False,0.63700000000000001,0.63700000000000001
cross_task,arithmetic_to_stroop,6,leave_one_seed_out,5,True,0.59999999999999998,False,1,1
cross_task,arithmetic_to_stroop,6,seed_row_bootstrap,1000,True,0.59999999999999998,False,0.69799999999999995,0.69799999999999995
cross_task,arithmetic_to_stroop,7,leave_one_seed_out,5,False,0,True,0,1
cross_task,arithmetic_to_stroop,7,seed_row_bootstrap,1000,False,0,True,0,1
cross_task,arithmetic_to_stroop,8,leave_one_seed_out,5,False,0,True,0,1
cross_task,arithmetic_to_stroop,8,seed_row_bootstrap,1000,False,0,True,0,1
cross_task,arithmetic_to_stroop,9,leave_one_seed_out,5,False,0.40000000000000002,False,0.59999999999999998,0.40000000000000002
cross_task,arithmetic_to_stroop,9,seed_row_bootstrap,1000,False,0.40000000000000002,False,0.29299999999999998,0.70699999999999996
cross_task,arithmetic_to_stroop,10,leave_one_seed_out,5,True,0.59999999999999998,False,1,1
cross_task,arithmetic_to_stroop,10,seed_row_bootstrap,1000,True,0.59999999999999998,False,0.68400000000000005,0.68400000000000005
cross_task,arithmetic_to_stroop,11,leave_one_seed_out,5,True,1,True,1,1
cross_task,arithmetic_to_stroop,11,seed_row_bootstrap,1000,True,1,True,1,1
cross_task,arithmetic_to_stroop,12,leave_one_seed_out,5,True,1,True,1,1
cross_task,arithmetic_to_stroop,12,seed_row_bootstrap,1000,True,1,True,1,1
cross_task,arithmetic_to_stroop,13,leave_one_seed_out,5,True,1,True,1,1
cross_task,arithmetic_to_stroop,13,seed_row_bootstrap,1000,True,1,True,1,1
cross_task,stroop_to_arithmetic,1,leave_one_seed_out,5,True,1,True,1,1
cross_task,stroop_to_arithmetic,1,seed_row_bootstrap,1000,True,1,True,1,1
cross_task,stroop_to_arithmetic,2,leave_one_seed_out,5,False,0.40000000000000002,False,0.40000000000000002,0.59999999999999998
cross_task,stroop_to_arithmetic,2,seed_row_bootstrap,1000,False,0.40000000000000002,False,0.32200000000000001,0.67800000000000005
cross_task,stroop_to_arithmetic,3,leave_one_seed_out,5,False,0.20000000000000001,False,0.59999999999999998,0.40000000000000002
cross_task,stroop_to_arithmetic,3,seed_row_bootstrap,1000,False,0.20000000000000001,False,0.26400000000000001,0.73599999999999999
cross_task,stroop_to_arithmetic,4,leave_one_seed_out,5,True,0.59999999999999998,False,1,1
cross_task,stroop_to_arithmetic,4,seed_row_bootstrap,1000,True,0.59999999999999998,False,0.69199999999999995,0.69199999999999995
cross_task,stroop_to_arithmetic,5,leave_one_seed_out,5,False,0,True,0,1
cross_task,stroop_to_arithmetic,5,seed_row_bootstrap,1000,False,0,True,0,1
cross_task,stroop_to_arithmetic,6,leave_one_seed_out,5,True,1,True,1,1
cross_task,stroop_to_arithmetic,6,seed_row_bootstrap,1000,True,1,True,1,1
cross_task,stroop_to_arithmetic,7,leave_one_seed_out,5,True,0.40000000000000002,False,0.80000000000000004,0.80000000000000004
cross_task,stroop_to_arithmetic,7,seed_row_bootstrap,1000,True,0.40000000000000002,False,0.39800000000000002,0.39800000000000002
cross_task,stroop_to_arithmetic,8,leave_one_seed_out,5,False,0.40000000000000002,False,0.59999999999999998,0.40000000000000002
cross_task,stroop_to_arithmetic,8,seed_row_bootstrap,1000,False,0.40000000000000002,False,0.32200000000000001,0.67800000000000005
cross_task,stroop_to_arithmetic,9,leave_one_seed_out,5,True,0.40000000000000002,False,0.80000000000000004,0.80000000000000004
cross_task,stroop_to_arithmetic,9,seed_row_bootstrap,1000,True,0.40000000000000002,False,0.437,0.437
cross_task,stroop_to_arithmetic,10,leave_one_seed_out,5,True,1,True,1,1
cross_task,stroop_to_arithmetic,10,seed_row_bootstrap,1000,True,1,True,1,1
cross_task,stroop_to_arithmetic,11,leave_one_seed_out,5,False,0.40000000000000002,False,0.59999999999999998,0.40000000000000002
cross_task,stroop_to_arithmetic,11,seed_row_bootstrap,1000,False,0.40000000000000002,False,0.318,0.68200000000000005
cross_task,stroop_to_arithmetic,12,leave_one_seed_out,5,True,1,True,1,1
cross_task,stroop_to_arithmetic,12,seed_row_bootstrap,1000,True,1,True,1,1
cross_task,stroop_to_arithmetic,13,leave_one_seed_out,5,True,1,True,1,1
cross_task,stroop_to_arithmetic,13,seed_row_bootstrap,1000,True,1,True,1,1
loso,arithmetic,1,leave_one_seed_out,5,False,0,True,0,1
loso,arithmetic,1,seed_row_bootstrap,1000,False,0,True,0,1
loso,arithmetic,2,leave_one_seed_out,5,False,0,True,0,1
loso,arithmetic,2,seed_row_bootstrap,1000,False,0,True,0,1
loso,arithmetic,3,leave_one_seed_out,5,False,0,True,0,1
loso,arithmetic,3,seed_row_bootstrap,1000,False,0,True,0,1
loso,arithmetic,4,leave_one_seed_out,5,False,0,True,0,1
loso,arithmetic,4,seed_row_bootstrap,1000,False,0,True,0,1
loso,arithmetic,5,leave_one_seed_out,5,False,0,True,0,1
loso,arithmetic,5,seed_row_bootstrap,1000,False,0,True,0,1
loso,arithmetic,6,leave_one_seed_out,5,False,0,True,0,1
loso,arithmetic,6,seed_row_bootstrap,1000,False,0,True,0,1
loso,arithmetic,7,leave_one_seed_out,5,False,0,True,0,1
loso,arithmetic,7,seed_row_bootstrap,1000,False,0,True,0,1
loso,arithmetic,8,leave_one_seed_out,5,False,0,True,0,1
loso,arithmetic,8,seed_row_bootstrap,1000,False,0,True,0,1
loso,arithmetic,9,leave_one_seed_out,5,False,0,True,0,1
loso,arithmetic,9,seed_row_bootstrap,1000,False,0,True,0,1
loso,arithmetic,10,leave_one_seed_out,5,False,0,True,0,1
loso,arithmetic,10,seed_row_bootstrap,1000,False,0,True,0,1
loso,arithmetic,11,leave_one_seed_out,5,False,0,True,0,1
loso,arithmetic,11,seed_row_bootstrap,1000,False,0,True,0,1
loso,arithmetic,12,leave_one_seed_out,5,False,0,True,0,1
loso,arithmetic,12,seed_row_bootstrap,1000,False,0,True,0,1
loso,arithmetic,13,leave_one_seed_out,5,False,0,True,0,1
loso,arithmetic,13,seed_row_bootstrap,1000,False,0,True,0,1
loso,arithmetic,14,leave_one_seed_out,5,False,0,True,0,1
loso,arithmetic,14,seed_row_bootstrap,1000,False,0,True,0,1
loso,arithmetic,15,leave_one_seed_out,5,False,0,True,0,1
loso,arithmetic,15,seed_row_bootstrap,1000,False,0,True,0,1
loso,stroop,1,leave_one_seed_out,5,False,0,True,0,1
loso,stroop,1,seed_row_bootstrap,1000,False,0,True,0,1
loso,stroop,2,leave_one_seed_out,5,False,0,True,0,1
loso,stroop,2,seed_row_bootstrap,1000,False,0,True,0,1
loso,stroop,3,leave_one_seed_out,5,False,0,True,0,1
loso,stroop,3,seed_row_bootstrap,1000,False,0,True,0,1
loso,stroop,4,leave_one_seed_out,5,False,0,True,0,1
loso,stroop,4,seed_row_bootstrap,1000,False,0,True,0,1
loso,stroop,5,leave_one_seed_out,5,False,0,True,0,1
loso,stroop,5,seed_row_bootstrap,1000,False,0,True,0,1
loso,stroop,6,leave_one_seed_out,5,False,0,True,0,1
loso,stroop,6,seed_row_bootstrap,1000,False,0,True,0,1
loso,stroop,7,leave_one_seed_out,5,False,0,True,0,1
loso,stroop,7,seed_row_bootstrap,1000,False,0,True,0,1
loso,stroop,8,leave_one_seed_out,5,False,0,True,0,1
loso,stroop,8,seed_row_bootstrap,1000,False,0,True,0,1
loso,stroop,9,leave_one_seed_out,5,False,0,True,0,1
loso,stroop,9,seed_row_bootstrap,1000,False,0,True,0,1
loso,stroop,10,leave_one_seed_out,5,False,0,True,0,1
loso,stroop,10,seed_row_bootstrap,1000,False,0,True,0,1
loso,stroop,11,leave_one_seed_out,5,False,0,True,0,1
loso,stroop,11,seed_row_bootstrap,1000,False,0,True,0,1
loso,stroop,12,leave_one_seed_out,5,False,0,True,0,1
loso,stroop,12,seed_row_bootstrap,1000,False,0,True,0,1
loso,stroop,13,leave_one_seed_out,5,False,0,True,0,1
loso,stroop,13,seed_row_bootstrap,1000,False,0,True,0,1
