bin_index,bin_lower,bin_upper,right_edge_included,n_recordings,mean_predicted_probability,observed_positive_rate,absolute_calibration_gap,dataset,protocol,direction,analysis_cell_display,method,method_display
1,0,0.20000000000000001,False,0,,,,openbci,cross_task,arithmetic_to_stroop,Arithmetic to Stroop,always_fuse,Neural-classical stacking
2,0.20000000000000001,0.40000000000000002,False,7,0.30846541041826842,0.7142857142857143,0.40582030386744589,openbci,cross_task,arithmetic_to_stroop,Arithmetic to Stroop,always_fuse,Neural-classical stacking
3,0.40000000000000002,0.60000000000000009,False,22,0.52284741180001937,0.68181818181818177,0.1589707700181624,openbci,cross_task,arithmetic_to_stroop,Arithmetic to Stroop,always_fuse,Neural-classical stacking
4,0.60000000000000009,0.80000000000000004,False,5,0.6581426606000742,0.59999999999999998,0.058142660600074225,openbci,cross_task,arithmetic_to_stroop,Arithmetic to Stroop,always_fuse,Neural-classical stacking
5,0.80000000000000004,1,True,5,0.99044672112280119,0.59999999999999998,0.39044672112280121,openbci,cross_task,arithmetic_to_stroop,Arithmetic to Stroop,always_fuse,Neural-classical stacking
1,0,0.20000000000000001,False,10,0.070396948198022377,0.69999999999999996,0.62960305180197762,openbci,cross_task,arithmetic_to_stroop,Arithmetic to Stroop,always_nn,Feature-MLP (neural reference)
2,0.20000000000000001,0.40000000000000002,False,5,0.30114594579818121,0.59999999999999998,0.29885405420181876,openbci,cross_task,arithmetic_to_stroop,Arithmetic to Stroop,always_nn,Feature-MLP (neural reference)
3,0.40000000000000002,0.60000000000000009,False,2,0.49774415689915164,1,0.50225584310084836,openbci,cross_task,arithmetic_to_stroop,Arithmetic to Stroop,always_nn,Feature-MLP (neural reference)
4,0.60000000000000009,0.80000000000000004,False,4,0.75903825051112128,0.5,0.25903825051112128,openbci,cross_task,arithmetic_to_stroop,Arithmetic to Stroop,always_nn,Feature-MLP (neural reference)
5,0.80000000000000004,1,True,18,0.95044480239605689,0.66666666666666663,0.28377813572939026,openbci,cross_task,arithmetic_to_stroop,Arithmetic to Stroop,always_nn,Feature-MLP (neural reference)
1,0,0.20000000000000001,False,0,,,,openbci,cross_task,arithmetic_to_stroop,Arithmetic to Stroop,cbsf,CB-SF
