setting,method,n_participants,median_primary_mean,mean_sensitivity_mean,mean_minus_median_pp,ci95_low_pp,ci95_high_pp,exact_sign_flip_p,n_zero,n_nonzero,bh_p_30_sensitivity_family
cross_task_arithmetic_to_stroop,always_fuse,13,0.48076923076923078,0.59615384615384615,11.538461538461538,1.9230769230769231,23.076923076923077,0.125,9,4,1
cross_task_arithmetic_to_stroop,always_nn,13,0.48076923076923078,0.44230769230769229,-3.8461538461538463,-11.538461538461538,0,1,12,1,1
cross_task_arithmetic_to_stroop,eeg_conformer,13,0.55769230769230771,0.59615384615384615,3.8461538461538463,0,11.538461538461538,1,12,1,1
cross_task_arithmetic_to_stroop,eegnet,13,0.48076923076923078,0.51923076923076927,3.8461538461538463,0,11.538461538461538,1,12,1,1
cross_task_arithmetic_to_stroop,extra_trees,13,0.46153846153846156,0.46153846153846156,0,0,0,1,13,0,1
cross_task_arithmetic_to_stroop,rf,13,0.46153846153846156,0.46153846153846156,0,0,0,1,13,0,1
cross_task_bidirectional,always_fuse,13,0.47115384615384615,0.52884615384615385,5.7692307692307692,0,11.538461538461538,0.15625,7,6,1
cross_task_bidirectional,always_nn,13,0.49038461538461536,0.44230769230769229,-4.8076923076923084,-10.576923076923077,0,0.25,10,3,1
cross_task_bidirectional,eeg_conformer,13,0.55769230769230771,0.60576923076923073,4.8076923076923084,0,10.576923076923077,0.25,10,3,1
cross_task_bidirectional,eegnet,13,0.50961538461538458,0.52884615384615385,1.9230769230769231,0,5.7692307692307692,1,12,1,1
cross_task_bidirectional,extra_trees,13,0.48076923076923078,0.48076923076923078,0,0,0,1,13,0,1
cross_task_bidirectional,rf,13,0.46153846153846156,0.46153846153846156,0,0,0,1,13,0,1
cross_task_stroop_to_arithmetic,always_fuse,13,0.46153846153846156,0.46153846153846156,0,-5.7692307692307692,5.7692307692307692,1,11,2,1
cross_task_stroop_to_arithmetic,always_nn,13,0.5,0.44230769230769229,-5.7692307692307692,-15.384615384615385,0,0.5,11,2,1
cross_task_stroop_to_arithmetic,eeg_conformer,13,0.55769230769230771,0.61538461538461542,5.7692307692307692,0,15.384615384615385,0.5,11,2,1
cross_task_stroop_to_arithmetic,eegnet,13,0.53846153846153844,0.53846153846153844,0,0,0,1,13,0,1
cross_task_stroop_to_arithmetic,extra_trees,13,0.5,0.5,0,0,0,1,13,0,1
cross_task_stroop_to_arithmetic,rf,13,0.46153846153846156,0.46153846153846156,0,0,0,1,13,0,1
loso_arithmetic,always_fuse,15,0.59999999999999998,0.59999999999999998,0,-5,5,1,13,2,1
loso_arithmetic,always_nn,15,0.59999999999999998,0.55000000000000004,-5,-10,0,0.25,12,3,1
loso_arithmetic,eeg_conformer,15,0.66666666666666663,0.65000000000000002,-1.6666666666666667,-5,0,1,14,1,1
loso_arithmetic,eegnet,15,0.56666666666666665,0.56666666666666665,0,0,0,1,15,0,1
loso_arithmetic,extra_trees,15,0.59999999999999998,0.59999999999999998,0,0,0,1,15,0,1
loso_arithmetic,rf,15,0.55000000000000004,0.55000000000000004,0,0,0,1,15,0,1
loso_stroop,always_fuse,13,0.63461538461538458,0.63461538461538458,0,0,0,1,13,0,1
loso_stroop,always_nn,13,0.65384615384615385,0.65384615384615385,0,0,0,1,13,0,1
loso_stroop,eeg_conformer,13,0.55769230769230771,0.55769230769230771,0,-5.7692307692307692,5.7692307692307692,1,11,2,1
loso_stroop,eegnet,13,0.59615384615384615,0.57692307692307687,-1.9230769230769231,-11.538461538461538,7.6923076923076925,1,9,4,1
loso_stroop,extra_trees,13,0.61538461538461542,0.61538461538461542,0,0,0,1,13,0,1
loso_stroop,rf,13,0.55769230769230771,0.55769230769230771,0,0,0,1,13,0,1
