task,strategy,strategy_display,metric,n_participants,n_valid_participants,n_valid_bootstrap_draws,participant_macro_mean,participant_sd_proportion,ci95_low,ci95_high
arithmetic,random_window_88_12,Random-window 88/12,accuracy,15,15,10000,0.99833333333333329,0.0064549722436790325,0.99499999999999988,1
arithmetic,random_window_88_12,Random-window 88/12,balanced_accuracy,15,15,10000,0.99833333333333329,0.0064549722436790325,0.99499999999999988,1
arithmetic,random_window_88_12,Random-window 88/12,sensitivity,15,15,10000,1,0,1,1
arithmetic,random_window_88_12,Random-window 88/12,specificity,15,15,10000,0.99666666666666659,0.012909944487358065,0.98999999999999988,1
arithmetic,random_window_88_12,Random-window 88/12,precision,15,15,10000,0.99777777777777776,0.0086066296582387302,0.9933333333333334,1
arithmetic,random_window_88_12,Random-window 88/12,f1,15,15,10000,0.9986666666666667,0.0051639777949431982,0.99600000000000011,1
arithmetic,random_window_88_12,Random-window 88/12,auroc,15,15,10000,1,0,1,1
arithmetic,random_window_88_12,Random-window 88/12,pr_auc,15,15,10000,1,0,1,1
arithmetic,random_window_88_12,Random-window 88/12,average_precision,15,15,10000,1,0,1,1
arithmetic,random_window_88_12,Random-window 88/12,log_loss,15,15,10000,0.017671329317664478,0.021256024150894847,0.0094953154825006252,0.029432751178101187
arithmetic,random_window_88_12,Random-window 88/12,brier_score,15,15,10000,0.0018065780965328816,0.0045799522592655066,0.0003524029131659435,0.0043014760769345692
arithmetic,recording_disjoint,Recording-disjoint,accuracy,15,15,10000,0.53333333333333333,0.16220210790715331,0.45333333333333325,0.60999999999999999
arithmetic,recording_disjoint,Recording-disjoint,balanced_accuracy,15,15,10000,0.53333333333333333,0.16220210790715331,0.45333333333333325,0.60999999999999999
arithmetic,recording_disjoint,Recording-disjoint,sensitivity,15,15,10000,0.82000000000000006,0.22103651928390219,0.70666666666666667,0.92000000000000004
arithmetic,recording_disjoint,Recording-disjoint,specificity,15,15,10000,0.24666666666666667,0.21336309316235907,0.14666666666666664,0.34666666666666673
arithmetic,recording_disjoint,Recording-disjoint,precision,15,15,10000,0.52222222222222225,0.10813473860476887,0.4688888888888888,0.57333333333333336
arithmetic,recording_disjoint,Recording-disjoint,f1,15,15,10000,0.63066666666666671,0.14058381672087839,0.56000000000000005,0.69644444444444453
arithmetic,recording_disjoint,Recording-disjoint,auroc,15,15,10000,0.42999999999999999,0.3028436654683167,0.28333333333333333,0.57666666666666677
arithmetic,recording_disjoint,Recording-disjoint,pr_auc,15,15,10000,0.53444444444444439,0.21648038390061264,0.43222222222222223,0.64388888888888884
arithmetic,recording_disjoint,Recording-disjoint,average_precision,15,15,10000,0.63555555555555554,0.17444545546163398,0.55330555555555549,0.72224999999999961
arithmetic,recording_disjoint,Recording-disjoint,log_loss,15,15,10000,2.872145003465354,1.2306792777952782,2.2671003868394073,3.4606846814451178
arithmetic,recording_disjoint,Recording-disjoint,brier_score,15,15,10000,0.43314342700158631,0.13732411698181063,0.36727221845952368,0.50021780185618003
arithmetic,participant_disjoint,Participant-disjoint LOSO,accuracy,15,15,10000,0.55000000000000004,0.10350983390135313,0.5,0.59999999999999998
arithmetic,participant_disjoint,Participant-disjoint LOSO,balanced_accuracy,15,15,10000,0.55000000000000004,0.10350983390135313,0.5,0.59999999999999998
arithmetic,participant_disjoint,Participant-disjoint LOSO,sensitivity,15,15,10000,0.53333333333333333,0.44185755084426842,0.33333333333333331,0.73333333333333328
arithmetic,participant_disjoint,Participant-disjoint LOSO,specificity,15,15,10000,0.56666666666666665,0.41690469391639595,0.36666666666666664,0.76666666666666672
arithmetic,participant_disjoint,Participant-disjoint LOSO,precision,15,10,10000,0.58333333333333326,0.161970885967925,0.5,0.69444444444444431
arithmetic,participant_disjoint,Participant-disjoint LOSO,f1,15,15,10000,0.42888888888888893,0.32656623010578217,0.26444444444444443,0.58222222222222231
arithmetic,participant_disjoint,Participant-disjoint LOSO,auroc,15,15,10000,0.76666666666666672,0.30569982164270393,0.6166666666666667,0.90000000000000002
arithmetic,participant_disjoint,Participant-disjoint LOSO,pr_auc,15,15,10000,0.76944444444444449,0.28689405894546005,0.62777777777777777,0.90833333333333321
arithmetic,participant_disjoint,Participant-disjoint LOSO,average_precision,15,15,10000,0.82777777777777772,0.21470417694559088,0.72222222222222221,0.93333333333333324
arithmetic,participant_disjoint,Participant-disjoint LOSO,log_loss,15,15,10000,1.9002229303679525,2.9169021455801269,0.70504248964586924,3.4952374558371599
arithmetic,participant_disjoint,Participant-disjoint LOSO,brier_score,15,15,10000,0.29526725984382829,0.13183949711984103,0.2307634521251343,0.35976488531824558
arithmetic,random_window_50_50,Random-window 50/50,accuracy,15,15,10000,1,0,1,1
arithmetic,random_window_50_50,Random-window 50/50,balanced_accuracy,15,15,10000,1,0,1,1
arithmetic,random_window_50_50,Random-window 50/50,sensitivity,15,15,10000,1,0,1,1
arithmetic,random_window_50_50,Random-window 50/50,specificity,15,15,10000,1,0,1,1
arithmetic,random_window_50_50,Random-window 50/50,precision,15,15,10000,1,0,1,1
