task,strategy,strategy_label,held_out_subject,split_seed,fold,train_windows,validation_windows,train_recordings,validation_recordings,train_participants,validation_participants,overlapping_recordings,recording_overlap_rate,overlapping_participants,participant_overlap_rate,nominal_adjacent_window_raw_overlap,validation_window_accuracy,validation_window_log_loss,validation_recording_accuracy
arithmetic,random_window,Random-window split,1,1335,1,612,84,4,4,1,1,4,1.0,1,1.0,0.9411764705882353,0.9642857142857143,0.09152345828793294,1.0
arithmetic,random_window,Random-window split,1,1335,2,612,84,4,4,1,1,4,1.0,1,1.0,0.9411764705882353,1.0,0.06071107199065309,1.0
arithmetic,recording_disjoint,Recording-disjoint split,1,1335,1,370,326,2,2,1,1,0,0.0,1,1.0,0.9411764705882353,0.4539877300613497,11.122927585925408,0.5
arithmetic,recording_disjoint,Recording-disjoint split,1,1335,2,326,370,2,2,1,1,0,0.0,1,1.0,0.9411764705882353,0.6108108108108108,1.908059267953104,0.5
arithmetic,random_window,Random-window split,1,1388,1,612,84,4,4,1,1,4,1.0,1,1.0,0.9411764705882353,0.9880952380952381,0.07245280593036856,1.0
arithmetic,random_window,Random-window split,1,1388,2,612,84,4,4,1,1,4,1.0,1,1.0,0.9411764705882353,0.9761904761904762,0.12578405534726866,1.0
arithmetic,recording_disjoint,Recording-disjoint split,1,1388,1,321,375,2,2,1,1,0,0.0,1,1.0,0.9411764705882353,0.8053333333333333,2.6563228068899156,1.0
arithmetic,recording_disjoint,Recording-disjoint split,1,1388,2,375,321,2,2,1,1,0,0.0,1,1.0,0.9411764705882353,0.6074766355140186,1.7756133615037009,0.5
arithmetic,random_window,Random-window split,1,1441,1,612,84,4,4,1,1,4,1.0,1,1.0,0.9411764705882353,0.9761904761904762,0.08047508658583265,1.0
arithmetic,random_window,Random-window split,1,1441,2,612,84,4,4,1,1,4,1.0,1,1.0,0.9411764705882353,0.9761904761904762,0.09297095677090936,1.0
arithmetic,recording_disjoint,Recording-disjoint split,1,1441,1,321,375,2,2,1,1,0,0.0,1,1.0,0.9411764705882353,0.8053333333333333,2.6563228068899156,1.0
arithmetic,recording_disjoint,Recording-disjoint split,1,1441,2,375,321,2,2,1,1,0,0.0,1,1.0,0.9411764705882353,0.6074766355140186,1.7756133615037009,0.5
arithmetic,random_window,Random-window split,1,1494,1,612,84,4,4,1,1,4,1.0,1,1.0,0.9411764705882353,0.9761904761904762,0.09137400583903975,1.0
arithmetic,random_window,Random-window split,1,1494,2,612,84,4,4,1,1,4,1.0,1,1.0,0.9411764705882353,0.9642857142857143,0.07557463652035798,1.0
arithmetic,recording_disjoint,Recording-disjoint split,1,1494,1,321,375,2,2,1,1,0,0.0,1,1.0,0.9411764705882353,0.8053333333333333,2.6563228068899156,1.0
arithmetic,recording_disjoint,Recording-disjoint split,1,1494,2,375,321,2,2,1,1,0,0.0,1,1.0,0.9411764705882353,0.6074766355140186,1.7756133615037009,0.5
arithmetic,random_window,Random-window split,1,1547,1,612,84,4,4,1,1,4,1.0,1,1.0,0.9411764705882353,1.0,0.08112538749740458,1.0
arithmetic,random_window,Random-window split,1,1547,2,612,84,4,4,1,1,4,1.0,1,1.0,0.9411764705882353,0.9523809523809523,0.08732387305141776,1.0
arithmetic,recording_disjoint,Recording-disjoint split,1,1547,1,370,326,2,2,1,1,0,0.0,1,1.0,0.9411764705882353,0.4539877300613497,11.122927585925408,0.5
arithmetic,recording_disjoint,Recording-disjoint split,1,1547,2,326,370,2,2,1,1,0,0.0,1,1.0,0.9411764705882353,0.6108108108108108,1.908059267953104,0.5
arithmetic,random_window,Random-window split,2,1335,1,869,119,4,4,1,1,4,1.0,1,1.0,0.9411764705882353,0.9831932773109243,0.043073220727799455,1.0
arithmetic,random_window,Random-window split,2,1335,2,869,119,4,4,1,1,4,1.0,1,1.0,0.9411764705882353,1.0,0.02711705193088613,1.0
arithmetic,recording_disjoint,Recording-disjoint split,2,1335,1,402,586,2,2,1,1,0,0.0,1,1.0,0.9411764705882353,0.6723549488054608,1.3799096464702414,0.5
arithmetic,recording_disjoint,Recording-disjoint split,2,1335,2,586,402,2,2,1,1,0,0.0,1,1.0,0.9411764705882353,0.6592039800995025,1.8770812643093235,0.5
arithmetic,random_window,Random-window split,2,1388,1,869,119,4,4,1,1,4,1.0,1,1.0,0.9411764705882353,0.9915966386554622,0.10045436234296566,1.0
arithmetic,random_window,Random-window split,2,1388,2,869,119,4,4,1,1,4,1.0,1,1.0,0.9411764705882353,1.0,0.01949899959834673,1.0
arithmetic,recording_disjoint,Recording-disjoint split,2,1388,1,268,720,2,2,1,1,0,0.0,1,1.0,0.9411764705882353,0.41805555555555557,3.8088435620657384,0.5
arithmetic,recording_disjoint,Recording-disjoint split,2,1388,2,720,268,2,2,1,1,0,0.0,1,1.0,0.9411764705882353,0.5186567164179104,1.8486397173488698,0.5
arithmetic,random_window,Random-window split,2,1441,1,869,119,4,4,1,1,4,1.0,1,1.0,0.9411764705882353,0.9915966386554622,0.040014909299908905,1.0
arithmetic,random_window,Random-window split,2,1441,2,869,119,4,4,1,1,4,1.0,1,1.0,0.9411764705882353,1.0,0.022587642843878295,1.0
arithmetic,recording_disjoint,Recording-disjoint split,2,1441,1,268,720,2,2,1,1,0,0.0,1,1.0,0.9411764705882353,0.41805555555555557,3.8088435620657384,0.5
arithmetic,recording_disjoint,Recording-disjoint split,2,1441,2,720,268,2,2,1,1,0,0.0,1,1.0,0.9411764705882353,0.5186567164179104,1.8486397173488698,0.5
arithmetic,random_window,Random-window split,2,1494,1,869,119,4,4,1,1,4,1.0,1,1.0,0.9411764705882353,0.9915966386554622,0.11947786460203312,1.0
arithmetic,random_window,Random-window split,2,1494,2,869,119,4,4,1,1,4,1.0,1,1.0,0.9411764705882353,0.9831932773109243,0.036396363980658424,1.0
arithmetic,recording_disjoint,Recording-disjoint split,2,1494,1,268,720,2,2,1,1,0,0.0,1,1.0,0.9411764705882353,0.41805555555555557,3.8088435620657384,0.5
