task,strategy,strategy_label,held_out_subject,n_evaluations,mean_recording_overlap_rate,mean_participant_overlap_rate,mean_window_accuracy,mean_recording_accuracy,mean_window_log_loss
arithmetic,participant_disjoint,Participant-disjoint split,1,1,0.0,0.0,0.5933908045977011,0.75,0.9597426414944061
arithmetic,participant_disjoint,Participant-disjoint split,2,1,0.0,0.0,0.4402834008097166,0.5,2.1218987863290977
arithmetic,participant_disjoint,Participant-disjoint split,3,1,0.0,0.0,0.7662565905096661,0.75,0.6087668305568699
arithmetic,participant_disjoint,Participant-disjoint split,4,1,0.0,0.0,0.7252252252252253,0.5,4.188026045977135
arithmetic,participant_disjoint,Participant-disjoint split,5,1,0.0,0.0,0.49334945586457074,0.5,1.275385574928064
arithmetic,participant_disjoint,Participant-disjoint split,6,1,0.0,0.0,0.45932203389830506,0.5,4.879255630812312
arithmetic,participant_disjoint,Participant-disjoint split,7,1,0.0,0.0,0.5722379603399433,0.5,1.1970117085950602
arithmetic,participant_disjoint,Participant-disjoint split,8,1,0.0,0.0,0.5520231213872833,0.5,1.0067833383384381
arithmetic,participant_disjoint,Participant-disjoint split,9,1,0.0,0.0,0.4281742354031511,0.5,1.8790951409830414
arithmetic,participant_disjoint,Participant-disjoint split,10,1,0.0,0.0,0.6728624535315985,0.75,0.9404757716859636
arithmetic,participant_disjoint,Participant-disjoint split,11,1,0.0,0.0,0.6955958549222798,0.75,0.6830154814536846
arithmetic,participant_disjoint,Participant-disjoint split,12,1,0.0,0.0,0.6641221374045801,0.5,0.9356345091314694
arithmetic,participant_disjoint,Participant-disjoint split,13,1,0.0,0.0,0.6194029850746269,0.75,0.7175069300238021
arithmetic,participant_disjoint,Participant-disjoint split,14,1,0.0,0.0,0.7895622895622896,0.75,0.4646716625629451
arithmetic,participant_disjoint,Participant-disjoint split,15,1,0.0,0.0,0.6038514442916093,0.5,1.773390034709313
arithmetic,random_window,Random-window split,1,10,1.0,1.0,0.9773809523809524,1.0,0.08593153378211853
arithmetic,random_window,Random-window split,2,10,1.0,1.0,0.9941176470588236,1.0,0.04685560923926953
arithmetic,random_window,Random-window split,3,10,1.0,1.0,0.9942028985507246,1.0,0.03363624442315062
arithmetic,random_window,Random-window split,4,10,1.0,1.0,0.99875,1.0,0.017273960555327292
arithmetic,random_window,Random-window split,5,10,1.0,1.0,0.991,1.0,0.045901967114376746
arithmetic,random_window,Random-window split,6,10,1.0,1.0,0.9633802816901408,1.0,0.0995410657541438
arithmetic,random_window,Random-window split,7,10,1.0,1.0,0.9860465116279069,1.0,0.058156988525472186
arithmetic,random_window,Random-window split,8,10,1.0,1.0,0.9311999999999999,1.0,0.18937794057158877
arithmetic,random_window,Random-window split,9,10,1.0,1.0,0.9923076923076923,1.0,0.035789322087287086
arithmetic,random_window,Random-window split,10,10,1.0,1.0,0.9738461538461539,1.0,0.10267981503133847
arithmetic,random_window,Random-window split,11,10,1.0,1.0,0.9623655913978494,1.0,0.16488642821100336
arithmetic,random_window,Random-window split,12,10,1.0,1.0,0.9911392405063291,1.0,0.06313920952280706
arithmetic,random_window,Random-window split,13,10,1.0,1.0,0.9925925925925926,1.0,0.03368247368441303
arithmetic,random_window,Random-window split,14,10,1.0,1.0,0.9694444444444444,1.0,0.10072718764952775
arithmetic,random_window,Random-window split,15,10,1.0,1.0,1.0,1.0,0.021836395227427922
arithmetic,recording_disjoint,Recording-disjoint split,1,10,0.0,1.0,0.6368026988286377,0.65,3.9357782212937877
arithmetic,recording_disjoint,Recording-disjoint split,2,10,0.0,1.0,0.5473254673730324,0.5,2.3486431659802953
arithmetic,recording_disjoint,Recording-disjoint split,3,10,0.0,1.0,0.5239379449917029,0.5,2.883148666491464
arithmetic,recording_disjoint,Recording-disjoint split,4,10,0.0,1.0,0.6652750582535182,0.5,6.088333343907573
arithmetic,recording_disjoint,Recording-disjoint split,5,10,0.0,1.0,0.49011338334867743,0.5,4.969195834539547
arithmetic,recording_disjoint,Recording-disjoint split,6,10,0.0,1.0,0.5108284331292493,0.5,3.514868857328105
arithmetic,recording_disjoint,Recording-disjoint split,7,10,0.0,1.0,0.5373812425687452,0.4,6.9027070257983265
arithmetic,recording_disjoint,Recording-disjoint split,8,10,0.0,1.0,0.48741372136253014,0.35,2.542589387630514
arithmetic,recording_disjoint,Recording-disjoint split,9,10,0.0,1.0,0.605294164368381,0.6,2.629071115215873
arithmetic,recording_disjoint,Recording-disjoint split,10,10,0.0,1.0,0.49414860650337833,0.5,3.045687001363144
arithmetic,recording_disjoint,Recording-disjoint split,11,10,0.0,1.0,0.45627955221334365,0.5,5.23889106403775
arithmetic,recording_disjoint,Recording-disjoint split,12,10,0.0,1.0,0.42162678604335435,0.4,2.926425735179083
arithmetic,recording_disjoint,Recording-disjoint split,13,10,0.0,1.0,0.5713355055024467,0.6,2.9581022452537846
arithmetic,recording_disjoint,Recording-disjoint split,14,10,0.0,1.0,0.47004974602102634,0.4,9.75407416372005
arithmetic,recording_disjoint,Recording-disjoint split,15,10,0.0,1.0,0.7055077405870886,0.75,2.252600203744246
stroop,participant_disjoint,Participant-disjoint split,1,1,0.0,0.0,0.3552833078101072,0.25,2.6964823077557956
stroop,participant_disjoint,Participant-disjoint split,2,1,0.0,0.0,0.5541327124563445,0.75,0.915016875416737
stroop,participant_disjoint,Participant-disjoint split,3,1,0.0,0.0,0.7807017543859649,0.5,1.3986463170891965
stroop,participant_disjoint,Participant-disjoint split,4,1,0.0,0.0,0.681917211328976,0.5,1.6101646414641608
stroop,participant_disjoint,Participant-disjoint split,5,1,0.0,0.0,0.7606060606060606,0.75,0.6210295025320919
stroop,participant_disjoint,Participant-disjoint split,6,1,0.0,0.0,0.6377079482439926,0.75,0.9244980202368043
stroop,participant_disjoint,Participant-disjoint split,7,1,0.0,0.0,0.3234750462107209,0.25,1.3724848835996613
stroop,participant_disjoint,Participant-disjoint split,8,1,0.0,0.0,0.5549597855227882,0.5,0.9174970135461441
stroop,participant_disjoint,Participant-disjoint split,9,1,0.0,0.0,0.5979381443298969,0.75,0.8694035060846015
stroop,participant_disjoint,Participant-disjoint split,10,1,0.0,0.0,0.7015177065767285,0.75,0.8257568105725887
stroop,participant_disjoint,Participant-disjoint split,11,1,0.0,0.0,0.7395833333333334,0.75,0.5744627012913913
stroop,participant_disjoint,Participant-disjoint split,12,1,0.0,0.0,0.5826645264847512,0.5,0.9974574592822566
stroop,participant_disjoint,Participant-disjoint split,13,1,0.0,0.0,0.6457242582897034,0.75,0.7735493853272214
stroop,participant_disjoint,Participant-disjoint split,14,1,0.0,0.0,0.8284023668639053,0.75,0.6071075688207545
stroop,participant_disjoint,Participant-disjoint split,15,1,0.0,0.0,0.7831325301204819,1.0,0.46734489649395183
stroop,random_window,Random-window split,1,10,1.0,1.0,0.9037974683544304,1.0,0.2494781446615803
stroop,random_window,Random-window split,2,10,1.0,1.0,0.9951923076923077,1.0,0.03256589057380872
stroop,random_window,Random-window split,3,10,1.0,1.0,0.9971014492753623,1.0,0.013251770997064727
stroop,random_window,Random-window split,4,10,1.0,1.0,1.0,1.0,0.019686922931616967
stroop,random_window,Random-window split,5,10,1.0,1.0,0.9925,1.0,0.02543334380985628
stroop,random_window,Random-window split,6,10,1.0,1.0,0.9938461538461538,1.0,0.04482672001807123
stroop,random_window,Random-window split,7,10,1.0,1.0,0.9892307692307692,1.0,0.0707722804389305
stroop,random_window,Random-window split,8,10,1.0,1.0,0.97,1.0,0.17219662338347197
stroop,random_window,Random-window split,9,10,1.0,1.0,0.9714285714285713,1.0,0.09204054220537779
stroop,random_window,Random-window split,10,10,1.0,1.0,0.9847222222222223,1.0,0.06282012512755318
stroop,random_window,Random-window split,11,10,1.0,1.0,0.9925925925925926,1.0,0.0478978366181631
stroop,random_window,Random-window split,12,10,1.0,1.0,0.944,1.0,0.16760633339561107
stroop,random_window,Random-window split,13,10,1.0,1.0,0.9840579710144928,1.0,0.05514391947201671
stroop,random_window,Random-window split,14,10,1.0,1.0,0.9344262295081966,0.95,0.15895979531183851
stroop,random_window,Random-window split,15,10,1.0,1.0,0.9857142857142858,1.0,0.0559747142117065
stroop,recording_disjoint,Recording-disjoint split,1,10,0.0,1.0,0.5088379554681269,0.5,3.5330685893462688
stroop,recording_disjoint,Recording-disjoint split,2,10,0.0,1.0,0.6450753253797347,0.65,1.7799814029680312
stroop,recording_disjoint,Recording-disjoint split,3,10,0.0,1.0,0.6187573019313568,0.65,2.1241317759332214
stroop,recording_disjoint,Recording-disjoint split,4,10,0.0,1.0,0.6975353173193077,0.65,1.5693591582909183
stroop,recording_disjoint,Recording-disjoint split,5,10,0.0,1.0,0.6291683058765675,0.75,1.840656834492592
stroop,recording_disjoint,Recording-disjoint split,6,10,0.0,1.0,0.33670352926430674,0.35,10.292767076903756
stroop,recording_disjoint,Recording-disjoint split,7,10,0.0,1.0,0.664417838739248,0.6,1.9180101703570422
stroop,recording_disjoint,Recording-disjoint split,8,10,0.0,1.0,0.5991686228273594,0.75,2.041763775952362
stroop,recording_disjoint,Recording-disjoint split,9,10,0.0,1.0,0.43420376507814673,0.35,5.463634934104642
stroop,recording_disjoint,Recording-disjoint split,10,10,0.0,1.0,0.5196282832306286,0.35,5.195215874050663
stroop,recording_disjoint,Recording-disjoint split,11,10,0.0,1.0,0.647756505264072,0.75,1.9671077210432597
stroop,recording_disjoint,Recording-disjoint split,12,10,0.0,1.0,0.5520083333169991,0.4,2.7733870884808285
stroop,recording_disjoint,Recording-disjoint split,13,10,0.0,1.0,0.4565097517568777,0.4,4.2963255971736105
stroop,recording_disjoint,Recording-disjoint split,14,10,0.0,1.0,0.42073359314318315,0.25,9.332274011428886
stroop,recording_disjoint,Recording-disjoint split,15,10,0.0,1.0,0.544470056344152,0.5,4.864529660288895
