dataset,direction,subject,method,n_recordings,accuracy,direction_label,method_label
openbci,arithmetic_to_stroop,1,always_fuse,4,0.5,Arithmetic to Stroop,Always-fuse
openbci,arithmetic_to_stroop,2,always_fuse,4,0.25,Arithmetic to Stroop,Always-fuse
openbci,arithmetic_to_stroop,3,always_fuse,4,0.25,Arithmetic to Stroop,Always-fuse
openbci,arithmetic_to_stroop,4,always_fuse,4,0.75,Arithmetic to Stroop,Always-fuse
openbci,arithmetic_to_stroop,5,always_fuse,4,0.75,Arithmetic to Stroop,Always-fuse
openbci,arithmetic_to_stroop,6,always_fuse,4,0.75,Arithmetic to Stroop,Always-fuse
openbci,arithmetic_to_stroop,7,always_fuse,4,0.75,Arithmetic to Stroop,Always-fuse
openbci,arithmetic_to_stroop,8,always_fuse,4,1.0,Arithmetic to Stroop,Always-fuse
openbci,arithmetic_to_stroop,9,always_fuse,4,0.5,Arithmetic to Stroop,Always-fuse
openbci,arithmetic_to_stroop,10,always_fuse,4,0.5,Arithmetic to Stroop,Always-fuse
openbci,arithmetic_to_stroop,11,always_fuse,4,0.5,Arithmetic to Stroop,Always-fuse
openbci,arithmetic_to_stroop,12,always_fuse,4,0.0,Arithmetic to Stroop,Always-fuse
openbci,arithmetic_to_stroop,13,always_fuse,4,1.0,Arithmetic to Stroop,Always-fuse
openbci,arithmetic_to_stroop,14,always_fuse,4,0.75,Arithmetic to Stroop,Always-fuse
openbci,arithmetic_to_stroop,15,always_fuse,4,0.5,Arithmetic to Stroop,Always-fuse
openbci,arithmetic_to_stroop,1,always_nn,4,0.75,Arithmetic to Stroop,Always-NN
openbci,arithmetic_to_stroop,2,always_nn,4,0.75,Arithmetic to Stroop,Always-NN
openbci,arithmetic_to_stroop,3,always_nn,4,1.0,Arithmetic to Stroop,Always-NN
openbci,arithmetic_to_stroop,4,always_nn,4,0.75,Arithmetic to Stroop,Always-NN
openbci,arithmetic_to_stroop,5,always_nn,4,0.75,Arithmetic to Stroop,Always-NN
openbci,arithmetic_to_stroop,6,always_nn,4,0.5,Arithmetic to Stroop,Always-NN
openbci,arithmetic_to_stroop,7,always_nn,4,0.75,Arithmetic to Stroop,Always-NN
openbci,arithmetic_to_stroop,8,always_nn,4,0.75,Arithmetic to Stroop,Always-NN
openbci,arithmetic_to_stroop,9,always_nn,4,0.75,Arithmetic to Stroop,Always-NN
openbci,arithmetic_to_stroop,10,always_nn,4,0.5,Arithmetic to Stroop,Always-NN
openbci,arithmetic_to_stroop,11,always_nn,4,0.25,Arithmetic to Stroop,Always-NN
openbci,arithmetic_to_stroop,12,always_nn,4,0.75,Arithmetic to Stroop,Always-NN
openbci,arithmetic_to_stroop,13,always_nn,4,1.0,Arithmetic to Stroop,Always-NN
openbci,arithmetic_to_stroop,14,always_nn,4,0.75,Arithmetic to Stroop,Always-NN
openbci,arithmetic_to_stroop,15,always_nn,4,0.5,Arithmetic to Stroop,Always-NN
openbci,arithmetic_to_stroop,1,cbsf,4,0.75,Arithmetic to Stroop,CB-SF
openbci,arithmetic_to_stroop,2,cbsf,4,0.75,Arithmetic to Stroop,CB-SF
openbci,arithmetic_to_stroop,3,cbsf,4,1.0,Arithmetic to Stroop,CB-SF
