dataset,protocol,subject,direction,method,accuracy,n_recordings
openbci,loso,1,stroop,always_fuse,0.5,4
openbci,loso,1,stroop,always_nn,0.5,4
openbci,loso,1,stroop,extra_trees,0.5,4
openbci,loso,1,stroop,rf,0.5,4
openbci,loso,2,stroop,always_fuse,0.5,4
openbci,loso,2,stroop,always_nn,0.5,4
openbci,loso,2,stroop,extra_trees,0.5,4
openbci,loso,2,stroop,rf,0.5,4
openbci,loso,3,stroop,always_fuse,0.5,4
openbci,loso,3,stroop,always_nn,0.5,4
openbci,loso,3,stroop,extra_trees,0.5,4
openbci,loso,3,stroop,rf,0.5,4
openbci,loso,4,stroop,always_fuse,0.75,4
openbci,loso,4,stroop,always_nn,0.75,4
openbci,loso,4,stroop,extra_trees,0.5,4
openbci,loso,4,stroop,rf,0.5,4
openbci,loso,5,stroop,always_fuse,0.75,4
openbci,loso,5,stroop,always_nn,0.75,4
openbci,loso,5,stroop,extra_trees,0.75,4
openbci,loso,5,stroop,rf,0.5,4
openbci,loso,6,stroop,always_fuse,0.5,4
openbci,loso,6,stroop,always_nn,0.5,4
openbci,loso,6,stroop,extra_trees,0.25,4
openbci,loso,6,stroop,rf,0.5,4
openbci,loso,7,stroop,always_fuse,0.75,4
openbci,loso,7,stroop,always_nn,0.5,4
openbci,loso,7,stroop,extra_trees,0.5,4
openbci,loso,7,stroop,rf,0.5,4
openbci,loso,8,stroop,always_fuse,0.75,4
openbci,loso,8,stroop,always_nn,0.75,4
openbci,loso,8,stroop,extra_trees,0.75,4
openbci,loso,8,stroop,rf,0.5,4
openbci,loso,9,stroop,always_fuse,0.75,4
openbci,loso,9,stroop,always_nn,0.75,4
openbci,loso,9,stroop,extra_trees,0.5,4
openbci,loso,9,stroop,rf,0.5,4
openbci,loso,10,stroop,always_fuse,0.75,4
openbci,loso,10,stroop,always_nn,0.75,4
openbci,loso,10,stroop,extra_trees,0.75,4
openbci,loso,10,stroop,rf,0.75,4
openbci,loso,11,stroop,always_fuse,0.75,4
openbci,loso,11,stroop,always_nn,0.5,4
openbci,loso,11,stroop,extra_trees,0.5,4
openbci,loso,11,stroop,rf,0.5,4
openbci,loso,12,stroop,always_fuse,0.5,4
openbci,loso,12,stroop,always_nn,0.5,4
openbci,loso,12,stroop,extra_trees,0.75,4
openbci,loso,12,stroop,rf,0.75,4
openbci,loso,13,stroop,always_fuse,0.25,4
openbci,loso,13,stroop,always_nn,0.5,4
openbci,loso,13,stroop,extra_trees,0.5,4
openbci,loso,13,stroop,rf,0.5,4
openbci,loso,14,stroop,always_fuse,0.75,4
openbci,loso,14,stroop,always_nn,0.75,4
openbci,loso,14,stroop,extra_trees,0.75,4
openbci,loso,14,stroop,rf,0.75,4
openbci,loso,15,stroop,always_fuse,0.75,4
openbci,loso,15,stroop,always_nn,0.75,4
openbci,loso,15,stroop,extra_trees,0.5,4
openbci,loso,15,stroop,rf,0.75,4
