dataset,protocol,subject,direction,recording_id,method,true_label,p0,p1,pred_label,correct,n_windows,ensemble_size
openbci,loso,1,stroop,stroop:s01:r0,always_fuse,0.0,0.5417288569928195,0.4582711430071806,0.0,1.0,157.0,5.0
openbci,loso,1,stroop,stroop:s01:r0,always_nn,0.0,0.9041301884941204,0.0958698115058797,0.0,1.0,157.0,5.0
openbci,loso,1,stroop,stroop:s01:r0,cbsf,0.0,0.8744635992287173,0.12553640077128264,0.0,1.0,157.0,5.0
openbci,loso,1,stroop,stroop:s01:r0,dasf_clean,0.0,0.9041301884941203,0.09586981150587977,0.0,1.0,157.0,5.0
openbci,loso,1,stroop,stroop:s01:r0,equal_blend_050,0.0,0.5577664746224549,0.4422335253775451,0.0,1.0,157.0,5.0
openbci,loso,1,stroop,stroop:s01:r0,extra_trees,0.0,0.5724704411110181,0.427529558888982,0.0,1.0,157.0,5.0
openbci,loso,1,stroop,stroop:s01:r0,fixed_blend_010,0.0,0.6042087785019544,0.3957912214980457,0.0,1.0,157.0,5.0
openbci,loso,1,stroop,stroop:s01:r0,fixed_blend_025,0.0,0.5758006914881293,0.4241993085118707,0.0,1.0,157.0,5.0
openbci,loso,1,stroop,stroop:s01:r0,rf,0.0,0.6227572979170862,0.3772427020829138,0.0,1.0,157.0,5.0
openbci,loso,1,stroop,stroop:s01:r0,stack_recording,0.0,0.6456131899542881,0.35438681004571193,0.0,1.0,157.0,5.0
openbci,loso,1,stroop,stroop:s01:r1,always_fuse,0.0,0.6101119040026699,0.38988809599733,0.0,1.0,148.0,5.0
openbci,loso,1,stroop,stroop:s01:r1,always_nn,0.0,0.9803602061295336,0.0196397938704666,0.0,1.0,148.0,5.0
openbci,loso,1,stroop,stroop:s01:r1,cbsf,0.0,0.9788176473547135,0.02118235264528638,0.0,1.0,148.0,5.0
openbci,loso,1,stroop,stroop:s01:r1,dasf_clean,0.0,0.9803602061295335,0.019639793870466604,0.0,1.0,148.0,5.0
openbci,loso,1,stroop,stroop:s01:r1,equal_blend_050,0.0,0.7607975063103881,0.23920249368961188,0.0,1.0,148.0,5.0
openbci,loso,1,stroop,stroop:s01:r1,extra_trees,0.0,0.5863512625670885,0.4136487374329116,0.0,1.0,148.0,5.0
openbci,loso,1,stroop,stroop:s01:r1,fixed_blend_010,0.0,0.9063089804045834,0.09369101959541658,0.0,1.0,148.0,5.0
openbci,loso,1,stroop,stroop:s01:r1,fixed_blend_025,0.0,0.84573297624404,0.15426702375596002,0.0,1.0,148.0,5.0
openbci,loso,1,stroop,stroop:s01:r1,rf,0.0,0.5924604167233282,0.4075395832766719,0.0,1.0,148.0,5.0
openbci,loso,1,stroop,stroop:s01:r1,stack_recording,0.0,0.7774861275789134,0.22251387242108653,0.0,1.0,148.0,5.0
openbci,loso,1,stroop,stroop:s01:r2,always_fuse,1.0,0.6179941605332834,0.3820058394667167,0.0,0.0,139.0,5.0
openbci,loso,1,stroop,stroop:s01:r2,always_nn,1.0,0.9867995300982748,0.0132004699017252,0.0,0.0,139.0,5.0
openbci,loso,1,stroop,stroop:s01:r2,cbsf,1.0,0.9863035594986423,0.013696440501357602,0.0,0.0,139.0,5.0
openbci,loso,1,stroop,stroop:s01:r2,dasf_clean,1.0,0.9867995300982747,0.013200469901725203,0.0,0.0,139.0,5.0
openbci,loso,1,stroop,stroop:s01:r2,equal_blend_050,1.0,0.7661604711843069,0.2338395288156931,0.0,0.0,139.0,5.0
openbci,loso,1,stroop,stroop:s01:r2,extra_trees,1.0,0.5851260662102363,0.4148739337897636,0.0,0.0,139.0,5.0
openbci,loso,1,stroop,stroop:s01:r2,fixed_blend_010,1.0,0.9141607146218278,0.08583928537817223,0.0,0.0,139.0,5.0
openbci,loso,1,stroop,stroop:s01:r2,fixed_blend_025,1.0,0.8517859288567676,0.14821407114323235,0.0,0.0,139.0,5.0
openbci,loso,1,stroop,stroop:s01:r2,rf,1.0,0.6068574565522388,0.3931425434477613,0.0,0.0,139.0,5.0
openbci,loso,1,stroop,stroop:s01:r2,stack_recording,1.0,0.8035124168677458,0.19648758313225426,0.0,0.0,139.0,5.0
openbci,loso,1,stroop,stroop:s01:r3,always_fuse,1.0,0.6103616262677051,0.3896383737322949,0.0,0.0,209.0,5.0
openbci,loso,1,stroop,stroop:s01:r3,always_nn,1.0,0.975603873630384,0.0243961263696161,0.0,0.0,209.0,5.0
openbci,loso,1,stroop,stroop:s01:r3,cbsf,1.0,0.9754280843472818,0.024571915652718143,0.0,0.0,209.0,5.0
openbci,loso,1,stroop,stroop:s01:r3,dasf_clean,1.0,0.9756038736303839,0.02439612636961612,0.0,0.0,209.0,5.0
openbci,loso,1,stroop,stroop:s01:r3,equal_blend_050,1.0,0.7692867693864239,0.23071323061357607,0.0,0.0,209.0,5.0
openbci,loso,1,stroop,stroop:s01:r3,extra_trees,1.0,0.6226173085556269,0.3773826914443731,0.0,0.0,209.0,5.0
openbci,loso,1,stroop,stroop:s01:r3,fixed_blend_010,1.0,0.9157534642428483,0.0842465357571517,0.0,0.0,209.0,5.0
openbci,loso,1,stroop,stroop:s01:r3,fixed_blend_025,1.0,0.8561602833538182,0.1438397166461818,0.0,0.0,209.0,5.0
