dataset,protocol,subject,method,accuracy,n_recordings
openbci,loso,1,always_fuse,0.5,4
openbci,loso,1,always_nn,0.5,4
openbci,loso,1,cbsf,0.5,4
openbci,loso,1,dasf_clean,0.5,4
openbci,loso,1,equal_blend_050,0.5,4
openbci,loso,1,extra_trees,0.5,4
openbci,loso,1,fixed_blend_010,0.5,4
openbci,loso,1,fixed_blend_025,0.5,4
openbci,loso,1,rf,0.5,4
openbci,loso,1,stack_recording,0.5,4
openbci,loso,2,always_fuse,0.5,4
openbci,loso,2,always_nn,0.5,4
openbci,loso,2,cbsf,0.5,4
openbci,loso,2,dasf_clean,0.5,4
openbci,loso,2,equal_blend_050,0.5,4
openbci,loso,2,extra_trees,0.5,4
openbci,loso,2,fixed_blend_010,0.5,4
openbci,loso,2,fixed_blend_025,0.5,4
openbci,loso,2,rf,0.5,4
openbci,loso,2,stack_recording,0.5,4
openbci,loso,3,always_fuse,0.5,4
openbci,loso,3,always_nn,0.5,4
openbci,loso,3,cbsf,0.75,4
openbci,loso,3,dasf_clean,0.5,4
openbci,loso,3,equal_blend_050,0.75,4
openbci,loso,3,extra_trees,0.5,4
openbci,loso,3,fixed_blend_010,0.75,4
openbci,loso,3,fixed_blend_025,0.75,4
openbci,loso,3,rf,0.5,4
openbci,loso,3,stack_recording,0.5,4
openbci,loso,4,always_fuse,0.75,4
openbci,loso,4,always_nn,0.75,4
openbci,loso,4,cbsf,0.75,4
openbci,loso,4,dasf_clean,0.75,4
openbci,loso,4,equal_blend_050,0.75,4
openbci,loso,4,extra_trees,0.5,4
openbci,loso,4,fixed_blend_010,0.75,4
openbci,loso,4,fixed_blend_025,0.75,4
openbci,loso,4,rf,0.5,4
openbci,loso,4,stack_recording,0.75,4
openbci,loso,5,always_fuse,0.75,4
openbci,loso,5,always_nn,0.75,4
openbci,loso,5,cbsf,0.75,4
openbci,loso,5,dasf_clean,0.75,4
openbci,loso,5,equal_blend_050,0.75,4
openbci,loso,5,extra_trees,0.75,4
openbci,loso,5,fixed_blend_010,0.75,4
openbci,loso,5,fixed_blend_025,0.75,4
openbci,loso,5,rf,0.5,4
openbci,loso,5,stack_recording,0.75,4
openbci,loso,6,always_fuse,0.5,4
openbci,loso,6,always_nn,0.5,4
openbci,loso,6,cbsf,0.5,4
openbci,loso,6,dasf_clean,0.5,4
openbci,loso,6,equal_blend_050,0.5,4
openbci,loso,6,extra_trees,0.25,4
openbci,loso,6,fixed_blend_010,0.5,4
openbci,loso,6,fixed_blend_025,0.5,4
openbci,loso,6,rf,0.5,4
openbci,loso,6,stack_recording,0.75,4
openbci,loso,7,always_fuse,0.75,4
openbci,loso,7,always_nn,0.5,4
openbci,loso,7,cbsf,0.75,4
openbci,loso,7,dasf_clean,0.5,4
openbci,loso,7,equal_blend_050,1.0,4
openbci,loso,7,extra_trees,0.5,4
openbci,loso,7,fixed_blend_010,0.5,4
openbci,loso,7,fixed_blend_025,0.75,4
openbci,loso,7,rf,0.5,4
openbci,loso,7,stack_recording,1.0,4
openbci,loso,8,always_fuse,0.75,4
openbci,loso,8,always_nn,0.75,4
openbci,loso,8,cbsf,0.75,4
openbci,loso,8,dasf_clean,0.75,4
openbci,loso,8,equal_blend_050,1.0,4
openbci,loso,8,extra_trees,0.75,4
openbci,loso,8,fixed_blend_010,0.75,4
openbci,loso,8,fixed_blend_025,0.75,4
openbci,loso,8,rf,0.5,4
openbci,loso,8,stack_recording,1.0,4
openbci,loso,9,always_fuse,0.75,4
openbci,loso,9,always_nn,0.75,4
openbci,loso,9,cbsf,0.75,4
openbci,loso,9,dasf_clean,0.75,4
openbci,loso,9,equal_blend_050,0.5,4
openbci,loso,9,extra_trees,0.5,4
openbci,loso,9,fixed_blend_010,0.75,4
openbci,loso,9,fixed_blend_025,0.75,4
openbci,loso,9,rf,0.5,4
openbci,loso,9,stack_recording,0.75,4
openbci,loso,10,always_fuse,0.75,4
openbci,loso,10,always_nn,0.75,4
openbci,loso,10,cbsf,0.75,4
openbci,loso,10,dasf_clean,0.75,4
openbci,loso,10,equal_blend_050,0.75,4
openbci,loso,10,extra_trees,0.75,4
openbci,loso,10,fixed_blend_010,0.75,4
openbci,loso,10,fixed_blend_025,0.75,4
openbci,loso,10,rf,0.75,4
openbci,loso,10,stack_recording,0.75,4
openbci,loso,11,always_fuse,0.75,4
openbci,loso,11,always_nn,0.5,4
openbci,loso,11,cbsf,0.5,4
openbci,loso,11,dasf_clean,0.5,4
openbci,loso,11,equal_blend_050,0.5,4
openbci,loso,11,extra_trees,0.5,4
openbci,loso,11,fixed_blend_010,0.5,4
openbci,loso,11,fixed_blend_025,0.5,4
openbci,loso,11,rf,0.5,4
openbci,loso,11,stack_recording,0.75,4
openbci,loso,12,always_fuse,0.5,4
openbci,loso,12,always_nn,0.5,4
openbci,loso,12,cbsf,0.5,4
openbci,loso,12,dasf_clean,0.5,4
openbci,loso,12,equal_blend_050,0.5,4
openbci,loso,12,extra_trees,0.75,4
openbci,loso,12,fixed_blend_010,0.5,4
openbci,loso,12,fixed_blend_025,0.5,4
openbci,loso,12,rf,0.75,4
openbci,loso,12,stack_recording,0.5,4
openbci,loso,13,always_fuse,0.25,4
openbci,loso,13,always_nn,0.5,4
openbci,loso,13,cbsf,0.25,4
openbci,loso,13,dasf_clean,0.5,4
openbci,loso,13,equal_blend_050,0.25,4
openbci,loso,13,extra_trees,0.5,4
openbci,loso,13,fixed_blend_010,0.25,4
openbci,loso,13,fixed_blend_025,0.25,4
openbci,loso,13,rf,0.5,4
openbci,loso,13,stack_recording,0.25,4
openbci,loso,14,always_fuse,0.75,4
openbci,loso,14,always_nn,0.75,4
openbci,loso,14,cbsf,0.75,4
openbci,loso,14,dasf_clean,0.75,4
openbci,loso,14,equal_blend_050,0.75,4
openbci,loso,14,extra_trees,0.75,4
openbci,loso,14,fixed_blend_010,0.75,4
openbci,loso,14,fixed_blend_025,0.75,4
openbci,loso,14,rf,0.75,4
openbci,loso,14,stack_recording,0.75,4
openbci,loso,15,always_fuse,0.75,4
openbci,loso,15,always_nn,0.75,4
openbci,loso,15,cbsf,0.75,4
openbci,loso,15,dasf_clean,0.75,4
