dataset,protocol,method,method_display,n_subjects,mean_benefit,worst_subject_benefit,empirical_cvar10,cvar_tail_subjects,subject_severe_loss_rate_5pp,subject_loss_rate,status
openbci,loso,always_fuse,Always-fuse,15,0.016666666666666666,-0.25,-0.125,2,0.06666666666666667,0.06666666666666667,exploratory_n_too_small_for_stable_10pct_tail
openbci,loso,always_nn,Always-NN,15,0.0,0.0,0.0,2,0.0,0.0,exploratory_n_too_small_for_stable_10pct_tail
openbci,loso,cbsf,CB-SF (exploratory robust implementation),15,0.016666666666666666,-0.25,-0.125,2,0.06666666666666667,0.06666666666666667,exploratory_n_too_small_for_stable_10pct_tail
openbci,loso,dasf_clean,DASF (exploratory corrected implementation),15,0.0,0.0,0.0,2,0.0,0.0,exploratory_n_too_small_for_stable_10pct_tail
openbci,loso,equal_blend_050,Equal-weight soft fusion (w=0.50),15,0.03333333333333333,-0.25,-0.25,2,0.13333333333333333,0.13333333333333333,exploratory_n_too_small_for_stable_10pct_tail
openbci,loso,extra_trees,ExtraTrees,15,-0.05,-0.25,-0.25,2,0.26666666666666666,0.26666666666666666,exploratory_n_too_small_for_stable_10pct_tail
openbci,loso,fixed_blend_010,Fixed soft fusion (w=0.10),15,0.0,-0.25,-0.125,2,0.06666666666666667,0.06666666666666667,exploratory_n_too_small_for_stable_10pct_tail
openbci,loso,fixed_blend_025,Fixed soft fusion (w=0.25),15,0.016666666666666666,-0.25,-0.125,2,0.06666666666666667,0.06666666666666667,exploratory_n_too_small_for_stable_10pct_tail
openbci,loso,rf,Random forest,15,-0.05,-0.25,-0.25,2,0.26666666666666666,0.26666666666666666,exploratory_n_too_small_for_stable_10pct_tail
openbci,loso,stack_recording,Recording-level OOF stacker,15,0.06666666666666667,-0.25,-0.125,2,0.06666666666666667,0.06666666666666667,exploratory_n_too_small_for_stable_10pct_tail
