subject,direction,validation_accuracy_nn,validation_accuracy_fuse,validation_gain,covariance_shift,effective_margin,selected_model,used_fusion,meta_training_participants,outer_subject_excluded,decision_unit
1,stroop,0.8392857142857143,0.7321428571428571,-0.1071428571428572,0.1665514808352873,0.05331029616705746,Always-NN,False,14,True,final five-seed ensemble
2,stroop,0.8214285714285714,0.7142857142857143,-0.1071428571428571,0.1729206019844167,0.054584120396883345,Always-NN,False,14,True,final five-seed ensemble
3,stroop,0.7678571428571429,0.75,-0.017857142857142905,0.1300056450150594,0.046001129003011884,Always-NN,False,14,True,final five-seed ensemble
4,stroop,0.7321428571428571,0.6964285714285714,-0.0357142857142857,1.1417712064673076,0.15,Always-NN,False,14,True,final five-seed ensemble
5,stroop,0.8035714285714286,0.6964285714285714,-0.1071428571428572,0.0940470231825722,0.038809404636514444,Always-NN,False,14,True,final five-seed ensemble
6,stroop,0.7678571428571429,0.7321428571428571,-0.03571428571428581,0.2424686230696456,0.06849372461392912,Always-NN,False,14,True,final five-seed ensemble
7,stroop,0.75,0.6964285714285714,-0.0535714285714286,0.2443746793001171,0.06887493586002343,Always-NN,False,14,True,final five-seed ensemble
8,stroop,0.7321428571428571,0.6964285714285714,-0.0357142857142857,0.1526014398375032,0.050520287967500646,Always-NN,False,14,True,final five-seed ensemble
9,stroop,0.7142857142857143,0.6785714285714286,-0.0357142857142857,0.2343409113321607,0.06686818226643214,Always-NN,False,14,True,final five-seed ensemble
10,stroop,0.7321428571428571,0.6964285714285714,-0.0357142857142857,0.5142927643233624,0.12285855286467248,Always-NN,False,14,True,final five-seed ensemble
11,stroop,0.6964285714285714,0.6964285714285714,0.0,0.2293521060694048,0.06587042121388097,Always-NN,False,14,True,final five-seed ensemble
12,stroop,0.7857142857142857,0.7321428571428571,-0.0535714285714286,0.0878497042527616,0.03756994085055232,Always-NN,False,14,True,final five-seed ensemble
13,stroop,0.8035714285714286,0.7678571428571429,-0.0357142857142857,0.186637126998768,0.057327425399753607,Always-NN,False,14,True,final five-seed ensemble
14,stroop,0.8035714285714286,0.6964285714285714,-0.1071428571428572,0.3288011189366387,0.08576022378732776,Always-NN,False,14,True,final five-seed ensemble
15,stroop,0.7857142857142857,0.6964285714285714,-0.0892857142857143,0.4555148051908917,0.11110296103817835,Always-NN,False,14,True,final five-seed ensemble
