subject,direction,fusion_weight,predicted_benefit,predicted_benefit_raw,predicted_catastrophe,ood_fallback,max_abs_robust_z,meta_training_participants,outer_subject_excluded,target_batch_recordings,usage_mode,analysis_status
1,stroop,6.394592757402953e-05,-0.16237484726867002,-0.16237484726867002,0.526202745208846,False,3.034460655934042,14,True,4,target-batch/transductive,post-hoc exploratory
2,stroop,0.07262000850454117,-0.028192197297663743,-0.028192197297663743,0.3578394709259916,False,0.7249402533947581,14,True,4,target-batch/transductive,post-hoc exploratory
3,stroop,0.22013324797162023,0.0033846072229365767,0.0033846072229365767,0.45511826592255417,False,0.3190748046516187,14,True,4,target-batch/transductive,post-hoc exploratory
4,stroop,0.5758217772788846,0.043638575266688434,0.043638575266688434,0.4954287750459472,False,2.324273462170953,14,True,4,target-batch/transductive,post-hoc exploratory
5,stroop,0.11933137610127012,-0.016595952601345096,-0.016595952601345096,0.3645494636945578,False,1.0150888681685755,14,True,4,target-batch/transductive,post-hoc exploratory
6,stroop,0.0007464687013670071,-0.11126958978196429,-0.11126958978196429,0.5650401228600156,False,3.7161013842677666,14,True,4,target-batch/transductive,post-hoc exploratory
7,stroop,0.17656192484894914,-0.011183781587060494,-0.011183781587060494,0.2809554795480429,False,0.8573284144354999,14,True,4,target-batch/transductive,post-hoc exploratory
8,stroop,0.00017468380307713503,-0.12471138726571296,-0.12471138726571296,0.877440705882769,False,1.4089646870834314,14,True,4,target-batch/transductive,post-hoc exploratory
9,stroop,0.7686908488238243,0.07027026159703025,0.07027026159703025,0.12509385318833263,False,1.1746644363833272,14,True,4,target-batch/transductive,post-hoc exploratory
10,stroop,0.017399850132040467,-0.045710080928208704,-0.045710080928208704,0.6082625047134667,False,0.5431701624105164,14,True,4,target-batch/transductive,post-hoc exploratory
11,stroop,0.4109377592471686,0.02305778655627949,0.02305778655627949,0.43927475795806253,False,0.7242062606165004,14,True,4,target-batch/transductive,post-hoc exploratory
12,stroop,0.006638329496100841,-0.06809351334655613,-0.06809351334655613,0.5514972716921893,False,0.9558521259452769,14,True,4,target-batch/transductive,post-hoc exploratory
13,stroop,0.05521126008666041,-0.038078640632379916,-0.038078640632379916,0.2792006625612021,False,0.5500926020786236,14,True,4,target-batch/transductive,post-hoc exploratory
14,stroop,5.77803430683281e-07,-0.24477758803188918,-0.24477758803188918,0.7608033745103947,False,3.416819328943343,14,True,4,target-batch/transductive,post-hoc exploratory
15,stroop,0.1410061627617693,-0.016209749696902434,-0.016209749696902434,0.292569240389321,False,1.036527124258012,14,True,4,target-batch/transductive,post-hoc exploratory
