subject,direction,meta_training_participants,meta_training_recordings,outer_subject_excluded,meta_source
1,stroop,14,56,True,outer-training participant-disjoint OOF recording predictions
2,stroop,14,56,True,outer-training participant-disjoint OOF recording predictions
3,stroop,14,56,True,outer-training participant-disjoint OOF recording predictions
4,stroop,14,56,True,outer-training participant-disjoint OOF recording predictions
5,stroop,14,56,True,outer-training participant-disjoint OOF recording predictions
6,stroop,14,56,True,outer-training participant-disjoint OOF recording predictions
7,stroop,14,56,True,outer-training participant-disjoint OOF recording predictions
8,stroop,14,56,True,outer-training participant-disjoint OOF recording predictions
9,stroop,14,56,True,outer-training participant-disjoint OOF recording predictions
10,stroop,14,56,True,outer-training participant-disjoint OOF recording predictions
11,stroop,14,56,True,outer-training participant-disjoint OOF recording predictions
12,stroop,14,56,True,outer-training participant-disjoint OOF recording predictions
13,stroop,14,56,True,outer-training participant-disjoint OOF recording predictions
14,stroop,14,56,True,outer-training participant-disjoint OOF recording predictions
15,stroop,14,56,True,outer-training participant-disjoint OOF recording predictions
