dataset,protocol,subject,direction,recording_id,method,true_label,p0,p1,pred_label,correct,n_windows,ensemble_size
openbci,loso,1,stroop,stroop:s01:r0,riemann_mdm,0.0,0.9333993721371702,0.06660062786282982,0.0,1.0,157.0,5.0
openbci,loso,1,stroop,stroop:s01:r0,riemann_ts_logreg,0.0,0.49363659460747705,0.506363405392523,1.0,0.0,157.0,5.0
openbci,loso,1,stroop,stroop:s01:r1,riemann_mdm,0.0,0.22157537480406256,0.7784246251959376,1.0,0.0,148.0,5.0
openbci,loso,1,stroop,stroop:s01:r1,riemann_ts_logreg,0.0,0.39146490780469195,0.608535092195308,1.0,0.0,148.0,5.0
openbci,loso,1,stroop,stroop:s01:r2,riemann_mdm,1.0,0.20015138082411474,0.7998486191758852,1.0,1.0,139.0,5.0
openbci,loso,1,stroop,stroop:s01:r2,riemann_ts_logreg,1.0,0.385248231781378,0.614751768218622,1.0,1.0,139.0,5.0
openbci,loso,1,stroop,stroop:s01:r3,riemann_mdm,1.0,0.07926429258550254,0.9207357074144975,1.0,1.0,209.0,5.0
openbci,loso,1,stroop,stroop:s01:r3,riemann_ts_logreg,1.0,0.3037902673211702,0.6962097326788298,1.0,1.0,209.0,5.0
openbci,loso,2,stroop,stroop:s02:r0,riemann_mdm,0.0,0.9936410720040377,0.0063589279959622895,0.0,1.0,450.0,5.0
openbci,loso,2,stroop,stroop:s02:r0,riemann_ts_logreg,0.0,0.9666515816454966,0.033348418354503376,0.0,1.0,450.0,5.0
openbci,loso,2,stroop,stroop:s02:r1,riemann_mdm,0.0,0.996415286707436,0.0035847132925640726,0.0,1.0,95.0,5.0
openbci,loso,2,stroop,stroop:s02:r1,riemann_ts_logreg,0.0,0.9317984048315783,0.06820159516842174,0.0,1.0,95.0,5.0
openbci,loso,2,stroop,stroop:s02:r2,riemann_mdm,1.0,0.995432318186001,0.004567681813999079,0.0,0.0,106.0,5.0
openbci,loso,2,stroop,stroop:s02:r2,riemann_ts_logreg,1.0,0.9260865315764512,0.07391346842354889,0.0,0.0,106.0,5.0
openbci,loso,2,stroop,stroop:s02:r3,riemann_mdm,1.0,0.9977877415798311,0.0022122584201689204,0.0,0.0,208.0,5.0
openbci,loso,2,stroop,stroop:s02:r3,riemann_ts_logreg,1.0,0.9200687409604074,0.07993125903959261,0.0,0.0,208.0,5.0
openbci,loso,3,stroop,stroop:s03:r0,riemann_mdm,0.0,0.898896238151365,0.10110376184863504,0.0,1.0,181.0,5.0
openbci,loso,3,stroop,stroop:s03:r0,riemann_ts_logreg,0.0,0.5221542909456115,0.4778457090543885,0.0,1.0,181.0,5.0
openbci,loso,3,stroop,stroop:s03:r1,riemann_mdm,0.0,0.8940221600526381,0.1059778399473619,0.0,1.0,127.0,5.0
openbci,loso,3,stroop,stroop:s03:r1,riemann_ts_logreg,0.0,0.7199223496548449,0.280077650345155,0.0,1.0,127.0,5.0
openbci,loso,3,stroop,stroop:s03:r2,riemann_mdm,1.0,0.8614038688917706,0.13859613110822933,0.0,0.0,102.0,5.0
openbci,loso,3,stroop,stroop:s03:r2,riemann_ts_logreg,1.0,0.6345796289040339,0.3654203710959661,0.0,0.0,102.0,5.0
openbci,loso,3,stroop,stroop:s03:r3,riemann_mdm,1.0,0.930021760041194,0.06997823995880595,0.0,0.0,160.0,5.0
openbci,loso,3,stroop,stroop:s03:r3,riemann_ts_logreg,1.0,0.3989427415353215,0.6010572584646785,1.0,1.0,160.0,5.0
openbci,loso,4,stroop,stroop:s04:r0,riemann_mdm,0.0,0.46381349848343423,0.5361865015165658,1.0,0.0,116.0,5.0
openbci,loso,4,stroop,stroop:s04:r0,riemann_ts_logreg,0.0,7.930046439779557e-05,0.9999206995356023,1.0,0.0,116.0,5.0
openbci,loso,4,stroop,stroop:s04:r1,riemann_mdm,0.0,0.3807725840206244,0.6192274159793757,1.0,0.0,89.0,5.0
openbci,loso,4,stroop,stroop:s04:r1,riemann_ts_logreg,0.0,0.00018580701216052933,0.9998141929878395,1.0,0.0,89.0,5.0
openbci,loso,4,stroop,stroop:s04:r2,riemann_mdm,1.0,0.44860000727441346,0.5513999927255865,1.0,1.0,62.0,5.0
openbci,loso,4,stroop,stroop:s04:r2,riemann_ts_logreg,1.0,0.00032481105872839887,0.9996751889412716,1.0,1.0,62.0,5.0
openbci,loso,4,stroop,stroop:s04:r3,riemann_mdm,1.0,0.44524971485879344,0.5547502851412066,1.0,1.0,192.0,5.0
openbci,loso,4,stroop,stroop:s04:r3,riemann_ts_logreg,1.0,0.0001819247641526263,0.9998180752358473,1.0,1.0,192.0,5.0
openbci,loso,5,stroop,stroop:s05:r0,riemann_mdm,0.0,0.9917359850706144,0.008264014929385553,0.0,1.0,244.0,5.0
openbci,loso,5,stroop,stroop:s05:r0,riemann_ts_logreg,0.0,0.8811197884321997,0.11888021156780025,0.0,1.0,244.0,5.0
openbci,loso,5,stroop,stroop:s05:r1,riemann_mdm,0.0,0.7029837948996115,0.2970162051003884,0.0,1.0,137.0,5.0
openbci,loso,5,stroop,stroop:s05:r1,riemann_ts_logreg,0.0,0.46820642401541523,0.5317935759845848,1.0,0.0,137.0,5.0
openbci,loso,5,stroop,stroop:s05:r2,riemann_mdm,1.0,0.7007020729805101,0.29929792701948993,0.0,0.0,108.0,5.0
openbci,loso,5,stroop,stroop:s05:r2,riemann_ts_logreg,1.0,0.35479645270274024,0.6452035472972598,1.0,1.0,108.0,5.0
openbci,loso,5,stroop,stroop:s05:r3,riemann_mdm,1.0,0.620601200780345,0.379398799219655,0.0,0.0,171.0,5.0
openbci,loso,5,stroop,stroop:s05:r3,riemann_ts_logreg,1.0,0.26263931221377046,0.7373606877862295,1.0,1.0,171.0,5.0
openbci,loso,6,stroop,stroop:s06:r0,riemann_mdm,0.0,0.1833136584941637,0.8166863415058363,1.0,0.0,150.0,5.0
openbci,loso,6,stroop,stroop:s06:r0,riemann_ts_logreg,0.0,0.4503830525995926,0.5496169474004075,1.0,0.0,150.0,5.0
