dataset,protocol,subject,direction,method,accuracy,n_recordings
openbci,loso,1,stroop,riemann_mdm,0.75,4
openbci,loso,1,stroop,riemann_ts_logreg,0.5,4
openbci,loso,2,stroop,riemann_mdm,0.5,4
openbci,loso,2,stroop,riemann_ts_logreg,0.5,4
openbci,loso,3,stroop,riemann_mdm,0.5,4
openbci,loso,3,stroop,riemann_ts_logreg,0.75,4
openbci,loso,4,stroop,riemann_mdm,0.5,4
openbci,loso,4,stroop,riemann_ts_logreg,0.5,4
openbci,loso,5,stroop,riemann_mdm,0.5,4
openbci,loso,5,stroop,riemann_ts_logreg,0.75,4
openbci,loso,6,stroop,riemann_mdm,0.25,4
openbci,loso,6,stroop,riemann_ts_logreg,0.5,4
openbci,loso,7,stroop,riemann_mdm,0.75,4
openbci,loso,7,stroop,riemann_ts_logreg,0.5,4
openbci,loso,8,stroop,riemann_mdm,0.5,4
openbci,loso,8,stroop,riemann_ts_logreg,0.5,4
openbci,loso,9,stroop,riemann_mdm,0.5,4
openbci,loso,9,stroop,riemann_ts_logreg,0.5,4
openbci,loso,10,stroop,riemann_mdm,0.5,4
openbci,loso,10,stroop,riemann_ts_logreg,0.5,4
openbci,loso,11,stroop,riemann_mdm,0.5,4
openbci,loso,11,stroop,riemann_ts_logreg,0.25,4
openbci,loso,12,stroop,riemann_mdm,0.5,4
openbci,loso,12,stroop,riemann_ts_logreg,0.75,4
openbci,loso,13,stroop,riemann_mdm,0.5,4
openbci,loso,13,stroop,riemann_ts_logreg,0.25,4
openbci,loso,14,stroop,riemann_mdm,0.5,4
openbci,loso,14,stroop,riemann_ts_logreg,0.5,4
openbci,loso,15,stroop,riemann_mdm,0.75,4
openbci,loso,15,stroop,riemann_ts_logreg,0.5,4
