dataset,protocol,subject,direction,recording_id,window_id,method,seed,true_label,p0,p1
openbci,loso,1,stroop,stroop:s01:r0,stroop:s01:r0:w00000,eegnet,1335,0,0.2059979289770126,0.7940020561218262
openbci,loso,1,stroop,stroop:s01:r0,stroop:s01:r0:w00000,eegnet,1388,0,0.4441406428813934,0.5558593273162842
openbci,loso,1,stroop,stroop:s01:r0,stroop:s01:r0:w00000,eegnet,1441,0,0.3894279301166534,0.6105720400810242
openbci,loso,1,stroop,stroop:s01:r0,stroop:s01:r0:w00000,eegnet,1494,0,0.3249839842319488,0.6750160455703735
openbci,loso,1,stroop,stroop:s01:r0,stroop:s01:r0:w00000,eegnet,1547,0,0.2748597860336303,0.7251401543617249
openbci,loso,1,stroop,stroop:s01:r0,stroop:s01:r0:w00001,eegnet,1335,0,0.2003459632396698,0.7996540665626526
openbci,loso,1,stroop,stroop:s01:r0,stroop:s01:r0:w00001,eegnet,1388,0,0.8114363551139832,0.1885636299848556
openbci,loso,1,stroop,stroop:s01:r0,stroop:s01:r0:w00001,eegnet,1441,0,0.6567474603652954,0.343252569437027
openbci,loso,1,stroop,stroop:s01:r0,stroop:s01:r0:w00001,eegnet,1494,0,0.585367739200592,0.4146322309970855
openbci,loso,1,stroop,stroop:s01:r0,stroop:s01:r0:w00001,eegnet,1547,0,0.5642703175544739,0.4357297122478485
openbci,loso,1,stroop,stroop:s01:r0,stroop:s01:r0:w00002,eegnet,1335,0,0.3826597332954407,0.6173402667045593
openbci,loso,1,stroop,stroop:s01:r0,stroop:s01:r0:w00002,eegnet,1388,0,0.5556058287620544,0.4443941414356231
openbci,loso,1,stroop,stroop:s01:r0,stroop:s01:r0:w00002,eegnet,1441,0,0.5525206923484802,0.4474792778491974
openbci,loso,1,stroop,stroop:s01:r0,stroop:s01:r0:w00002,eegnet,1494,0,0.4263712763786316,0.5736287236213684
openbci,loso,1,stroop,stroop:s01:r0,stroop:s01:r0:w00002,eegnet,1547,0,0.4442989826202392,0.5557010173797607
openbci,loso,1,stroop,stroop:s01:r0,stroop:s01:r0:w00003,eegnet,1335,0,0.5535972118377686,0.4464027881622314
openbci,loso,1,stroop,stroop:s01:r0,stroop:s01:r0:w00003,eegnet,1388,0,0.6606861352920532,0.339313805103302
