dataset,protocol,subject,direction,recording_id,method,true_label,p0,p1,pred_label,correct,n_windows,ensemble_size
openbci,loso,1,stroop,stroop:s01:r0,eegnet,0.0,0.37263137991675055,0.6273686200832495,1.0,0.0,157.0,5.0
openbci,loso,1,stroop,stroop:s01:r1,eegnet,0.0,0.17896545376928133,0.8210345462307186,1.0,0.0,148.0,5.0
openbci,loso,1,stroop,stroop:s01:r2,eegnet,1.0,0.27864923296850497,0.7213507670314949,1.0,1.0,139.0,5.0
openbci,loso,1,stroop,stroop:s01:r3,eegnet,1.0,0.21207877340141598,0.7879212265985841,1.0,1.0,209.0,5.0
openbci,loso,2,stroop,stroop:s02:r0,eegnet,0.0,0.9735375970759171,0.02646240292408286,0.0,1.0,450.0,5.0
openbci,loso,2,stroop,stroop:s02:r1,eegnet,0.0,0.9871043016714031,0.012895698328596992,0.0,1.0,95.0,5.0
openbci,loso,2,stroop,stroop:s02:r2,eegnet,1.0,0.922502055024618,0.07749794497538194,0.0,0.0,106.0,5.0
openbci,loso,2,stroop,stroop:s02:r3,eegnet,1.0,0.9693724868352792,0.030627513164720847,0.0,0.0,208.0,5.0
openbci,loso,3,stroop,stroop:s03:r0,eegnet,0.0,0.7001160875887092,0.29988391241129064,0.0,1.0,181.0,5.0
openbci,loso,3,stroop,stroop:s03:r1,eegnet,0.0,0.21733073908250342,0.7826692609174966,1.0,0.0,127.0,5.0
openbci,loso,3,stroop,stroop:s03:r2,eegnet,1.0,0.16781594543344983,0.8321840545665502,1.0,1.0,102.0,5.0
openbci,loso,3,stroop,stroop:s03:r3,eegnet,1.0,0.10424748323548796,0.8957525167645121,1.0,1.0,160.0,5.0
openbci,loso,4,stroop,stroop:s04:r0,eegnet,0.0,0.4614180224164292,0.5385819775835707,1.0,0.0,116.0,5.0
openbci,loso,4,stroop,stroop:s04:r1,eegnet,0.0,0.30520618906512664,0.6947938109348734,1.0,0.0,89.0,5.0
openbci,loso,4,stroop,stroop:s04:r2,eegnet,1.0,0.35722042511303187,0.6427795748869682,1.0,1.0,62.0,5.0
openbci,loso,4,stroop,stroop:s04:r3,eegnet,1.0,0.2784798134330274,0.7215201865669726,1.0,1.0,192.0,5.0
openbci,loso,5,stroop,stroop:s05:r0,eegnet,0.0,0.6605493476380201,0.3394506523619798,0.0,1.0,244.0,5.0
openbci,loso,5,stroop,stroop:s05:r1,eegnet,0.0,0.31456276894400786,0.6854372310559922,1.0,0.0,137.0,5.0
