dataset,protocol,subject,direction,method,accuracy,n_recordings
openbci,loso,1,stroop,eegnet,0.5,4
openbci,loso,2,stroop,eegnet,0.5,4
openbci,loso,3,stroop,eegnet,0.75,4
openbci,loso,4,stroop,eegnet,0.5,4
openbci,loso,5,stroop,eegnet,0.75,4
openbci,loso,6,stroop,eegnet,0.5,4
openbci,loso,7,stroop,eegnet,0.75,4
openbci,loso,8,stroop,eegnet,1.0,4
openbci,loso,9,stroop,eegnet,1.0,4
openbci,loso,10,stroop,eegnet,0.75,4
openbci,loso,11,stroop,eegnet,0.75,4
openbci,loso,12,stroop,eegnet,0.75,4
openbci,loso,13,stroop,eegnet,0.5,4
openbci,loso,14,stroop,eegnet,0.75,4
openbci,loso,15,stroop,eegnet,0.75,4
