dataset,protocol,subject,direction,recording_id,window_id,method,seed,true_label,p0,p1
openbci,loso,1,stroop,stroop:s01:r0,stroop:s01:r0:w00000,eeg_conformer,1335,0,0.267520397901535,0.7324796319007874
openbci,loso,1,stroop,stroop:s01:r0,stroop:s01:r0:w00000,eeg_conformer,1388,0,0.7128434777259827,0.2871564924716949
openbci,loso,1,stroop,stroop:s01:r0,stroop:s01:r0:w00000,eeg_conformer,1441,0,0.3624262511730194,0.6375737190246582
openbci,loso,1,stroop,stroop:s01:r0,stroop:s01:r0:w00000,eeg_conformer,1494,0,0.7082740664482117,0.2917259633541107
openbci,loso,1,stroop,stroop:s01:r0,stroop:s01:r0:w00000,eeg_conformer,1547,0,0.9347489476203918,0.0652510598301887
openbci,loso,1,stroop,stroop:s01:r0,stroop:s01:r0:w00001,eeg_conformer,1335,0,0.92605322599411,0.0739467814564704
openbci,loso,1,stroop,stroop:s01:r0,stroop:s01:r0:w00001,eeg_conformer,1388,0,0.38308185338974,0.6169182062149048
openbci,loso,1,stroop,stroop:s01:r0,stroop:s01:r0:w00001,eeg_conformer,1441,0,0.4472215175628662,0.5527784824371338
openbci,loso,1,stroop,stroop:s01:r0,stroop:s01:r0:w00001,eeg_conformer,1494,0,0.1567845940589904,0.8432154059410095
openbci,loso,1,stroop,stroop:s01:r0,stroop:s01:r0:w00001,eeg_conformer,1547,0,0.1095552518963813,0.890444815158844
openbci,loso,1,stroop,stroop:s01:r0,stroop:s01:r0:w00002,eeg_conformer,1335,0,0.7125515937805176,0.2874484062194824
openbci,loso,1,stroop,stroop:s01:r0,stroop:s01:r0:w00002,eeg_conformer,1388,0,0.3501756489276886,0.649824321269989
openbci,loso,1,stroop,stroop:s01:r0,stroop:s01:r0:w00002,eeg_conformer,1441,0,0.3140738606452942,0.6859261393547058
openbci,loso,1,stroop,stroop:s01:r0,stroop:s01:r0:w00002,eeg_conformer,1494,0,0.2777965664863586,0.7222034335136414
openbci,loso,1,stroop,stroop:s01:r0,stroop:s01:r0:w00002,eeg_conformer,1547,0,0.1269374936819076,0.8730624914169312
openbci,loso,1,stroop,stroop:s01:r0,stroop:s01:r0:w00003,eeg_conformer,1335,0,0.2896309494972229,0.7103690505027771
openbci,loso,1,stroop,stroop:s01:r0,stroop:s01:r0:w00003,eeg_conformer,1388,0,0.7361206412315369,0.2638793289661407
openbci,loso,1,stroop,stroop:s01:r0,stroop:s01:r0:w00003,eeg_conformer,1441,0,0.5749685168266296,0.4250315129756927
openbci,loso,1,stroop,stroop:s01:r0,stroop:s01:r0:w00003,eeg_conformer,1494,0,0.6190934777259827,0.3809064626693725
openbci,loso,1,stroop,stroop:s01:r0,stroop:s01:r0:w00003,eeg_conformer,1547,0,0.9802606701850892,0.0197393056005239
openbci,loso,1,stroop,stroop:s01:r0,stroop:s01:r0:w00004,eeg_conformer,1335,0,0.2108526229858398,0.7891473770141602
openbci,loso,1,stroop,stroop:s01:r0,stroop:s01:r0:w00004,eeg_conformer,1388,0,0.6516032814979553,0.348396748304367
openbci,loso,1,stroop,stroop:s01:r0,stroop:s01:r0:w00004,eeg_conformer,1441,0,0.3439304232597351,0.6560695767402649
openbci,loso,1,stroop,stroop:s01:r0,stroop:s01:r0:w00004,eeg_conformer,1494,0,0.5017191767692566,0.498280793428421
openbci,loso,1,stroop,stroop:s01:r0,stroop:s01:r0:w00004,eeg_conformer,1547,0,0.9279304146766664,0.0720695927739143
openbci,loso,1,stroop,stroop:s01:r0,stroop:s01:r0:w00005,eeg_conformer,1335,0,0.9041312336921692,0.0958688110113143
openbci,loso,1,stroop,stroop:s01:r0,stroop:s01:r0:w00005,eeg_conformer,1388,0,0.378194510936737,0.6218055486679077
openbci,loso,1,stroop,stroop:s01:r0,stroop:s01:r0:w00005,eeg_conformer,1441,0,0.319305807352066,0.6806941628456116
openbci,loso,1,stroop,stroop:s01:r0,stroop:s01:r0:w00005,eeg_conformer,1494,0,0.5032225251197815,0.4967775046825409
openbci,loso,1,stroop,stroop:s01:r0,stroop:s01:r0:w00005,eeg_conformer,1547,0,0.0903077870607376,0.9096921682357788
openbci,loso,1,stroop,stroop:s01:r0,stroop:s01:r0:w00006,eeg_conformer,1335,0,0.7945732474327087,0.2054267227649688
openbci,loso,1,stroop,stroop:s01:r0,stroop:s01:r0:w00006,eeg_conformer,1388,0,0.3771518468856811,0.6228481531143188
openbci,loso,1,stroop,stroop:s01:r0,stroop:s01:r0:w00006,eeg_conformer,1441,0,0.2944700121879577,0.7055299878120422
openbci,loso,1,stroop,stroop:s01:r0,stroop:s01:r0:w00006,eeg_conformer,1494,0,0.4527291357517242,0.5472708344459534
openbci,loso,1,stroop,stroop:s01:r0,stroop:s01:r0:w00006,eeg_conformer,1547,0,0.0680627226829528,0.9319372773170472
openbci,loso,1,stroop,stroop:s01:r0,stroop:s01:r0:w00007,eeg_conformer,1335,0,0.3313316106796264,0.6686683893203735
openbci,loso,1,stroop,stroop:s01:r0,stroop:s01:r0:w00007,eeg_conformer,1388,0,0.0964831709861755,0.9035168290138244
openbci,loso,1,stroop,stroop:s01:r0,stroop:s01:r0:w00007,eeg_conformer,1441,0,0.7387989163398743,0.2612010538578033
openbci,loso,1,stroop,stroop:s01:r0,stroop:s01:r0:w00007,eeg_conformer,1494,0,0.93895161151886,0.0610483363270759
openbci,loso,1,stroop,stroop:s01:r0,stroop:s01:r0:w00007,eeg_conformer,1547,0,0.9260361790657043,0.073963776230812
openbci,loso,1,stroop,stroop:s01:r0,stroop:s01:r0:w00008,eeg_conformer,1335,0,0.2533858120441437,0.7466142177581787
openbci,loso,1,stroop,stroop:s01:r0,stroop:s01:r0:w00008,eeg_conformer,1388,0,0.011651137843728,0.9883488416671752
openbci,loso,1,stroop,stroop:s01:r0,stroop:s01:r0:w00008,eeg_conformer,1441,0,0.8555313348770142,0.144468605518341
openbci,loso,1,stroop,stroop:s01:r0,stroop:s01:r0:w00008,eeg_conformer,1494,0,0.9297803044319152,0.0702196806669235
openbci,loso,1,stroop,stroop:s01:r0,stroop:s01:r0:w00008,eeg_conformer,1547,0,0.9334162473678588,0.0665837377309799
openbci,loso,1,stroop,stroop:s01:r0,stroop:s01:r0:w00009,eeg_conformer,1335,0,0.2944888770580292,0.7055111527442932
openbci,loso,1,stroop,stroop:s01:r0,stroop:s01:r0:w00009,eeg_conformer,1388,0,0.008019152097404,0.9919809103012084
openbci,loso,1,stroop,stroop:s01:r0,stroop:s01:r0:w00009,eeg_conformer,1441,0,0.1498521715402603,0.8501479029655457
openbci,loso,1,stroop,stroop:s01:r0,stroop:s01:r0:w00009,eeg_conformer,1494,0,0.0732813626527786,0.9267186522483826
openbci,loso,1,stroop,stroop:s01:r0,stroop:s01:r0:w00009,eeg_conformer,1547,0,0.957053542137146,0.042946457862854
openbci,loso,1,stroop,stroop:s01:r0,stroop:s01:r0:w00010,eeg_conformer,1335,0,0.0750123634934425,0.9249876141548156
openbci,loso,1,stroop,stroop:s01:r0,stroop:s01:r0:w00010,eeg_conformer,1388,0,0.0104094538837671,0.989590585231781
openbci,loso,1,stroop,stroop:s01:r0,stroop:s01:r0:w00010,eeg_conformer,1441,0,0.0268443934619426,0.9731556177139282
openbci,loso,1,stroop,stroop:s01:r0,stroop:s01:r0:w00010,eeg_conformer,1494,0,0.0082039292901754,0.99179607629776
openbci,loso,1,stroop,stroop:s01:r0,stroop:s01:r0:w00010,eeg_conformer,1547,0,0.0323829501867294,0.9676170349121094
openbci,loso,1,stroop,stroop:s01:r0,stroop:s01:r0:w00011,eeg_conformer,1335,0,0.0315119959414005,0.9684879779815674
openbci,loso,1,stroop,stroop:s01:r0,stroop:s01:r0:w00011,eeg_conformer,1388,0,0.0068460111506283,0.9931540489196776
openbci,loso,1,stroop,stroop:s01:r0,stroop:s01:r0:w00011,eeg_conformer,1441,0,0.021064780652523,0.978935182094574
openbci,loso,1,stroop,stroop:s01:r0,stroop:s01:r0:w00011,eeg_conformer,1494,0,0.0053287190385162,0.9946712851524352
openbci,loso,1,stroop,stroop:s01:r0,stroop:s01:r0:w00011,eeg_conformer,1547,0,0.1287462413311004,0.8712537288665771
openbci,loso,1,stroop,stroop:s01:r0,stroop:s01:r0:w00012,eeg_conformer,1335,0,0.031664777547121,0.9683352708816528
openbci,loso,1,stroop,stroop:s01:r0,stroop:s01:r0:w00012,eeg_conformer,1388,0,0.006986366584897,0.9930136799812316
openbci,loso,1,stroop,stroop:s01:r0,stroop:s01:r0:w00012,eeg_conformer,1441,0,0.0274218264967203,0.9725781083106996
openbci,loso,1,stroop,stroop:s01:r0,stroop:s01:r0:w00012,eeg_conformer,1494,0,0.0071218330413103,0.9928781390190125
openbci,loso,1,stroop,stroop:s01:r0,stroop:s01:r0:w00012,eeg_conformer,1547,0,0.2374311685562133,0.7625688314437866
openbci,loso,1,stroop,stroop:s01:r0,stroop:s01:r0:w00013,eeg_conformer,1335,0,0.0982341691851615,0.9017658233642578
openbci,loso,1,stroop,stroop:s01:r0,stroop:s01:r0:w00013,eeg_conformer,1388,0,0.0110528487712144,0.9889471530914308
openbci,loso,1,stroop,stroop:s01:r0,stroop:s01:r0:w00013,eeg_conformer,1441,0,0.0341809205710887,0.9658190608024596
openbci,loso,1,stroop,stroop:s01:r0,stroop:s01:r0:w00013,eeg_conformer,1494,0,0.010018590837717,0.9899813532829284
openbci,loso,1,stroop,stroop:s01:r0,stroop:s01:r0:w00013,eeg_conformer,1547,0,0.3235657513141632,0.6764342784881592
openbci,loso,1,stroop,stroop:s01:r0,stroop:s01:r0:w00014,eeg_conformer,1335,0,0.0390264503657817,0.9609735608100892
openbci,loso,1,stroop,stroop:s01:r0,stroop:s01:r0:w00014,eeg_conformer,1388,0,0.0074485563673079,0.9925514459609984
openbci,loso,1,stroop,stroop:s01:r0,stroop:s01:r0:w00014,eeg_conformer,1441,0,0.0201115012168884,0.9798884987831116
openbci,loso,1,stroop,stroop:s01:r0,stroop:s01:r0:w00014,eeg_conformer,1494,0,0.004388730507344,0.9956112504005432
openbci,loso,1,stroop,stroop:s01:r0,stroop:s01:r0:w00014,eeg_conformer,1547,0,0.0193214975297451,0.9806784987449646
openbci,loso,1,stroop,stroop:s01:r0,stroop:s01:r0:w00015,eeg_conformer,1335,0,0.0320512056350708,0.9679487943649292
openbci,loso,1,stroop,stroop:s01:r0,stroop:s01:r0:w00015,eeg_conformer,1388,0,0.0074084508232772,0.9925916194915771
openbci,loso,1,stroop,stroop:s01:r0,stroop:s01:r0:w00015,eeg_conformer,1441,0,0.0363129526376724,0.9636871218681335
openbci,loso,1,stroop,stroop:s01:r0,stroop:s01:r0:w00015,eeg_conformer,1494,0,0.0053005628287792,0.994699478149414
openbci,loso,1,stroop,stroop:s01:r0,stroop:s01:r0:w00015,eeg_conformer,1547,0,0.0526212155818939,0.9473787546157836
openbci,loso,1,stroop,stroop:s01:r0,stroop:s01:r0:w00016,eeg_conformer,1335,0,0.0985708087682724,0.9014291763305664
openbci,loso,1,stroop,stroop:s01:r0,stroop:s01:r0:w00016,eeg_conformer,1388,0,0.0155660351738333,0.9844339489936828
openbci,loso,1,stroop,stroop:s01:r0,stroop:s01:r0:w00016,eeg_conformer,1441,0,0.0501802824437618,0.9498196840286256
