dataset,protocol,subject,direction,recording_id,method,true_label,p0,p1,pred_label,correct,n_windows,ensemble_size
openbci,loso,1,stroop,stroop:s01:r0,eeg_conformer,0.0,0.8153688645547237,0.1846311354452762,0.0,1.0,157.0,5.0
openbci,loso,1,stroop,stroop:s01:r1,eeg_conformer,0.0,0.5329243261751624,0.46707567382483756,0.0,1.0,148.0,5.0
openbci,loso,1,stroop,stroop:s01:r2,eeg_conformer,1.0,0.7418384070573708,0.2581615929426292,0.0,0.0,139.0,5.0
openbci,loso,1,stroop,stroop:s01:r3,eeg_conformer,1.0,0.36352380943869206,0.636476190561308,1.0,1.0,209.0,5.0
openbci,loso,2,stroop,stroop:s02:r0,eeg_conformer,0.0,0.9260458868980381,0.0739541131019618,0.0,1.0,450.0,5.0
openbci,loso,2,stroop,stroop:s02:r1,eeg_conformer,0.0,0.9691245225490656,0.030875477450934486,0.0,1.0,95.0,5.0
openbci,loso,2,stroop,stroop:s02:r2,eeg_conformer,1.0,0.8428730719277412,0.1571269280722588,0.0,0.0,106.0,5.0
openbci,loso,2,stroop,stroop:s02:r3,eeg_conformer,1.0,0.9492959270596562,0.05070407294034382,0.0,0.0,208.0,5.0
openbci,loso,3,stroop,stroop:s03:r0,eeg_conformer,0.0,0.9305870740596199,0.06941292594038008,0.0,1.0,181.0,5.0
openbci,loso,3,stroop,stroop:s03:r1,eeg_conformer,0.0,0.2925567483084853,0.7074432516915148,1.0,0.0,127.0,5.0
openbci,loso,3,stroop,stroop:s03:r2,eeg_conformer,1.0,0.18058825970002593,0.8194117402999741,1.0,1.0,102.0,5.0
openbci,loso,3,stroop,stroop:s03:r3,eeg_conformer,1.0,0.03628556950583191,0.9637144304941682,1.0,1.0,160.0,5.0
openbci,loso,4,stroop,stroop:s04:r0,eeg_conformer,0.0,0.011590674043603293,0.9884093259563967,1.0,0.0,116.0,5.0
openbci,loso,4,stroop,stroop:s04:r1,eeg_conformer,0.0,0.008864039929878435,0.9911359600701215,1.0,0.0,89.0,5.0
openbci,loso,4,stroop,stroop:s04:r2,eeg_conformer,1.0,0.007949910889387386,0.9920500891106127,1.0,1.0,62.0,5.0
openbci,loso,4,stroop,stroop:s04:r3,eeg_conformer,1.0,0.009513802657842966,0.990486197342157,1.0,1.0,192.0,5.0
openbci,loso,5,stroop,stroop:s05:r0,eeg_conformer,0.0,0.9213098636353162,0.07869013636468385,0.0,1.0,244.0,5.0
openbci,loso,5,stroop,stroop:s05:r1,eeg_conformer,0.0,0.08084295184079662,0.9191570481592034,1.0,0.0,137.0,5.0
openbci,loso,5,stroop,stroop:s05:r2,eeg_conformer,1.0,0.09719253110186896,0.902807468898131,1.0,1.0,108.0,5.0
openbci,loso,5,stroop,stroop:s05:r3,eeg_conformer,1.0,0.047512105173591446,0.9524878948264086,1.0,1.0,171.0,5.0
openbci,loso,6,stroop,stroop:s06:r0,eeg_conformer,0.0,0.028427164707670722,0.9715728352923293,1.0,0.0,150.0,5.0
openbci,loso,6,stroop,stroop:s06:r1,eeg_conformer,0.0,0.04482422977978712,0.9551757702202128,1.0,0.0,119.0,5.0
openbci,loso,6,stroop,stroop:s06:r2,eeg_conformer,1.0,0.047843462387875194,0.9521565376121248,1.0,1.0,111.0,5.0
openbci,loso,6,stroop,stroop:s06:r3,eeg_conformer,1.0,0.01374494020108781,0.9862550597989123,1.0,1.0,161.0,5.0
openbci,loso,7,stroop,stroop:s07:r0,eeg_conformer,0.0,0.9490462161025593,0.0509537838974407,0.0,1.0,169.0,5.0
openbci,loso,7,stroop,stroop:s07:r1,eeg_conformer,0.0,0.9900667550682183,0.009933244931781686,0.0,1.0,97.0,5.0
openbci,loso,7,stroop,stroop:s07:r2,eeg_conformer,1.0,0.9822479034104277,0.017752096589572337,0.0,0.0,96.0,5.0
openbci,loso,7,stroop,stroop:s07:r3,eeg_conformer,1.0,0.9868949353645741,0.013105064635425958,0.0,0.0,179.0,5.0
openbci,loso,8,stroop,stroop:s08:r0,eeg_conformer,0.0,0.9116912308741888,0.08830876912581123,0.0,1.0,190.0,5.0
openbci,loso,8,stroop,stroop:s08:r1,eeg_conformer,0.0,0.9350808871073792,0.0649191128926207,0.0,1.0,162.0,5.0
openbci,loso,8,stroop,stroop:s08:r2,eeg_conformer,1.0,0.8781595155536465,0.12184048444635354,0.0,0.0,160.0,5.0
openbci,loso,8,stroop,stroop:s08:r3,eeg_conformer,1.0,0.15169887994075543,0.8483011200592445,1.0,1.0,234.0,5.0
openbci,loso,9,stroop,stroop:s09:r0,eeg_conformer,0.0,0.9778602725419125,0.02213972745808748,0.0,1.0,410.0,5.0
openbci,loso,9,stroop,stroop:s09:r1,eeg_conformer,0.0,0.7982525786019189,0.2017474213980811,0.0,1.0,160.0,5.0
openbci,loso,9,stroop,stroop:s09:r2,eeg_conformer,1.0,0.15678212041235384,0.8432178795876462,1.0,1.0,110.0,5.0
openbci,loso,9,stroop,stroop:s09:r3,eeg_conformer,1.0,0.32633011672572315,0.6736698832742768,1.0,1.0,193.0,5.0
openbci,loso,10,stroop,stroop:s10:r0,eeg_conformer,0.0,0.48598790718172064,0.5140120928182793,1.0,0.0,185.0,5.0
openbci,loso,10,stroop,stroop:s10:r1,eeg_conformer,0.0,0.2569461436641615,0.7430538563358384,1.0,0.0,118.0,5.0
openbci,loso,10,stroop,stroop:s10:r2,eeg_conformer,1.0,0.13633473633310167,0.8636652636668983,1.0,1.0,83.0,5.0
openbci,loso,10,stroop,stroop:s10:r3,eeg_conformer,1.0,0.1886633674690097,0.8113366325309903,1.0,1.0,207.0,5.0
openbci,loso,11,stroop,stroop:s11:r0,eeg_conformer,0.0,0.6267765097844196,0.3732234902155805,0.0,1.0,244.0,5.0
openbci,loso,11,stroop,stroop:s11:r1,eeg_conformer,0.0,0.0157698014801212,0.9842301985198788,1.0,0.0,113.0,5.0
openbci,loso,11,stroop,stroop:s11:r2,eeg_conformer,1.0,0.021430319003870924,0.9785696809961291,1.0,1.0,130.0,5.0
openbci,loso,11,stroop,stroop:s11:r3,eeg_conformer,1.0,0.027075277586493758,0.9729247224135064,1.0,1.0,185.0,5.0
openbci,loso,12,stroop,stroop:s12:r0,eeg_conformer,0.0,0.9205675513391668,0.07943244866083321,0.0,1.0,185.0,5.0
openbci,loso,12,stroop,stroop:s12:r1,eeg_conformer,0.0,0.16492443658684822,0.8350755634131517,1.0,0.0,123.0,5.0
openbci,loso,12,stroop,stroop:s12:r2,eeg_conformer,1.0,0.07670519349412763,0.9232948065058724,1.0,1.0,126.0,5.0
openbci,loso,12,stroop,stroop:s12:r3,eeg_conformer,1.0,0.15660424082936764,0.8433957591706324,1.0,1.0,189.0,5.0
openbci,loso,13,stroop,stroop:s13:r0,eeg_conformer,0.0,0.9886871190698426,0.01131288093015739,0.0,1.0,180.0,5.0
openbci,loso,13,stroop,stroop:s13:r1,eeg_conformer,0.0,0.6773978885741221,0.32260211142587786,0.0,1.0,91.0,5.0
openbci,loso,13,stroop,stroop:s13:r2,eeg_conformer,1.0,0.2591436879973428,0.7408563120026572,1.0,1.0,122.0,5.0
openbci,loso,13,stroop,stroop:s13:r3,eeg_conformer,1.0,0.9133179555127242,0.08668204448727579,0.0,0.0,180.0,5.0
openbci,loso,14,stroop,stroop:s14:r0,eeg_conformer,0.0,0.9891060956959655,0.010893904304034453,0.0,1.0,155.0,5.0
openbci,loso,14,stroop,stroop:s14:r1,eeg_conformer,0.0,0.00920804250873046,0.9907919574912696,1.0,0.0,84.0,5.0
openbci,loso,14,stroop,stroop:s14:r2,eeg_conformer,1.0,0.008398791106171553,0.9916012088938284,1.0,1.0,95.0,5.0
openbci,loso,14,stroop,stroop:s14:r3,eeg_conformer,1.0,0.002554350182267474,0.9974456498177325,1.0,1.0,173.0,5.0
openbci,loso,15,stroop,stroop:s15:r0,eeg_conformer,0.0,0.9806289042965269,0.01937109570347301,0.0,1.0,165.0,5.0
openbci,loso,15,stroop,stroop:s15:r1,eeg_conformer,0.0,0.725412457739193,0.2745875422608069,0.0,1.0,109.0,5.0
openbci,loso,15,stroop,stroop:s15:r2,eeg_conformer,1.0,0.7854827390702124,0.2145172609297876,0.0,0.0,134.0,5.0
openbci,loso,15,stroop,stroop:s15:r3,eeg_conformer,1.0,0.01461486066790831,0.9853851393320917,1.0,1.0,173.0,5.0
