dataset,protocol,subject,direction,method,accuracy,n_recordings
openbci,loso,1,stroop,eeg_conformer,0.75,4
openbci,loso,2,stroop,eeg_conformer,0.5,4
openbci,loso,3,stroop,eeg_conformer,0.75,4
openbci,loso,4,stroop,eeg_conformer,0.5,4
openbci,loso,5,stroop,eeg_conformer,0.75,4
openbci,loso,6,stroop,eeg_conformer,0.5,4
openbci,loso,7,stroop,eeg_conformer,0.5,4
openbci,loso,8,stroop,eeg_conformer,0.75,4
openbci,loso,9,stroop,eeg_conformer,1.0,4
openbci,loso,10,stroop,eeg_conformer,0.5,4
openbci,loso,11,stroop,eeg_conformer,0.75,4
openbci,loso,12,stroop,eeg_conformer,0.75,4
openbci,loso,13,stroop,eeg_conformer,0.75,4
openbci,loso,14,stroop,eeg_conformer,0.75,4
openbci,loso,15,stroop,eeg_conformer,0.75,4
