dataset,protocol,subject,direction,recording_id,method,true_label,p0,p1,pred_label,correct,n_windows,ensemble_size
openbci,loso,1,stroop,stroop:s01:r0,always_nn,0.0,0.9041301884941204,0.0958698115058797,0.0,1.0,157.0,5.0
openbci,loso,1,stroop,stroop:s01:r0,always_fuse,0.0,0.5417288569928195,0.4582711430071806,0.0,1.0,157.0,5.0
openbci,loso,1,stroop,stroop:s01:r0,dasf_clean,0.0,0.9041301884941204,0.0958698115058797,0.0,1.0,157.0,5.0
openbci,loso,1,stroop,stroop:s01:r0,cbsf,0.0,0.8744635992287173,0.1255364007712826,0.0,1.0,157.0,5.0
openbci,loso,1,stroop,stroop:s01:r0,fixed_blend_010,0.0,0.6042087785019544,0.3957912214980457,0.0,1.0,157.0,5.0
openbci,loso,1,stroop,stroop:s01:r0,fixed_blend_025,0.0,0.5758006914881293,0.4241993085118707,0.0,1.0,157.0,5.0
openbci,loso,1,stroop,stroop:s01:r0,equal_blend_050,0.0,0.5577664746224549,0.4422335253775451,0.0,1.0,157.0,5.0
openbci,loso,1,stroop,stroop:s01:r0,stack_recording,0.0,0.6456131899542881,0.3543868100457119,0.0,1.0,157.0,5.0
openbci,loso,1,stroop,stroop:s01:r0,rf,0.0,0.6227572979170862,0.3772427020829138,0.0,1.0,157.0,5.0
openbci,loso,1,stroop,stroop:s01:r0,extra_trees,0.0,0.5724704411110181,0.427529558888982,0.0,1.0,157.0,5.0
openbci,loso,1,stroop,stroop:s01:r0,riemann_mdm,0.0,0.9333993721371702,0.0666006278628298,0.0,1.0,157.0,5.0
openbci,loso,1,stroop,stroop:s01:r0,riemann_ts_logreg,0.0,0.493636594607477,0.506363405392523,1.0,0.0,157.0,5.0
openbci,loso,1,stroop,stroop:s01:r0,eegnet,0.0,0.3726313799167505,0.6273686200832495,1.0,0.0,157.0,5.0
openbci,loso,1,stroop,stroop:s01:r0,eeg_conformer,0.0,0.8153688645547237,0.1846311354452762,0.0,1.0,157.0,5.0
openbci,loso,1,stroop,stroop:s01:r1,always_nn,0.0,0.9803602061295336,0.0196397938704666,0.0,1.0,148.0,5.0
openbci,loso,1,stroop,stroop:s01:r1,always_fuse,0.0,0.6101119040026699,0.38988809599733,0.0,1.0,148.0,5.0
openbci,loso,1,stroop,stroop:s01:r1,dasf_clean,0.0,0.9803602061295336,0.0196397938704666,0.0,1.0,148.0,5.0
openbci,loso,1,stroop,stroop:s01:r1,cbsf,0.0,0.9788176473547135,0.0211823526452863,0.0,1.0,148.0,5.0
openbci,loso,1,stroop,stroop:s01:r1,fixed_blend_010,0.0,0.9063089804045834,0.0936910195954165,0.0,1.0,148.0,5.0
openbci,loso,1,stroop,stroop:s01:r1,fixed_blend_025,0.0,0.84573297624404,0.15426702375596,0.0,1.0,148.0,5.0
openbci,loso,1,stroop,stroop:s01:r1,equal_blend_050,0.0,0.7607975063103881,0.2392024936896118,0.0,1.0,148.0,5.0
openbci,loso,1,stroop,stroop:s01:r1,stack_recording,0.0,0.7774861275789134,0.2225138724210865,0.0,1.0,148.0,5.0
openbci,loso,1,stroop,stroop:s01:r1,rf,0.0,0.5924604167233282,0.4075395832766719,0.0,1.0,148.0,5.0
openbci,loso,1,stroop,stroop:s01:r1,extra_trees,0.0,0.5863512625670885,0.4136487374329116,0.0,1.0,148.0,5.0
openbci,loso,1,stroop,stroop:s01:r1,riemann_mdm,0.0,0.2215753748040625,0.7784246251959376,1.0,0.0,148.0,5.0
openbci,loso,1,stroop,stroop:s01:r1,riemann_ts_logreg,0.0,0.3914649078046919,0.608535092195308,1.0,0.0,148.0,5.0
openbci,loso,1,stroop,stroop:s01:r1,eegnet,0.0,0.1789654537692813,0.8210345462307186,1.0,0.0,148.0,5.0
openbci,loso,1,stroop,stroop:s01:r1,eeg_conformer,0.0,0.5329243261751624,0.4670756738248375,0.0,1.0,148.0,5.0
openbci,loso,1,stroop,stroop:s01:r2,always_nn,1.0,0.9867995300982748,0.0132004699017252,0.0,0.0,139.0,5.0
openbci,loso,1,stroop,stroop:s01:r2,always_fuse,1.0,0.6179941605332834,0.3820058394667167,0.0,0.0,139.0,5.0
openbci,loso,1,stroop,stroop:s01:r2,dasf_clean,1.0,0.9867995300982748,0.0132004699017252,0.0,0.0,139.0,5.0
openbci,loso,1,stroop,stroop:s01:r2,cbsf,1.0,0.9863035594986423,0.0136964405013576,0.0,0.0,139.0,5.0
openbci,loso,1,stroop,stroop:s01:r2,fixed_blend_010,1.0,0.9141607146218278,0.0858392853781722,0.0,0.0,139.0,5.0
openbci,loso,1,stroop,stroop:s01:r2,fixed_blend_025,1.0,0.8517859288567676,0.1482140711432323,0.0,0.0,139.0,5.0
openbci,loso,1,stroop,stroop:s01:r2,equal_blend_050,1.0,0.7661604711843069,0.2338395288156931,0.0,0.0,139.0,5.0
openbci,loso,1,stroop,stroop:s01:r2,stack_recording,1.0,0.8035124168677458,0.1964875831322542,0.0,0.0,139.0,5.0
openbci,loso,1,stroop,stroop:s01:r2,rf,1.0,0.6068574565522388,0.3931425434477613,0.0,0.0,139.0,5.0
openbci,loso,1,stroop,stroop:s01:r2,extra_trees,1.0,0.5851260662102363,0.4148739337897636,0.0,0.0,139.0,5.0
openbci,loso,1,stroop,stroop:s01:r2,riemann_mdm,1.0,0.2001513808241147,0.7998486191758852,1.0,1.0,139.0,5.0
openbci,loso,1,stroop,stroop:s01:r2,riemann_ts_logreg,1.0,0.385248231781378,0.614751768218622,1.0,1.0,139.0,5.0
openbci,loso,1,stroop,stroop:s01:r2,eegnet,1.0,0.2786492329685049,0.7213507670314949,1.0,1.0,139.0,5.0
openbci,loso,1,stroop,stroop:s01:r2,eeg_conformer,1.0,0.7418384070573708,0.2581615929426292,0.0,0.0,139.0,5.0
openbci,loso,1,stroop,stroop:s01:r3,always_nn,1.0,0.975603873630384,0.0243961263696161,0.0,0.0,209.0,5.0
openbci,loso,1,stroop,stroop:s01:r3,always_fuse,1.0,0.6103616262677051,0.3896383737322949,0.0,0.0,209.0,5.0
openbci,loso,1,stroop,stroop:s01:r3,dasf_clean,1.0,0.975603873630384,0.0243961263696161,0.0,0.0,209.0,5.0
openbci,loso,1,stroop,stroop:s01:r3,cbsf,1.0,0.9754280843472818,0.0245719156527181,0.0,0.0,209.0,5.0
openbci,loso,1,stroop,stroop:s01:r3,fixed_blend_010,1.0,0.9157534642428484,0.0842465357571517,0.0,0.0,209.0,5.0
openbci,loso,1,stroop,stroop:s01:r3,fixed_blend_025,1.0,0.8561602833538182,0.1438397166461818,0.0,0.0,209.0,5.0
openbci,loso,1,stroop,stroop:s01:r3,equal_blend_050,1.0,0.7692867693864239,0.230713230613576,0.0,0.0,209.0,5.0
openbci,loso,1,stroop,stroop:s01:r3,stack_recording,1.0,0.7622386207091123,0.2377613792908877,0.0,0.0,209.0,5.0
openbci,loso,1,stroop,stroop:s01:r3,rf,1.0,0.6404415133696527,0.3595584866303474,0.0,0.0,209.0,5.0
openbci,loso,1,stroop,stroop:s01:r3,extra_trees,1.0,0.6226173085556269,0.3773826914443731,0.0,0.0,209.0,5.0
openbci,loso,1,stroop,stroop:s01:r3,riemann_mdm,1.0,0.0792642925855025,0.9207357074144976,1.0,1.0,209.0,5.0
openbci,loso,1,stroop,stroop:s01:r3,riemann_ts_logreg,1.0,0.3037902673211702,0.6962097326788298,1.0,1.0,209.0,5.0
