dataset,protocol,direction,subject,method,accuracy,n_recordings,method_display
openbci,loso,stroop,1,always_fuse,0.5,4,Unconditional stacked fusion
openbci,loso,stroop,2,always_fuse,0.5,4,Unconditional stacked fusion
openbci,loso,stroop,3,always_fuse,0.5,4,Unconditional stacked fusion
openbci,loso,stroop,4,always_fuse,0.75,4,Unconditional stacked fusion
openbci,loso,stroop,5,always_fuse,0.75,4,Unconditional stacked fusion
openbci,loso,stroop,6,always_fuse,0.5,4,Unconditional stacked fusion
openbci,loso,stroop,7,always_fuse,0.75,4,Unconditional stacked fusion
openbci,loso,stroop,8,always_fuse,0.75,4,Unconditional stacked fusion
openbci,loso,stroop,9,always_fuse,0.75,4,Unconditional stacked fusion
openbci,loso,stroop,10,always_fuse,0.75,4,Unconditional stacked fusion
openbci,loso,stroop,11,always_fuse,0.75,4,Unconditional stacked fusion
openbci,loso,stroop,12,always_fuse,0.5,4,Unconditional stacked fusion
openbci,loso,stroop,13,always_fuse,0.25,4,Unconditional stacked fusion
openbci,loso,stroop,14,always_fuse,0.75,4,Unconditional stacked fusion
openbci,loso,stroop,15,always_fuse,0.75,4,Unconditional stacked fusion
openbci,loso,stroop,1,always_nn,0.5,4,Neural comparator (Always-NN)
openbci,loso,stroop,2,always_nn,0.5,4,Neural comparator (Always-NN)
openbci,loso,stroop,3,always_nn,0.5,4,Neural comparator (Always-NN)
openbci,loso,stroop,4,always_nn,0.75,4,Neural comparator (Always-NN)
openbci,loso,stroop,5,always_nn,0.75,4,Neural comparator (Always-NN)
openbci,loso,stroop,6,always_nn,0.5,4,Neural comparator (Always-NN)
openbci,loso,stroop,7,always_nn,0.5,4,Neural comparator (Always-NN)
openbci,loso,stroop,8,always_nn,0.75,4,Neural comparator (Always-NN)
openbci,loso,stroop,9,always_nn,0.75,4,Neural comparator (Always-NN)
openbci,loso,stroop,10,always_nn,0.75,4,Neural comparator (Always-NN)
openbci,loso,stroop,11,always_nn,0.5,4,Neural comparator (Always-NN)
openbci,loso,stroop,12,always_nn,0.5,4,Neural comparator (Always-NN)
openbci,loso,stroop,13,always_nn,0.5,4,Neural comparator (Always-NN)
openbci,loso,stroop,14,always_nn,0.75,4,Neural comparator (Always-NN)
openbci,loso,stroop,15,always_nn,0.75,4,Neural comparator (Always-NN)
openbci,loso,stroop,1,cbsf,0.5,4,CB-SF soft gate
openbci,loso,stroop,2,cbsf,0.5,4,CB-SF soft gate
openbci,loso,stroop,3,cbsf,0.75,4,CB-SF soft gate
openbci,loso,stroop,4,cbsf,0.75,4,CB-SF soft gate
openbci,loso,stroop,5,cbsf,0.75,4,CB-SF soft gate
openbci,loso,stroop,6,cbsf,0.5,4,CB-SF soft gate
openbci,loso,stroop,7,cbsf,0.75,4,CB-SF soft gate
openbci,loso,stroop,8,cbsf,0.75,4,CB-SF soft gate
openbci,loso,stroop,9,cbsf,0.75,4,CB-SF soft gate
openbci,loso,stroop,10,cbsf,0.75,4,CB-SF soft gate
openbci,loso,stroop,11,cbsf,0.5,4,CB-SF soft gate
openbci,loso,stroop,12,cbsf,0.5,4,CB-SF soft gate
openbci,loso,stroop,13,cbsf,0.25,4,CB-SF soft gate
openbci,loso,stroop,14,cbsf,0.75,4,CB-SF soft gate
openbci,loso,stroop,15,cbsf,0.75,4,CB-SF soft gate
openbci,loso,stroop,1,dasf_clean,0.5,4,DASF hard gate
openbci,loso,stroop,2,dasf_clean,0.5,4,DASF hard gate
openbci,loso,stroop,3,dasf_clean,0.5,4,DASF hard gate
openbci,loso,stroop,4,dasf_clean,0.75,4,DASF hard gate
openbci,loso,stroop,5,dasf_clean,0.75,4,DASF hard gate
openbci,loso,stroop,6,dasf_clean,0.5,4,DASF hard gate
openbci,loso,stroop,7,dasf_clean,0.5,4,DASF hard gate
openbci,loso,stroop,8,dasf_clean,0.75,4,DASF hard gate
openbci,loso,stroop,9,dasf_clean,0.75,4,DASF hard gate
openbci,loso,stroop,10,dasf_clean,0.75,4,DASF hard gate
openbci,loso,stroop,11,dasf_clean,0.5,4,DASF hard gate
openbci,loso,stroop,12,dasf_clean,0.5,4,DASF hard gate
openbci,loso,stroop,13,dasf_clean,0.5,4,DASF hard gate
openbci,loso,stroop,14,dasf_clean,0.75,4,DASF hard gate
openbci,loso,stroop,15,dasf_clean,0.75,4,DASF hard gate
openbci,loso,stroop,1,eeg_conformer,0.75,4,EEG-Conformer
openbci,loso,stroop,2,eeg_conformer,0.5,4,EEG-Conformer
openbci,loso,stroop,3,eeg_conformer,0.75,4,EEG-Conformer
openbci,loso,stroop,4,eeg_conformer,0.5,4,EEG-Conformer
openbci,loso,stroop,5,eeg_conformer,0.75,4,EEG-Conformer
openbci,loso,stroop,6,eeg_conformer,0.5,4,EEG-Conformer
openbci,loso,stroop,7,eeg_conformer,0.5,4,EEG-Conformer
openbci,loso,stroop,8,eeg_conformer,0.75,4,EEG-Conformer
openbci,loso,stroop,9,eeg_conformer,1.0,4,EEG-Conformer
openbci,loso,stroop,10,eeg_conformer,0.5,4,EEG-Conformer
openbci,loso,stroop,11,eeg_conformer,0.75,4,EEG-Conformer
openbci,loso,stroop,12,eeg_conformer,0.75,4,EEG-Conformer
openbci,loso,stroop,13,eeg_conformer,0.75,4,EEG-Conformer
openbci,loso,stroop,14,eeg_conformer,0.75,4,EEG-Conformer
openbci,loso,stroop,15,eeg_conformer,0.75,4,EEG-Conformer
openbci,loso,stroop,1,eegnet,0.5,4,EEGNet
openbci,loso,stroop,2,eegnet,0.5,4,EEGNet
openbci,loso,stroop,3,eegnet,0.75,4,EEGNet
openbci,loso,stroop,4,eegnet,0.5,4,EEGNet
openbci,loso,stroop,5,eegnet,0.75,4,EEGNet
openbci,loso,stroop,6,eegnet,0.5,4,EEGNet
openbci,loso,stroop,7,eegnet,0.75,4,EEGNet
openbci,loso,stroop,8,eegnet,1.0,4,EEGNet
openbci,loso,stroop,9,eegnet,1.0,4,EEGNet
openbci,loso,stroop,10,eegnet,0.75,4,EEGNet
openbci,loso,stroop,11,eegnet,0.75,4,EEGNet
openbci,loso,stroop,12,eegnet,0.75,4,EEGNet
openbci,loso,stroop,13,eegnet,0.5,4,EEGNet
openbci,loso,stroop,14,eegnet,0.75,4,EEGNet
openbci,loso,stroop,15,eegnet,0.75,4,EEGNet
openbci,loso,stroop,1,equal_blend_050,0.5,4,Equal-weight soft fusion
