dataset,protocol,direction,method_id,method,n_participants,recordings_per_participant,mean_recording_accuracy,ci95_low,ci95_high
openbci,loso,stroop,eegnet,EEGNet,15,4,0.7,0.6166666666666667,0.7833333333333333
openbci,loso,stroop,eeg_conformer,EEG-Conformer,15,4,0.6833333333333333,0.6166666666666667,0.75
openbci,loso,stroop,stack_recording,Recording-level OOF stacker,15,4,0.6833333333333333,0.5833333333333334,0.7833333333333333
openbci,loso,stroop,equal_blend_050,Equal-weight soft fusion,15,4,0.65,0.55,0.75
openbci,loso,stroop,cbsf,CB-SF soft gate,15,4,0.6333333333333333,0.55,0.7
openbci,loso,stroop,fixed_blend_025,Fixed 25% fusion,15,4,0.6333333333333333,0.55,0.7
openbci,loso,stroop,always_fuse,Unconditional stacked fusion,15,4,0.6333333333333333,0.55,0.7
openbci,loso,stroop,dasf_clean,DASF hard gate,15,4,0.6166666666666667,0.55,0.6833333333333333
openbci,loso,stroop,fixed_blend_010,Fixed 10% fusion,15,4,0.6166666666666667,0.5333333333333333,0.6833333333333333
openbci,loso,stroop,always_nn,Neural comparator (Always-NN),15,4,0.6166666666666667,0.55,0.6833333333333333
openbci,loso,stroop,extra_trees,ExtraTrees,15,4,0.5666666666666667,0.5,0.6333333333333333
openbci,loso,stroop,rf,Random forest,15,4,0.5666666666666667,0.5166666666666667,0.6333333333333333
openbci,loso,stroop,riemann_mdm,Riemannian MDM,15,4,0.5333333333333333,0.4666666666666667,0.6
openbci,loso,stroop,riemann_ts_logreg,Riemannian tangent-space logistic regression,15,4,0.5166666666666667,0.45,0.5833333333333334
