dataset,protocol,direction,method_id,method,comparator,n_participants,mean_difference,worst_participant_difference,empirical_cvar10,cvar_tail_participants,loss_rate,loss_at_least_5pp_rate,status
openbci,loso,stroop,always_nn,Neural comparator (Always-NN),Neural comparator (Always-NN),15,0.0,0.0,0.0,2,0.0,0.0,exploratory; 15 participants give only 2 observations in the 10% tail
openbci,loso,stroop,always_fuse,Unconditional stacked fusion,Neural comparator (Always-NN),15,0.016666666666666666,-0.25,-0.125,2,0.06666666666666667,0.06666666666666667,exploratory; 15 participants give only 2 observations in the 10% tail
openbci,loso,stroop,dasf_clean,DASF hard gate,Neural comparator (Always-NN),15,0.0,0.0,0.0,2,0.0,0.0,exploratory; 15 participants give only 2 observations in the 10% tail
openbci,loso,stroop,cbsf,CB-SF soft gate,Neural comparator (Always-NN),15,0.016666666666666666,-0.25,-0.125,2,0.06666666666666667,0.06666666666666667,exploratory; 15 participants give only 2 observations in the 10% tail
openbci,loso,stroop,fixed_blend_010,Fixed 10% fusion,Neural comparator (Always-NN),15,0.0,-0.25,-0.125,2,0.06666666666666667,0.06666666666666667,exploratory; 15 participants give only 2 observations in the 10% tail
openbci,loso,stroop,fixed_blend_025,Fixed 25% fusion,Neural comparator (Always-NN),15,0.016666666666666666,-0.25,-0.125,2,0.06666666666666667,0.06666666666666667,exploratory; 15 participants give only 2 observations in the 10% tail
openbci,loso,stroop,equal_blend_050,Equal-weight soft fusion,Neural comparator (Always-NN),15,0.03333333333333333,-0.25,-0.25,2,0.13333333333333333,0.13333333333333333,exploratory; 15 participants give only 2 observations in the 10% tail
openbci,loso,stroop,stack_recording,Recording-level OOF stacker,Neural comparator (Always-NN),15,0.06666666666666667,-0.25,-0.125,2,0.06666666666666667,0.06666666666666667,exploratory; 15 participants give only 2 observations in the 10% tail
openbci,loso,stroop,rf,Random forest,Neural comparator (Always-NN),15,-0.05,-0.25,-0.25,2,0.26666666666666666,0.26666666666666666,exploratory; 15 participants give only 2 observations in the 10% tail
openbci,loso,stroop,extra_trees,ExtraTrees,Neural comparator (Always-NN),15,-0.05,-0.25,-0.25,2,0.26666666666666666,0.26666666666666666,exploratory; 15 participants give only 2 observations in the 10% tail
openbci,loso,stroop,riemann_mdm,Riemannian MDM,Neural comparator (Always-NN),15,-0.08333333333333333,-0.25,-0.25,2,0.4666666666666667,0.4666666666666667,exploratory; 15 participants give only 2 observations in the 10% tail
openbci,loso,stroop,riemann_ts_logreg,Riemannian tangent-space logistic regression,Neural comparator (Always-NN),15,-0.1,-0.25,-0.25,2,0.5333333333333333,0.5333333333333333,exploratory; 15 participants give only 2 observations in the 10% tail
openbci,loso,stroop,eegnet,EEGNet,Neural comparator (Always-NN),15,0.08333333333333333,-0.25,-0.125,2,0.06666666666666667,0.06666666666666667,exploratory; 15 participants give only 2 observations in the 10% tail
openbci,loso,stroop,eeg_conformer,EEG-Conformer,Neural comparator (Always-NN),15,0.06666666666666667,-0.25,-0.25,2,0.13333333333333333,0.13333333333333333,exploratory; 15 participants give only 2 observations in the 10% tail
