variant_id,variant,evaluation,evaluation_display,condition,condition_display,participant,split_seed,fold,train_windows,validation_windows,validation_recordings,recording_accuracy,recording_log_loss
reference,Reference preprocessing,recording_disjoint,Within-participant recording-disjoint,arithmetic,Arithmetic,1,1335,1,370,326,2,0.5,8.040409343921683
reference,Reference preprocessing,recording_disjoint,Within-participant recording-disjoint,arithmetic,Arithmetic,1,1335,2,326,370,2,0.5,2.0754479354119217
reference,Reference preprocessing,recording_disjoint,Within-participant recording-disjoint,arithmetic,Arithmetic,1,1388,1,321,375,2,1.0,0.0021976093022150725
reference,Reference preprocessing,recording_disjoint,Within-participant recording-disjoint,arithmetic,Arithmetic,1,1388,2,375,321,2,0.5,1.1466678944430808
reference,Reference preprocessing,recording_disjoint,Within-participant recording-disjoint,arithmetic,Arithmetic,1,1441,1,321,375,2,1.0,0.0021976093022150725
reference,Reference preprocessing,recording_disjoint,Within-participant recording-disjoint,arithmetic,Arithmetic,1,1441,2,375,321,2,0.5,1.1466678944430808
reference,Reference preprocessing,recording_disjoint,Within-participant recording-disjoint,arithmetic,Arithmetic,1,1494,1,321,375,2,1.0,0.0021976093022150725
reference,Reference preprocessing,recording_disjoint,Within-participant recording-disjoint,arithmetic,Arithmetic,1,1494,2,375,321,2,0.5,1.1466678944430808
reference,Reference preprocessing,recording_disjoint,Within-participant recording-disjoint,arithmetic,Arithmetic,1,1547,1,370,326,2,0.5,8.040409343921683
reference,Reference preprocessing,recording_disjoint,Within-participant recording-disjoint,arithmetic,Arithmetic,1,1547,2,326,370,2,0.5,2.0754479354119217
reference,Reference preprocessing,recording_disjoint,Within-participant recording-disjoint,arithmetic,Arithmetic,2,1335,1,402,586,2,0.5,1.997931277751155
reference,Reference preprocessing,recording_disjoint,Within-participant recording-disjoint,arithmetic,Arithmetic,2,1335,2,586,402,2,0.5,2.706378558910885
reference,Reference preprocessing,recording_disjoint,Within-participant recording-disjoint,arithmetic,Arithmetic,2,1388,1,268,720,2,0.5,1.0683169554271457
reference,Reference preprocessing,recording_disjoint,Within-participant recording-disjoint,arithmetic,Arithmetic,2,1388,2,720,268,2,0.5,1.6794351100304368
reference,Reference preprocessing,recording_disjoint,Within-participant recording-disjoint,arithmetic,Arithmetic,2,1441,1,268,720,2,0.5,1.0683169554271457
reference,Reference preprocessing,recording_disjoint,Within-participant recording-disjoint,arithmetic,Arithmetic,2,1441,2,720,268,2,0.5,1.6794351100304368
reference,Reference preprocessing,recording_disjoint,Within-participant recording-disjoint,arithmetic,Arithmetic,2,1494,1,268,720,2,0.5,1.0683169554271457
reference,Reference preprocessing,recording_disjoint,Within-participant recording-disjoint,arithmetic,Arithmetic,2,1494,2,720,268,2,0.5,1.6794351100304368
reference,Reference preprocessing,recording_disjoint,Within-participant recording-disjoint,arithmetic,Arithmetic,2,1547,1,402,586,2,0.5,1.997931277751155
reference,Reference preprocessing,recording_disjoint,Within-participant recording-disjoint,arithmetic,Arithmetic,2,1547,2,586,402,2,0.5,2.706378558910885
reference,Reference preprocessing,recording_disjoint,Within-participant recording-disjoint,arithmetic,Arithmetic,3,1335,1,251,318,2,0.5,2.4087054306555316
reference,Reference preprocessing,recording_disjoint,Within-participant recording-disjoint,arithmetic,Arithmetic,3,1335,2,318,251,2,0.5,2.1788058810451107
reference,Reference preprocessing,recording_disjoint,Within-participant recording-disjoint,arithmetic,Arithmetic,3,1388,1,228,341,2,0.5,2.5507610999686583
reference,Reference preprocessing,recording_disjoint,Within-participant recording-disjoint,arithmetic,Arithmetic,3,1388,2,341,228,2,0.5,4.01551431349917
reference,Reference preprocessing,recording_disjoint,Within-participant recording-disjoint,arithmetic,Arithmetic,3,1441,1,228,341,2,0.5,2.5507610999686583
reference,Reference preprocessing,recording_disjoint,Within-participant recording-disjoint,arithmetic,Arithmetic,3,1441,2,341,228,2,0.5,4.01551431349917
reference,Reference preprocessing,recording_disjoint,Within-participant recording-disjoint,arithmetic,Arithmetic,3,1494,1,228,341,2,0.5,2.5507610999686583
reference,Reference preprocessing,recording_disjoint,Within-participant recording-disjoint,arithmetic,Arithmetic,3,1494,2,341,228,2,0.5,4.01551431349917
reference,Reference preprocessing,recording_disjoint,Within-participant recording-disjoint,arithmetic,Arithmetic,3,1547,1,251,318,2,0.5,2.4087054306555316
reference,Reference preprocessing,recording_disjoint,Within-participant recording-disjoint,arithmetic,Arithmetic,3,1547,2,318,251,2,0.5,2.1788058810451107
reference,Reference preprocessing,recording_disjoint,Within-participant recording-disjoint,arithmetic,Arithmetic,4,1335,1,340,326,2,0.5,2.2330222997001505
reference,Reference preprocessing,recording_disjoint,Within-participant recording-disjoint,arithmetic,Arithmetic,4,1335,2,326,340,2,0.5,11.20632145631976
reference,Reference preprocessing,recording_disjoint,Within-participant recording-disjoint,arithmetic,Arithmetic,4,1388,1,329,337,2,0.5,2.256915940076097
reference,Reference preprocessing,recording_disjoint,Within-participant recording-disjoint,arithmetic,Arithmetic,4,1388,2,337,329,2,0.5,10.021769409450487
reference,Reference preprocessing,recording_disjoint,Within-participant recording-disjoint,arithmetic,Arithmetic,4,1441,1,329,337,2,0.5,2.256915940076097
reference,Reference preprocessing,recording_disjoint,Within-participant recording-disjoint,arithmetic,Arithmetic,4,1441,2,337,329,2,0.5,10.021769409450487
reference,Reference preprocessing,recording_disjoint,Within-participant recording-disjoint,arithmetic,Arithmetic,4,1494,1,329,337,2,0.5,2.256915940076097
reference,Reference preprocessing,recording_disjoint,Within-participant recording-disjoint,arithmetic,Arithmetic,4,1494,2,337,329,2,0.5,10.021769409450487
reference,Reference preprocessing,recording_disjoint,Within-participant recording-disjoint,arithmetic,Arithmetic,4,1547,1,340,326,2,0.5,2.2330222997001505
reference,Reference preprocessing,recording_disjoint,Within-participant recording-disjoint,arithmetic,Arithmetic,4,1547,2,326,340,2,0.5,11.20632145631976
reference,Reference preprocessing,recording_disjoint,Within-participant recording-disjoint,arithmetic,Arithmetic,5,1335,1,385,442,2,0.5,3.730432594426577
reference,Reference preprocessing,recording_disjoint,Within-participant recording-disjoint,arithmetic,Arithmetic,5,1335,2,442,385,2,0.5,2.8208382374636014
reference,Reference preprocessing,recording_disjoint,Within-participant recording-disjoint,arithmetic,Arithmetic,5,1388,1,351,476,2,0.5,7.619198434382598
reference,Reference preprocessing,recording_disjoint,Within-participant recording-disjoint,arithmetic,Arithmetic,5,1388,2,476,351,2,0.5,2.901103043782628
reference,Reference preprocessing,recording_disjoint,Within-participant recording-disjoint,arithmetic,Arithmetic,5,1441,1,351,476,2,0.5,7.619198434382598
reference,Reference preprocessing,recording_disjoint,Within-participant recording-disjoint,arithmetic,Arithmetic,5,1441,2,476,351,2,0.5,2.901103043782628
reference,Reference preprocessing,recording_disjoint,Within-participant recording-disjoint,arithmetic,Arithmetic,5,1494,1,351,476,2,0.5,7.619198434382598
reference,Reference preprocessing,recording_disjoint,Within-participant recording-disjoint,arithmetic,Arithmetic,5,1494,2,476,351,2,0.5,2.901103043782628
reference,Reference preprocessing,recording_disjoint,Within-participant recording-disjoint,arithmetic,Arithmetic,5,1547,1,385,442,2,0.5,3.730432594426577
reference,Reference preprocessing,recording_disjoint,Within-participant recording-disjoint,arithmetic,Arithmetic,5,1547,2,442,385,2,0.5,2.8208382374636014
reference,Reference preprocessing,recording_disjoint,Within-participant recording-disjoint,arithmetic,Arithmetic,6,1335,1,310,280,2,0.5,1.2095165904083296
