variant_id,variant,evaluation,evaluation_display,condition,condition_display,participant,n_evaluations,mean_recording_accuracy,mean_recording_log_loss
neutral_legacy_multipliers,Neutral legacy multipliers,cross_task,Cross-task transfer,arithmetic_to_stroop,Arithmetic to Stroop,1,1,0.75,0.5467122438962451
neutral_legacy_multipliers,Neutral legacy multipliers,cross_task,Cross-task transfer,arithmetic_to_stroop,Arithmetic to Stroop,2,1,0.5,0.640390655447515
neutral_legacy_multipliers,Neutral legacy multipliers,cross_task,Cross-task transfer,arithmetic_to_stroop,Arithmetic to Stroop,3,1,1.0,0.30759979286254535
neutral_legacy_multipliers,Neutral legacy multipliers,cross_task,Cross-task transfer,arithmetic_to_stroop,Arithmetic to Stroop,4,1,0.75,1.1418831680392059
neutral_legacy_multipliers,Neutral legacy multipliers,cross_task,Cross-task transfer,arithmetic_to_stroop,Arithmetic to Stroop,5,1,1.0,0.4225967160607367
neutral_legacy_multipliers,Neutral legacy multipliers,cross_task,Cross-task transfer,arithmetic_to_stroop,Arithmetic to Stroop,6,1,1.0,0.3179013438102224
neutral_legacy_multipliers,Neutral legacy multipliers,cross_task,Cross-task transfer,arithmetic_to_stroop,Arithmetic to Stroop,7,1,0.5,1.4456940139260612
neutral_legacy_multipliers,Neutral legacy multipliers,cross_task,Cross-task transfer,arithmetic_to_stroop,Arithmetic to Stroop,8,1,0.75,0.5181846720197529
neutral_legacy_multipliers,Neutral legacy multipliers,cross_task,Cross-task transfer,arithmetic_to_stroop,Arithmetic to Stroop,9,1,0.75,0.5568847520001455
neutral_legacy_multipliers,Neutral legacy multipliers,cross_task,Cross-task transfer,arithmetic_to_stroop,Arithmetic to Stroop,10,1,0.5,0.47206362472257557
neutral_legacy_multipliers,Neutral legacy multipliers,cross_task,Cross-task transfer,arithmetic_to_stroop,Arithmetic to Stroop,11,1,0.75,0.5347394144989577
neutral_legacy_multipliers,Neutral legacy multipliers,cross_task,Cross-task transfer,arithmetic_to_stroop,Arithmetic to Stroop,12,1,0.75,0.5042850970091368
neutral_legacy_multipliers,Neutral legacy multipliers,cross_task,Cross-task transfer,arithmetic_to_stroop,Arithmetic to Stroop,13,1,0.75,0.30481393379729615
neutral_legacy_multipliers,Neutral legacy multipliers,cross_task,Cross-task transfer,arithmetic_to_stroop,Arithmetic to Stroop,14,1,0.75,0.6660625635093423
neutral_legacy_multipliers,Neutral legacy multipliers,cross_task,Cross-task transfer,arithmetic_to_stroop,Arithmetic to Stroop,15,1,0.75,0.6875098379419885
no_50hz_attenuation,No 50-Hz attenuation,cross_task,Cross-task transfer,arithmetic_to_stroop,Arithmetic to Stroop,1,1,0.75,0.5525792100355262
no_50hz_attenuation,No 50-Hz attenuation,cross_task,Cross-task transfer,arithmetic_to_stroop,Arithmetic to Stroop,2,1,1.0,0.3984035892391282
no_50hz_attenuation,No 50-Hz attenuation,cross_task,Cross-task transfer,arithmetic_to_stroop,Arithmetic to Stroop,3,1,1.0,0.29187493925390984
no_50hz_attenuation,No 50-Hz attenuation,cross_task,Cross-task transfer,arithmetic_to_stroop,Arithmetic to Stroop,4,1,0.75,0.9032793317920118
no_50hz_attenuation,No 50-Hz attenuation,cross_task,Cross-task transfer,arithmetic_to_stroop,Arithmetic to Stroop,5,1,0.75,0.44487658021016724
no_50hz_attenuation,No 50-Hz attenuation,cross_task,Cross-task transfer,arithmetic_to_stroop,Arithmetic to Stroop,6,1,0.75,0.4053601819984881
no_50hz_attenuation,No 50-Hz attenuation,cross_task,Cross-task transfer,arithmetic_to_stroop,Arithmetic to Stroop,7,1,0.5,0.8164130602996691
no_50hz_attenuation,No 50-Hz attenuation,cross_task,Cross-task transfer,arithmetic_to_stroop,Arithmetic to Stroop,8,1,0.75,0.4913283511360016
no_50hz_attenuation,No 50-Hz attenuation,cross_task,Cross-task transfer,arithmetic_to_stroop,Arithmetic to Stroop,9,1,0.75,0.6083452867846655
no_50hz_attenuation,No 50-Hz attenuation,cross_task,Cross-task transfer,arithmetic_to_stroop,Arithmetic to Stroop,10,1,0.75,0.44065588277900125
no_50hz_attenuation,No 50-Hz attenuation,cross_task,Cross-task transfer,arithmetic_to_stroop,Arithmetic to Stroop,11,1,0.75,0.5487788726493763
no_50hz_attenuation,No 50-Hz attenuation,cross_task,Cross-task transfer,arithmetic_to_stroop,Arithmetic to Stroop,12,1,0.75,0.5817587442048587
no_50hz_attenuation,No 50-Hz attenuation,cross_task,Cross-task transfer,arithmetic_to_stroop,Arithmetic to Stroop,13,1,0.75,0.4308131862933247
no_50hz_attenuation,No 50-Hz attenuation,cross_task,Cross-task transfer,arithmetic_to_stroop,Arithmetic to Stroop,14,1,0.75,0.7112800651362431
no_50hz_attenuation,No 50-Hz attenuation,cross_task,Cross-task transfer,arithmetic_to_stroop,Arithmetic to Stroop,15,1,0.75,0.614135497182434
