variant_id,variant,evaluation,evaluation_display,condition,condition_display,n_participants,mean_recording_accuracy,accuracy_ci95_low,accuracy_ci95_high,mean_recording_log_loss,log_loss_ci95_low,log_loss_ci95_high
neutral_legacy_multipliers,Neutral legacy multipliers,cross_task,Cross-task transfer,arithmetic_to_stroop,Arithmetic to Stroop,15,0.75,0.6666666666666666,0.8333333333333334,0.6044881219694485,0.46984951609623554,0.7745069791150776
no_50hz_attenuation,No 50-Hz attenuation,cross_task,Cross-task transfer,arithmetic_to_stroop,Arithmetic to Stroop,15,0.7666666666666667,0.7166666666666667,0.8166666666666667,0.5493255185996537,0.47195426398209867,0.6351684603720653
no_window_zscore,No within-window z-score,cross_task,Cross-task transfer,arithmetic_to_stroop,Arithmetic to Stroop,15,0.7333333333333333,0.6833333333333333,0.7833333333333333,0.6268452561473283,0.5073510373340597,0.8011306357142985
recording_zscore,Recording-level z-score,cross_task,Cross-task transfer,arithmetic_to_stroop,Arithmetic to Stroop,15,0.6833333333333333,0.6166666666666667,0.7333333333333333,1.1327946053469165,0.7172007330457523,1.7020985990424622
reference,Reference preprocessing,cross_task,Cross-task transfer,arithmetic_to_stroop,Arithmetic to Stroop,15,0.75,0.6666666666666666,0.8333333333333334,0.6064572046486034,0.471562460597335,0.7765540660977757
neutral_legacy_multipliers,Neutral legacy multipliers,cross_task,Cross-task transfer,stroop_to_arithmetic,Stroop to Arithmetic,15,0.65,0.55,0.7333333333333333,0.9180077283145356,0.5695906705541147,1.5092584444659876
no_50hz_attenuation,No 50-Hz attenuation,cross_task,Cross-task transfer,stroop_to_arithmetic,Stroop to Arithmetic,15,0.7166666666666667,0.65,0.7833333333333333,0.5735961070317364,0.5158852109382379,0.6417549966455722
no_window_zscore,No within-window z-score,cross_task,Cross-task transfer,stroop_to_arithmetic,Stroop to Arithmetic,15,0.7,0.6166666666666667,0.7833333333333333,0.7421978049220953,0.5359174048751346,1.0664675200675602
recording_zscore,Recording-level z-score,cross_task,Cross-task transfer,stroop_to_arithmetic,Stroop to Arithmetic,15,0.7,0.6333333333333333,0.7666666666666667,0.8510303204971316,0.5749048307499137,1.2102025437648878
reference,Reference preprocessing,cross_task,Cross-task transfer,stroop_to_arithmetic,Stroop to Arithmetic,15,0.65,0.5666666666666667,0.7333333333333333,0.9123194425248299,0.5665115505987769,1.497564659190668
neutral_legacy_multipliers,Neutral legacy multipliers,participant_disjoint_loso,Participant-disjoint LOSO,arithmetic,Arithmetic,15,0.6,0.5333333333333333,0.6666666666666666,1.2746913124343249,0.8179196698270028,1.8375460103916235
no_50hz_attenuation,No 50-Hz attenuation,participant_disjoint_loso,Participant-disjoint LOSO,arithmetic,Arithmetic,15,0.5833333333333334,0.4666666666666667,0.7,1.1807397896337402,0.7568362741943147,1.790526349820277
no_window_zscore,No within-window z-score,participant_disjoint_loso,Participant-disjoint LOSO,arithmetic,Arithmetic,15,0.55,0.4666666666666667,0.6333333333333333,2.7808612891907964,1.5889095488298441,4.152235328300229
recording_zscore,Recording-level z-score,participant_disjoint_loso,Participant-disjoint LOSO,arithmetic,Arithmetic,15,0.6,0.5333333333333333,0.6833333333333333,2.615338738562548,1.595546699218704,3.8512387494702605
reference,Reference preprocessing,participant_disjoint_loso,Participant-disjoint LOSO,arithmetic,Arithmetic,15,0.6,0.5333333333333333,0.6666666666666666,1.2769235346839556,0.8270050578544852,1.8517502772368364
neutral_legacy_multipliers,Neutral legacy multipliers,participant_disjoint_loso,Participant-disjoint LOSO,stroop,Stroop,15,0.6166666666666667,0.5166666666666667,0.7,0.7721729304917375,0.5876368910998061,1.0026585406298185
no_50hz_attenuation,No 50-Hz attenuation,participant_disjoint_loso,Participant-disjoint LOSO,stroop,Stroop,15,0.6,0.5,0.7,0.9469656216460279,0.649677523795434,1.3084909908308482
no_window_zscore,No within-window z-score,participant_disjoint_loso,Participant-disjoint LOSO,stroop,Stroop,15,0.6666666666666666,0.6,0.75,2.4177975418627193,0.8465477876202764,4.486305481540343
recording_zscore,Recording-level z-score,participant_disjoint_loso,Participant-disjoint LOSO,stroop,Stroop,15,0.5333333333333333,0.4166666666666667,0.6333333333333333,2.3856206952453562,1.4306430111851942,3.6360388108938526
reference,Reference preprocessing,participant_disjoint_loso,Participant-disjoint LOSO,stroop,Stroop,15,0.6333333333333333,0.5333333333333333,0.7333333333333333,0.774827008189111,0.5868899007525015,1.000421168490179
neutral_legacy_multipliers,Neutral legacy multipliers,recording_disjoint,Within-participant recording-disjoint,arithmetic,Arithmetic,15,0.51,0.46,0.5633333333333334,3.451622241997721,2.5934239864447712,4.5023241279711135
no_50hz_attenuation,No 50-Hz attenuation,recording_disjoint,Within-participant recording-disjoint,arithmetic,Arithmetic,15,0.5266666666666666,0.4799999999999999,0.5766666666666665,3.000836013170014,2.4132878023892745,3.6869788059379616
no_window_zscore,No within-window z-score,recording_disjoint,Within-participant recording-disjoint,arithmetic,Arithmetic,15,0.5700000000000001,0.5,0.6333333333333334,2.9779418361000842,2.129821841726333,4.174470338811549
recording_zscore,Recording-level z-score,recording_disjoint,Within-participant recording-disjoint,arithmetic,Arithmetic,15,0.47333333333333344,0.41333333333333333,0.5400000000000001,6.393955546418613,4.842528822252457,7.851829088893108
reference,Reference preprocessing,recording_disjoint,Within-participant recording-disjoint,arithmetic,Arithmetic,15,0.51,0.46,0.5633333333333332,3.469872701930397,2.5877244453039125,4.546721096997434
neutral_legacy_multipliers,Neutral legacy multipliers,recording_disjoint,Within-participant recording-disjoint,stroop,Stroop,15,0.5166666666666667,0.4299166666666666,0.6033333333333334,3.0530039580455894,2.020595735894279,4.2164342326120945
no_50hz_attenuation,No 50-Hz attenuation,recording_disjoint,Within-participant recording-disjoint,stroop,Stroop,15,0.5166666666666667,0.44,0.5933333333333334,3.2946522466355628,2.1788983528529116,4.624656526570268
