evaluation,evaluation_display,condition,condition_display,variant_id,variant,comparator,n_paired_participants,mean_accuracy_difference,paired_accuracy_ci95_low,paired_accuracy_ci95_high,participants_improved,participants_tied,participants_worsened,mean_log_loss_difference,wilcoxon_p_raw,analysis_status,wilcoxon_p_bh,significant_after_bh_0_05,bh_family
cross_task,Cross-task transfer,arithmetic_to_stroop,Arithmetic to Stroop,neutral_legacy_multipliers,Neutral legacy multipliers,Reference preprocessing,15,0.0,0.0,0.0,0,15,0,-0.0019690826791550877,1.0,post-hoc supervisor-requested exploratory sensitivity,1.0,False,all 24 non-reference preprocessing comparisons
cross_task,Cross-task transfer,arithmetic_to_stroop,Arithmetic to Stroop,no_50hz_attenuation,No 50-Hz attenuation,Reference preprocessing,15,0.016666666666666666,-0.06666666666666667,0.1,2,11,2,-0.05713168604894984,0.9410723491398268,post-hoc supervisor-requested exploratory sensitivity,1.0,False,all 24 non-reference preprocessing comparisons
cross_task,Cross-task transfer,arithmetic_to_stroop,Arithmetic to Stroop,no_window_zscore,No within-window z-score,Reference preprocessing,15,-0.016666666666666666,-0.06666666666666667,0.03333333333333333,1,12,2,0.02038805149872474,0.5637028616507731,post-hoc supervisor-requested exploratory sensitivity,0.901924578641237,False,all 24 non-reference preprocessing comparisons
cross_task,Cross-task transfer,arithmetic_to_stroop,Arithmetic to Stroop,recording_zscore,Recording-level z-score,Reference preprocessing,15,-0.06666666666666667,-0.16666666666666666,0.03333333333333333,2,8,5,0.526337400698313,0.23377059590029192,post-hoc supervisor-requested exploratory sensitivity,0.759550949681898,False,all 24 non-reference preprocessing comparisons
cross_task,Cross-task transfer,stroop_to_arithmetic,Stroop to Arithmetic,neutral_legacy_multipliers,Neutral legacy multipliers,Reference preprocessing,15,0.0,0.0,0.0,0,15,0,0.00568828578970545,1.0,post-hoc supervisor-requested exploratory sensitivity,1.0,False,all 24 non-reference preprocessing comparisons
cross_task,Cross-task transfer,stroop_to_arithmetic,Stroop to Arithmetic,no_50hz_attenuation,No 50-Hz attenuation,Reference preprocessing,15,0.06666666666666667,0.0,0.15,3,12,0,-0.3387233354930935,0.08365783319314869,post-hoc supervisor-requested exploratory sensitivity,0.759550949681898,False,all 24 non-reference preprocessing comparisons
cross_task,Cross-task transfer,stroop_to_arithmetic,Stroop to Arithmetic,no_window_zscore,No within-window z-score,Reference preprocessing,15,0.05,-0.03333333333333333,0.15,4,9,2,-0.17012163760273472,0.379775474840949,post-hoc supervisor-requested exploratory sensitivity,0.759550949681898,False,all 24 non-reference preprocessing comparisons
cross_task,Cross-task transfer,stroop_to_arithmetic,Stroop to Arithmetic,recording_zscore,Recording-level z-score,Reference preprocessing,15,0.05,-0.05,0.15,4,9,2,-0.061289122027698456,0.379775474840949,post-hoc supervisor-requested exploratory sensitivity,0.759550949681898,False,all 24 non-reference preprocessing comparisons
participant_disjoint_loso,Participant-disjoint LOSO,arithmetic,Arithmetic,neutral_legacy_multipliers,Neutral legacy multipliers,Reference preprocessing,15,0.0,0.0,0.0,0,15,0,-0.0022322222496307777,1.0,post-hoc supervisor-requested exploratory sensitivity,1.0,False,all 24 non-reference preprocessing comparisons
participant_disjoint_loso,Participant-disjoint LOSO,arithmetic,Arithmetic,no_50hz_attenuation,No 50-Hz attenuation,Reference preprocessing,15,-0.016666666666666666,-0.11666666666666667,0.08333333333333333,2,10,3,-0.09618374505021555,0.681077926277146,post-hoc supervisor-requested exploratory sensitivity,0.9081039017028615,False,all 24 non-reference preprocessing comparisons
participant_disjoint_loso,Participant-disjoint LOSO,arithmetic,Arithmetic,no_window_zscore,No within-window z-score,Reference preprocessing,15,-0.05,-0.11666666666666667,0.016666666666666666,1,10,4,1.5039377545068406,0.17971249487899976,post-hoc supervisor-requested exploratory sensitivity,0.759550949681898,False,all 24 non-reference preprocessing comparisons
participant_disjoint_loso,Participant-disjoint LOSO,arithmetic,Arithmetic,recording_zscore,Recording-level z-score,Reference preprocessing,15,0.0,-0.08333333333333333,0.08333333333333333,3,9,3,1.3384152038785924,1.0,post-hoc supervisor-requested exploratory sensitivity,1.0,False,all 24 non-reference preprocessing comparisons
participant_disjoint_loso,Participant-disjoint LOSO,stroop,Stroop,neutral_legacy_multipliers,Neutral legacy multipliers,Reference preprocessing,15,-0.016666666666666666,-0.05,0.0,0,14,1,-0.0026540776973733877,0.31731050786291415,post-hoc supervisor-requested exploratory sensitivity,0.759550949681898,False,all 24 non-reference preprocessing comparisons
participant_disjoint_loso,Participant-disjoint LOSO,stroop,Stroop,no_50hz_attenuation,No 50-Hz attenuation,Reference preprocessing,15,-0.03333333333333333,-0.11666666666666667,0.06666666666666667,3,7,5,0.17213861345691697,0.47950012218695337,post-hoc supervisor-requested exploratory sensitivity,0.8852309948066832,False,all 24 non-reference preprocessing comparisons
participant_disjoint_loso,Participant-disjoint LOSO,stroop,Stroop,no_window_zscore,No within-window z-score,Reference preprocessing,15,0.03333333333333333,-0.06666666666666667,0.13333333333333333,4,8,3,1.6429705336736082,0.638345055330864,post-hoc supervisor-requested exploratory sensitivity,0.9081039017028615,False,all 24 non-reference preprocessing comparisons
participant_disjoint_loso,Participant-disjoint LOSO,stroop,Stroop,recording_zscore,Recording-level z-score,Reference preprocessing,15,-0.1,-0.18333333333333332,-0.016666666666666666,1,8,6,1.6107936870562454,0.05595447585824812,post-hoc supervisor-requested exploratory sensitivity,0.759550949681898,False,all 24 non-reference preprocessing comparisons
recording_disjoint,Within-participant recording-disjoint,arithmetic,Arithmetic,neutral_legacy_multipliers,Neutral legacy multipliers,Reference preprocessing,15,0.0,0.0,0.0,0,15,0,-0.018250459932675763,1.0,post-hoc supervisor-requested exploratory sensitivity,1.0,False,all 24 non-reference preprocessing comparisons
recording_disjoint,Within-participant recording-disjoint,arithmetic,Arithmetic,no_50hz_attenuation,No 50-Hz attenuation,Reference preprocessing,15,0.01666666666666667,-0.01666666666666666,0.05,4,10,1,-0.46903668876038296,0.2056049449798042,post-hoc supervisor-requested exploratory sensitivity,0.759550949681898,False,all 24 non-reference preprocessing comparisons
