method,protocol,direction,participants,recordings,class_0_recordings,class_1_recordings
always_nn,cross_task,arithmetic_to_stroop,13,39,13,26
always_nn,cross_task,stroop_to_arithmetic,13,39,13,26
always_nn,loso,arithmetic,15,60,30,30
always_nn,loso,stroop,13,52,26,26
always_fuse,cross_task,arithmetic_to_stroop,13,39,13,26
always_fuse,cross_task,stroop_to_arithmetic,13,39,13,26
always_fuse,loso,arithmetic,15,60,30,30
always_fuse,loso,stroop,13,52,26,26
rf,cross_task,arithmetic_to_stroop,13,39,13,26
rf,cross_task,stroop_to_arithmetic,13,39,13,26
rf,loso,arithmetic,15,60,30,30
rf,loso,stroop,13,52,26,26
extra_trees,cross_task,arithmetic_to_stroop,13,39,13,26
extra_trees,cross_task,stroop_to_arithmetic,13,39,13,26
extra_trees,loso,arithmetic,15,60,30,30
extra_trees,loso,stroop,13,52,26,26
fixed_blend_010,cross_task,arithmetic_to_stroop,13,39,13,26
fixed_blend_010,cross_task,stroop_to_arithmetic,13,39,13,26
fixed_blend_010,loso,arithmetic,15,60,30,30
fixed_blend_010,loso,stroop,13,52,26,26
fixed_blend_025,cross_task,arithmetic_to_stroop,13,39,13,26
fixed_blend_025,cross_task,stroop_to_arithmetic,13,39,13,26
fixed_blend_025,loso,arithmetic,15,60,30,30
fixed_blend_025,loso,stroop,13,52,26,26
equal_blend_050,cross_task,arithmetic_to_stroop,13,39,13,26
equal_blend_050,cross_task,stroop_to_arithmetic,13,39,13,26
equal_blend_050,loso,arithmetic,15,60,30,30
equal_blend_050,loso,stroop,13,52,26,26
stack_recording,cross_task,arithmetic_to_stroop,13,39,13,26
stack_recording,cross_task,stroop_to_arithmetic,13,39,13,26
stack_recording,loso,arithmetic,15,60,30,30
stack_recording,loso,stroop,13,52,26,26
dasf_clean,cross_task,arithmetic_to_stroop,13,39,13,26
dasf_clean,cross_task,stroop_to_arithmetic,13,39,13,26
dasf_clean,loso,arithmetic,15,60,30,30
dasf_clean,loso,stroop,13,52,26,26
cbsf,cross_task,arithmetic_to_stroop,13,39,13,26
cbsf,cross_task,stroop_to_arithmetic,13,39,13,26
cbsf,loso,arithmetic,15,60,30,30
cbsf,loso,stroop,13,52,26,26
riemann_ts_logreg,cross_task,arithmetic_to_stroop,13,39,13,26
riemann_ts_logreg,cross_task,stroop_to_arithmetic,13,39,13,26
riemann_ts_logreg,loso,arithmetic,15,60,30,30
riemann_ts_logreg,loso,stroop,13,52,26,26
riemann_mdm,cross_task,arithmetic_to_stroop,13,39,13,26
riemann_mdm,cross_task,stroop_to_arithmetic,13,39,13,26
riemann_mdm,loso,arithmetic,15,60,30,30
riemann_mdm,loso,stroop,13,52,26,26
eegnet,cross_task,arithmetic_to_stroop,13,39,13,26
eegnet,cross_task,stroop_to_arithmetic,13,39,13,26
eegnet,loso,arithmetic,15,60,30,30
eegnet,loso,stroop,13,52,26,26
eeg_conformer,cross_task,arithmetic_to_stroop,13,39,13,26
eeg_conformer,cross_task,stroop_to_arithmetic,13,39,13,26
eeg_conformer,loso,arithmetic,15,60,30,30
eeg_conformer,loso,stroop,13,52,26,26
