dataset,protocol,direction,analysis_cell_display,method,method_display,metric,n_participants_total,n_participants_valid,mean,standard_deviation,median,q1,q3,minimum,maximum
openbci,cross_task,arithmetic_to_stroop,Arithmetic to Stroop,always_fuse,Always fused,accuracy,13,13,0.58974358974358965,0.24167035069399473,0.66666666666666663,0.33333333333333331,0.66666666666666663,0.33333333333333331,1
openbci,cross_task,arithmetic_to_stroop,Arithmetic to Stroop,always_fuse,Always fused,balanced_accuracy,13,13,0.53846153846153844,0.24677405839641228,0.5,0.5,0.5,0.25,1
openbci,cross_task,arithmetic_to_stroop,Arithmetic to Stroop,always_fuse,Always fused,sensitivity,13,13,0.69230769230769229,0.38397382389415224,1,0.5,1,0,1
openbci,cross_task,arithmetic_to_stroop,Arithmetic to Stroop,always_fuse,Always fused,specificity,13,13,0.38461538461538464,0.50636968354183332,0,0,1,0,1
openbci,cross_task,arithmetic_to_stroop,Arithmetic to Stroop,always_fuse,Always fused,precision,13,11,0.71212121212121204,0.19847906537954926,0.66666666666666663,0.58333333333333326,0.83333333333333326,0.5,1
openbci,cross_task,arithmetic_to_stroop,Arithmetic to Stroop,always_fuse,Always fused,f1,13,13,0.6282051282051283,0.32456413902629527,0.80000000000000004,0.5,0.80000000000000004,0,1
openbci,cross_task,arithmetic_to_stroop,Arithmetic to Stroop,always_fuse,Always fused,auroc,13,13,0.61538461538461542,0.46340434799814922,1,0,1,0,1
openbci,cross_task,arithmetic_to_stroop,Arithmetic to Stroop,always_fuse,Always fused,pr_auc,13,13,0.78846153846153832,0.26866737449801775,1,0.41666666666666663,1,0.41666666666666663,1
openbci,cross_task,arithmetic_to_stroop,Arithmetic to Stroop,always_fuse,Always fused,average_precision,13,13,0.84615384615384626,0.19198691194707615,1,0.58333333333333326,1,0.58333333333333326,1
openbci,cross_task,arithmetic_to_stroop,Arithmetic to Stroop,always_fuse,Always fused,log_loss,13,13,0.83648790627542147,0.47261720624733694,0.68169536748353499,0.67323845963116957,0.74634679323841757,0.6096842411696286,2.3849662324160525
