dataset,protocol,direction,analysis_cell_display,method,method_display,n_participants,n_recordings,n_class_0,n_class_1,tn,fp,fn,tp,accuracy,balanced_accuracy,sensitivity,specificity,precision,f1,auroc,pr_auc,average_precision,log_loss,brier_score,ece_5_bins,maximum_calibration_error_5_bins,calibration_intercept,calibration_slope,calibration_fit_status
openbci,cross_task,arithmetic_to_stroop,Arithmetic to Stroop,always_fuse,Always fused,13,39,13,26,5,8,8,18,0.58974358974358976,0.53846153846153844,0.69230769230769229,0.38461538461538464,0.69230769230769229,0.69230769230769229,0.4940828402366863,0.66906394003741254,0.68334331966086104,0.83648790627542147,0.26260023231664315,0.22105906908973197,0.33259207559303494,0.69365669602121183,-0.0010231984940229453,estimated
openbci,cross_task,arithmetic_to_stroop,Arithmetic to Stroop,always_nn,Always neural,13,39,13,26,3,10,4,22,0.64102564102564108,0.53846153846153844,0.84615384615384615,0.23076923076923078,0.6875,0.75862068965517238,0.52662721893491127,0.6884510459157176,0.70234961293425469,1.268879009183338,0.31047286287844478,0.28153807347537241,0.64222389250191869,0.66693331800553235,0.010138241225752511,estimated
openbci,cross_task,arithmetic_to_stroop,Arithmetic to Stroop,cbsf,CB-SF,13,39,13,26,2,11,5,21,0.58974358974358976,0.48076923076923078,0.80769230769230771,0.15384615384615385,0.65625,0.72413793103448276,0.43195266272189342,0.65963128941550964,0.67347723948995164,0.8153520661604543,0.25013429382460267,0.14345382351839198,0.33274545038419656,0.68723260974643552,0.0074924927112971088,estimated
openbci,cross_task,arithmetic_to_stroop,Arithmetic to Stroop,dasf_clean,DASF,13,39,13,26,4,9,10,16,0.51282051282051277,0.46153846153846156,0.61538461538461542,0.30769230769230771,0.64000000000000001,0.62745098039215685,0.42899408284023671,0.64625889118393487,0.66077499303699327,1.1507201021424007,0.32841181354918564,0.28674948442008924,0.87929035220546825,0.768809876619723,-0.053561300123783961,estimated
openbci,cross_task,arithmetic_to_stroop,Arithmetic to Stroop,eeg_conformer,EEG-Conformer,13,39,13,26,2,11,7,19,0.53846153846153844,0.44230769230769229,0.73076923076923073,0.15384615384615385,0.6333333333333333,0.6785714285714286,0.56804733727810652,0.73067664328752369,0.74064811466026026,0.94582969965495833,0.2783356609532649,0.2330359854685938,0.41982234306560856,0.49749072021791624,0.10662285488465967,estimated
openbci,cross_task,arithmetic_to_stroop,Arithmetic to Stroop,eegnet,EEGNet,13,39,13,26,1,12,3,23,0.61538461538461542,0.48076923076923073,0.88461538461538458,0.076923076923076927,0.65714285714285714,0.75409836065573765,0.46745562130177515,0.6826130321546493,0.69227414459502579,1.30948984183176,0.28287688716938814,0.20929863501516874,0.66028220324741338,0.718915932385914,-0.0093131177698114985,estimated
openbci,cross_task,arithmetic_to_stroop,Arithmetic to Stroop,equal_blend_050,Equal blend (50%),13,39,13,26,3,10,4,22,0.64102564102564108,0.53846153846153844,0.84615384615384615,0.23076923076923078,0.6875,0.75862068965517238,0.51775147928994081,0.71318402399856962,0.72543849052711917,0.81867036651486114,0.24635143484166205,0.14040049046651853,0.42313239266708769,0.67888383717659462,0.014908999147684131,estimated
openbci,cross_task,arithmetic_to_stroop,Arithmetic to Stroop,extra_trees,Extra Trees,13,39,13,26,4,9,5,21,0.64102564102564108,0.55769230769230771,0.80769230769230771,0.30769230769230771,0.69999999999999996,0.75,0.58579881656804733,0.72238200005976849,0.73291398383565665,0.77418374059919892,0.23548041465259123,0.11989656412786065,0.19424660137431737,0.60973318878755223,0.071156789223100578,estimated
openbci,cross_task,arithmetic_to_stroop,Arithmetic to Stroop,fixed_blend_010,Fixed blend (10%),13,39,13,26,3,10,5,21,0.61538461538461542,0.51923076923076927,0.80769230769230771,0.23076923076923078,0.67741935483870963,0.73684210526315785,0.51775147928994092,0.69566171363518525,0.70900249425096951,0.92799901870561052,0.26989817315396097,0.18250709414387695,0.35947126861242173,0.66367304803740801,0.018921019672373543,estimated
openbci,cross_task,arithmetic_to_stroop,Arithmetic to Stroop,fixed_blend_025,Fixed blend (25%),13,39,13,26,3,10,5,21,0.61538461538461542,0.51923076923076927,0.80769230769230771,0.23076923076923078,0.67741935483870963,0.73684210526315785,0.51479289940828399,0.7007595502714834,0.71366718853104838,0.85728850366617881,0.25520973235135036,0.16067894346534101,0.70175212308844293,0.66999157695783085,0.018712771395740083,estimated
openbci,cross_task,arithmetic_to_stroop,Arithmetic to Stroop,rf,Random forest,13,39,13,26,6,7,6,20,0.66666666666666663,0.61538461538461542,0.76923076923076927,0.46153846153846156,0.7407407407407407,0.75471698113207553,0.57396449704142016,0.70403630753729596,0.71779065179467738,0.87474719277187518,0.24959507974439654,0.13814304405672148,0.81374414055387567,0.66952913219251387,0.019942037479536372,estimated
openbci,cross_task,arithmetic_to_stroop,Arithmetic to Stroop,riemann_mdm,Riemannian MDM,13,39,13,26,1,12,2,24,0.64102564102564108,0.5,0.92307692307692313,0.076923076923076927,0.66666666666666663,0.77419354838709675,0.53550295857988162,0.71105870099161816,0.72140667826229332,1.1660792607457995,0.27258343156068238,0.15482964876180025,0.91489118544211523,0.66289226207683338,0.011828274380189003,estimated
openbci,cross_task,arithmetic_to_stroop,Arithmetic to Stroop,riemann_ts_logreg,Riemannian TS-LR,13,39,13,26,1,12,4,22,0.58974358974358976,0.46153846153846156,0.84615384615384615,0.076923076923076927,0.6470588235294118,0.73333333333333328,0.52366863905325445,0.75061363655449409,0.75661297615524015,1.6816681260115489,0.34742333251269597,0.33274243317833435,0.66269959881137175,0.56658981989576196,0.035414130408440464,estimated
openbci,cross_task,arithmetic_to_stroop,Arithmetic to Stroop,stack_recording,OOF recording-level stacking,13,39,13,26,4,9,8,18,0.5641025641025641,0.5,0.69230769230769229,0.30769230769230771,0.66666666666666663,0.67924528301886788,0.49999999999999994,0.67987464920828211,0.69119612175322942,0.81998997433766074,0.27827017109955776,0.17334652822471172,0.92922863501148878,0.71998960380817645,-0.059840606551153072,estimated
openbci,cross_task,stroop_to_arithmetic,Stroop to Arithmetic,always_fuse,Always fused,13,39,13,26,6,7,13,13,0.48717948717948717,0.48076923076923078,0.5,0.46153846153846156,0.65000000000000002,0.56521739130434778,0.44378698224852076,0.64751413476459607,0.66226813086336112,0.88095973751775369,0.30523840165251376,0.25810323802369012,0.82861303861915236,0.69806687085242103,-0.030255234360668501,estimated
openbci,cross_task,stroop_to_arithmetic,Stroop to Arithmetic,always_nn,Always neural,13,39,13,26,5,8,9,17,0.5641025641025641,0.51923076923076927,0.65384615384615385,0.38461538461538464,0.68000000000000005,0.66666666666666663,0.50591715976331364,0.68548327366718242,0.69926523243541971,2.216924965506494,0.3387465738403504,0.29953723075684124,0.65195436732403322,0.69818721143308793,-0.0043182840618848969,estimated
openbci,cross_task,stroop_to_arithmetic,Stroop to Arithmetic,cbsf,CB-SF,13,39,13,26,6,7,11,15,0.53846153846153844,0.51923076923076916,0.57692307692307687,0.46153846153846156,0.68181818181818177,0.625,0.50295857988165671,0.68091083778809347,0.6948403869806713,0.93414193450437377,0.30112295620730495,0.23396842589299785,0.65880473070227419,0.68047504941649373,0.038298295286229127,estimated
openbci,cross_task,stroop_to_arithmetic,Stroop to Arithmetic,dasf_clean,DASF,13,39,13,26,4,9,10,16,0.51282051282051277,0.46153846153846156,0.61538461538461542,0.30769230769230771,0.64000000000000001,0.62745098039215685,0.46153846153846151,0.66578558508080798,0.6796893560747117,1.7594381020109591,0.35547608029288358,0.32789953686626194,0.73526220305247336,0.69816046720901759,-0.014855420372890882,estimated
openbci,cross_task,stroop_to_arithmetic,Stroop to Arithmetic,eeg_conformer,EEG-Conformer,13,39,13,26,4,9,5,21,0.64102564102564108,0.55769230769230771,0.80769230769230771,0.30769230769230771,0.69999999999999996,0.75,0.55621301775147924,0.71100460109023089,0.72185494489474467,1.2337691551393226,0.30511942487192445,0.24788822264696753,0.78184870353582014,0.70522004897745816,-0.011876196579855516,estimated
openbci,cross_task,stroop_to_arithmetic,Stroop to Arithmetic,eegnet,EEGNet,13,39,13,26,4,9,7,19,0.58974358974358976,0.51923076923076916,0.73076923076923073,0.30769230769230771,0.6785714285714286,0.70370370370370372,0.52071005917159763,0.6541768615030944,0.67764709571803083,0.71252583336227515,0.24364122925458459,0.1764050927050885,0.25867595199094251,0.60123644400257381,0.17276072645154442,estimated
openbci,cross_task,stroop_to_arithmetic,Stroop to Arithmetic,equal_blend_050,Equal blend (50%),13,39,13,26,7,6,10,16,0.58974358974358976,0.57692307692307687,0.61538461538461542,0.53846153846153844,0.72727272727272729,0.66666666666666663,0.52662721893491127,0.68714881131051375,0.70111431364656496,0.88497270295011099,0.29066273962856931,0.22393505441144324,0.53013677609384424,0.69301593484502222,0.00028688784979454798,estimated
