bin_index,bin_lower,bin_upper,right_edge_included,n_recordings,mean_predicted_probability,observed_positive_rate,absolute_calibration_gap,dataset,protocol,direction,analysis_cell_display,method,method_display
1,0,0.20000000000000001,False,0,,,,openbci,cross_task,arithmetic_to_stroop,Arithmetic to Stroop,always_fuse,Always fused
2,0.20000000000000001,0.40000000000000002,False,3,0.34339608757880663,0.66666666666666663,0.32327057908786,openbci,cross_task,arithmetic_to_stroop,Arithmetic to Stroop,always_fuse,Always fused
3,0.40000000000000002,0.60000000000000009,False,30,0.50784164504300955,0.69999999999999996,0.19215835495699041,openbci,cross_task,arithmetic_to_stroop,Arithmetic to Stroop,always_fuse,Always fused
4,0.60000000000000009,0.80000000000000004,False,3,0.62965502724904965,0.33333333333333331,0.29632169391571633,openbci,cross_task,arithmetic_to_stroop,Arithmetic to Stroop,always_fuse,Always fused
5,0.80000000000000004,1,True,3,0.99925874225970157,0.66666666666666663,0.33259207559303494,openbci,cross_task,arithmetic_to_stroop,Arithmetic to Stroop,always_fuse,Always fused
1,0,0.20000000000000001,False,4,0.10777610749808134,0.75,0.64222389250191869,openbci,cross_task,arithmetic_to_stroop,Arithmetic to Stroop,always_nn,Always neural
2,0.20000000000000001,0.40000000000000002,False,1,0.3316597528436146,0,0.3316597528436146,openbci,cross_task,arithmetic_to_stroop,Arithmetic to Stroop,always_nn,Always neural
3,0.40000000000000002,0.60000000000000009,False,3,0.49062222957099494,0.66666666666666663,0.17604443709567169,openbci,cross_task,arithmetic_to_stroop,Arithmetic to Stroop,always_nn,Always neural
4,0.60000000000000009,0.80000000000000004,False,8,0.69725490557132463,0.75,0.052745094428675365,openbci,cross_task,arithmetic_to_stroop,Arithmetic to Stroop,always_nn,Always neural
5,0.80000000000000004,1,True,23,0.96214502069442687,0.65217391304347827,0.3099711076509486,openbci,cross_task,arithmetic_to_stroop,Arithmetic to Stroop,always_nn,Always neural
1,0,0.20000000000000001,False,0,,,,openbci,cross_task,arithmetic_to_stroop,Arithmetic to Stroop,cbsf,CB-SF
2,0.20000000000000001,0.40000000000000002,False,1,0.28394472623188272,0,0.28394472623188272,openbci,cross_task,arithmetic_to_stroop,Arithmetic to Stroop,cbsf,CB-SF
3,0.40000000000000002,0.60000000000000009,False,26,0.52658094005514444,0.69230769230769229,0.16572675225254785,openbci,cross_task,arithmetic_to_stroop,Arithmetic to Stroop,cbsf,CB-SF
4,0.60000000000000009,0.80000000000000004,False,9,0.66706916458517451,0.66666666666666663,0.00040249791850788252,openbci,cross_task,arithmetic_to_stroop,Arithmetic to Stroop,cbsf,CB-SF
5,0.80000000000000004,1,True,3,0.99941211705086319,0.66666666666666663,0.33274545038419656,openbci,cross_task,arithmetic_to_stroop,Arithmetic to Stroop,cbsf,CB-SF
1,0,0.20000000000000001,False,3,0.12070964779453175,1,0.87929035220546825,openbci,cross_task,arithmetic_to_stroop,Arithmetic to Stroop,dasf_clean,DASF
2,0.20000000000000001,0.40000000000000002,False,4,0.34046200389500858,0.5,0.15953799610499142,openbci,cross_task,arithmetic_to_stroop,Arithmetic to Stroop,dasf_clean,DASF
3,0.40000000000000002,0.60000000000000009,False,16,0.50058443070664183,0.6875,0.18691556929335817,openbci,cross_task,arithmetic_to_stroop,Arithmetic to Stroop,dasf_clean,DASF
4,0.60000000000000009,0.80000000000000004,False,4,0.70509058393905444,0.75,0.044909416060945562,openbci,cross_task,arithmetic_to_stroop,Arithmetic to Stroop,dasf_clean,DASF
5,0.80000000000000004,1,True,12,0.97807667320079972,0.58333333333333337,0.39474333986746635,openbci,cross_task,arithmetic_to_stroop,Arithmetic to Stroop,dasf_clean,DASF
1,0,0.20000000000000001,False,2,0.095184119304896356,0.5,0.40481588069510366,openbci,cross_task,arithmetic_to_stroop,Arithmetic to Stroop,eeg_conformer,EEG-Conformer
2,0.20000000000000001,0.40000000000000002,False,4,0.33017765693439144,0.75,0.41982234306560856,openbci,cross_task,arithmetic_to_stroop,Arithmetic to Stroop,eeg_conformer,EEG-Conformer
3,0.40000000000000002,0.60000000000000009,False,5,0.4686615297073855,0.59999999999999998,0.13133847029261447,openbci,cross_task,arithmetic_to_stroop,Arithmetic to Stroop,eeg_conformer,EEG-Conformer
4,0.60000000000000009,0.80000000000000004,False,7,0.74034740168779456,0.42857142857142855,0.31177597311636601,openbci,cross_task,arithmetic_to_stroop,Arithmetic to Stroop,eeg_conformer,EEG-Conformer
5,0.80000000000000004,1,True,21,0.94096943506404196,0.76190476190476186,0.1790646731592801,openbci,cross_task,arithmetic_to_stroop,Arithmetic to Stroop,eeg_conformer,EEG-Conformer
1,0,0.20000000000000001,False,0,,,,openbci,cross_task,arithmetic_to_stroop,Arithmetic to Stroop,eegnet,EEGNet
2,0.20000000000000001,0.40000000000000002,False,1,0.33971779675258662,1,0.66028220324741338,openbci,cross_task,arithmetic_to_stroop,Arithmetic to Stroop,eegnet,EEGNet
3,0.40000000000000002,0.60000000000000009,False,13,0.51501289542001105,0.69230769230769229,0.17729479688768124,openbci,cross_task,arithmetic_to_stroop,Arithmetic to Stroop,eegnet,EEGNet
4,0.60000000000000009,0.80000000000000004,False,11,0.67665161027129339,0.63636363636363635,0.040287973907657038,openbci,cross_task,arithmetic_to_stroop,Arithmetic to Stroop,eegnet,EEGNet
5,0.80000000000000004,1,True,14,0.98245460641572036,0.6428571428571429,0.33959746355857745,openbci,cross_task,arithmetic_to_stroop,Arithmetic to Stroop,eegnet,EEGNet
1,0,0.20000000000000001,False,0,,,,openbci,cross_task,arithmetic_to_stroop,Arithmetic to Stroop,equal_blend_050,Equal blend (50%)
2,0.20000000000000001,0.40000000000000002,False,4,0.32686760733291231,0.75,0.42313239266708769,openbci,cross_task,arithmetic_to_stroop,Arithmetic to Stroop,equal_blend_050,Equal blend (50%)
3,0.40000000000000002,0.60000000000000009,False,13,0.54561135187266008,0.69230769230769229,0.14669634043503221,openbci,cross_task,arithmetic_to_stroop,Arithmetic to Stroop,equal_blend_050,Equal blend (50%)
4,0.60000000000000009,0.80000000000000004,False,19,0.67774591079539548,0.63157894736842102,0.046166963426974461,openbci,cross_task,arithmetic_to_stroop,Arithmetic to Stroop,equal_blend_050,Equal blend (50%)
5,0.80000000000000004,1,True,3,0.99962160891931295,0.66666666666666663,0.33295494225264632,openbci,cross_task,arithmetic_to_stroop,Arithmetic to Stroop,equal_blend_050,Equal blend (50%)
1,0,0.20000000000000001,False,0,,,,openbci,cross_task,arithmetic_to_stroop,Arithmetic to Stroop,extra_trees,Extra Trees
2,0.20000000000000001,0.40000000000000002,False,2,0.38342149724236496,0.5,0.11657850275763504,openbci,cross_task,arithmetic_to_stroop,Arithmetic to Stroop,extra_trees,Extra Trees
3,0.40000000000000002,0.60000000000000009,False,12,0.50620294237793539,0.66666666666666663,0.16046372428873124,openbci,cross_task,arithmetic_to_stroop,Arithmetic to Stroop,extra_trees,Extra Trees
4,0.60000000000000009,0.80000000000000004,False,15,0.70498521935088976,0.66666666666666663,0.038318552684223128,openbci,cross_task,arithmetic_to_stroop,Arithmetic to Stroop,extra_trees,Extra Trees
5,0.80000000000000004,1,True,10,0.89424660137431733,0.69999999999999996,0.19424660137431737,openbci,cross_task,arithmetic_to_stroop,Arithmetic to Stroop,extra_trees,Extra Trees
1,0,0.20000000000000001,False,2,0.14752254459180181,0.5,0.35247745540819819,openbci,cross_task,arithmetic_to_stroop,Arithmetic to Stroop,fixed_blend_010,Fixed blend (10%)
2,0.20000000000000001,0.40000000000000002,False,3,0.30719539805424489,0.66666666666666663,0.35947126861242173,openbci,cross_task,arithmetic_to_stroop,Arithmetic to Stroop,fixed_blend_010,Fixed blend (10%)
3,0.40000000000000002,0.60000000000000009,False,4,0.51233072895288612,0.75,0.23766927104711388,openbci,cross_task,arithmetic_to_stroop,Arithmetic to Stroop,fixed_blend_010,Fixed blend (10%)
4,0.60000000000000009,0.80000000000000004,False,13,0.69776932550639559,0.69230769230769229,0.0054616331987032973,openbci,cross_task,arithmetic_to_stroop,Arithmetic to Stroop,fixed_blend_010,Fixed blend (10%)
5,0.80000000000000004,1,True,17,0.90074880230505538,0.6470588235294118,0.25368997877564359,openbci,cross_task,arithmetic_to_stroop,Arithmetic to Stroop,fixed_blend_010,Fixed blend (10%)
1,0,0.20000000000000001,False,1,0.1449073455499513,0,0.1449073455499513,openbci,cross_task,arithmetic_to_stroop,Arithmetic to Stroop,fixed_blend_025,Fixed blend (25%)
2,0.20000000000000001,0.40000000000000002,False,3,0.29824787691155702,1,0.70175212308844293,openbci,cross_task,arithmetic_to_stroop,Arithmetic to Stroop,fixed_blend_025,Fixed blend (25%)
3,0.40000000000000002,0.60000000000000009,False,6,0.50600606626912925,0.66666666666666663,0.16066060039753738,openbci,cross_task,arithmetic_to_stroop,Arithmetic to Stroop,fixed_blend_025,Fixed blend (25%)
4,0.60000000000000009,0.80000000000000004,False,20,0.70401679384861482,0.59999999999999998,0.10401679384861484,openbci,cross_task,arithmetic_to_stroop,Arithmetic to Stroop,fixed_blend_025,Fixed blend (25%)
5,0.80000000000000004,1,True,9,0.88577951121949972,0.77777777777777779,0.10800173344172193,openbci,cross_task,arithmetic_to_stroop,Arithmetic to Stroop,fixed_blend_025,Fixed blend (25%)
1,0,0.20000000000000001,False,1,0.1862558594461243,1,0.81374414055387567,openbci,cross_task,arithmetic_to_stroop,Arithmetic to Stroop,rf,Random forest
2,0.20000000000000001,0.40000000000000002,False,3,0.32005995040671303,0.33333333333333331,0.013273382926620281,openbci,cross_task,arithmetic_to_stroop,Arithmetic to Stroop,rf,Random forest
3,0.40000000000000002,0.60000000000000009,False,12,0.48453600348810461,0.66666666666666663,0.18213066317856202,openbci,cross_task,arithmetic_to_stroop,Arithmetic to Stroop,rf,Random forest
4,0.60000000000000009,0.80000000000000004,False,11,0.68505416622979942,0.63636363636363635,0.048690529866163068,openbci,cross_task,arithmetic_to_stroop,Arithmetic to Stroop,rf,Random forest
5,0.80000000000000004,1,True,12,0.90107088685065528,0.75,0.15107088685065528,openbci,cross_task,arithmetic_to_stroop,Arithmetic to Stroop,rf,Random forest
1,0,0.20000000000000001,False,1,0.085108814557884799,1,0.91489118544211523,openbci,cross_task,arithmetic_to_stroop,Arithmetic to Stroop,riemann_mdm,Riemannian MDM
2,0.20000000000000001,0.40000000000000002,False,0,,,,openbci,cross_task,arithmetic_to_stroop,Arithmetic to Stroop,riemann_mdm,Riemannian MDM
3,0.40000000000000002,0.60000000000000009,False,7,0.53361710199283174,0.5714285714285714,0.037811469435739653,openbci,cross_task,arithmetic_to_stroop,Arithmetic to Stroop,riemann_mdm,Riemannian MDM
4,0.60000000000000009,0.80000000000000004,False,13,0.68946670470593241,0.61538461538461542,0.074082089321316991,openbci,cross_task,arithmetic_to_stroop,Arithmetic to Stroop,riemann_mdm,Riemannian MDM
5,0.80000000000000004,1,True,18,0.93865098161337757,0.72222222222222221,0.21642875939115536,openbci,cross_task,arithmetic_to_stroop,Arithmetic to Stroop,riemann_mdm,Riemannian MDM
1,0,0.20000000000000001,False,3,0.0086601597001177335,0.66666666666666663,0.65800650696654894,openbci,cross_task,arithmetic_to_stroop,Arithmetic to Stroop,riemann_ts_logreg,Riemannian TS-LR
