dataset,setting,setting_display,comparison_family,primary_metric,reference_method,reference_display,method,method_display,n_participants,reference_mean,method_mean,mean_paired_difference,mean_paired_difference_pp,median_paired_difference,paired_difference_sd,standardized_paired_effect_dz,paired_rank_biserial,participants_method_better,participants_equal,participants_method_worse,common_language_superiority,ci95_percentile_low,ci95_percentile_high,ci95_percentile_low_pp,ci95_percentile_high_pp,wilcoxon_statistic,wilcoxon_raw_p,wilcoxon_status,wilcoxon_zero_method,wilcoxon_calculation,n_zero_differences,n_nonzero_differences,bh_adjusted_p_reporting_family,bh_adjusted_p_single_family_65_sensitivity,bh_significant_reporting_family_0_05,bh_significant_single_family_65_0_05,superiority_established
openbci,cross_task_arithmetic_to_stroop,Arithmetic to Stroop,direction_specific_26_posthoc,balanced_accuracy,always_nn,Always neural,always_fuse,Always fused,13,0.53846153846153844,0.53846153846153844,0,0,0,0.28867513459481287,0,-0.071428571428571425,3,6,4,0.46153846153846156,-0.15384615384615385,0.15384615384615385,-15.384615384615385,15.384615384615385,32.5,0.8522802934356507,approx_pratt_no_correction,pratt,"two-sided approximate, no continuity correction",6,7,1,1,False,False,False
openbci,cross_task_arithmetic_to_stroop,Arithmetic to Stroop,direction_specific_26_posthoc,balanced_accuracy,always_nn,Always neural,rf,Random forest,13,0.53846153846153844,0.61538461538461542,0.076923076923076927,7.6923076923076925,0,0.1877669040497027,0.40967324519935133,0.61818181818181817,4,8,1,0.61538461538461542,-0.019230769230769232,0.17307692307692307,-1.9230769230769231,17.307692307692307,10.5,0.16862983797313624,approx_pratt_no_correction,pratt,"two-sided approximate, no continuity correction",8,5,0.66750355240771342,0.70196121226917962,False,False,False
openbci,cross_task_arithmetic_to_stroop,Arithmetic to Stroop,direction_specific_26_posthoc,balanced_accuracy,always_nn,Always neural,extra_trees,Extra Trees,13,0.53846153846153844,0.55769230769230771,0.019230769230769232,1.9230769230769231,0,0.23851839686075715,0.080625936967016504,0.18181818181818182,3,8,2,0.53846153846153844,-0.11538461538461539,0.15384615384615385,-11.538461538461538,15.384615384615385,22.5,0.68616784985523926,approx_pratt_no_correction,pratt,"two-sided approximate, no continuity correction",8,5,0.89201820481181104,0.86860825296559163,False,False,False
openbci,cross_task_arithmetic_to_stroop,Arithmetic to Stroop,direction_specific_26_posthoc,balanced_accuracy,always_nn,Always neural,fixed_blend_010,Fixed blend (10%),13,0.53846153846153844,0.51923076923076927,-0.019230769230769232,-1.9230769230769231,0,0.069337524528153643,-0.27735009811261457,-1,0,12,1,0.46153846153846156,-0.057692307692307696,0,-5.7692307692307692,0,0,0.31731050786291415,approx_pratt_no_correction,pratt,"two-sided approximate, no continuity correction",12,1,0.68750610036964732,0.70196121226917962,False,False,False
openbci,cross_task_arithmetic_to_stroop,Arithmetic to Stroop,direction_specific_26_posthoc,balanced_accuracy,always_nn,Always neural,fixed_blend_025,Fixed blend (25%),13,0.53846153846153844,0.51923076923076927,-0.019230769230769232,-1.9230769230769231,0,0.069337524528153643,-0.27735009811261457,-1,0,12,1,0.46153846153846156,-0.057692307692307696,0,-5.7692307692307692,0,0,0.31731050786291415,approx_pratt_no_correction,pratt,"two-sided approximate, no continuity correction",12,1,0.68750610036964732,0.70196121226917962,False,False,False
openbci,cross_task_arithmetic_to_stroop,Arithmetic to Stroop,direction_specific_26_posthoc,balanced_accuracy,always_nn,Always neural,equal_blend_050,Equal blend (50%),13,0.53846153846153844,0.53846153846153844,0,0,0,0.10206207261596575,0,0,1,11,1,0.5,-0.057692307692307696,0.057692307692307696,-5.7692307692307692,5.7692307692307692,12.5,1,approx_pratt_no_correction,pratt,"two-sided approximate, no continuity correction",11,2,1,1,False,False,False
openbci,cross_task_arithmetic_to_stroop,Arithmetic to Stroop,direction_specific_26_posthoc,balanced_accuracy,always_nn,Always neural,stack_recording,OOF recording-level stacking,13,0.53846153846153844,0.5,-0.038461538461538464,-3.8461538461538463,0,0.33612612101824102,-0.11442591353812463,-0.15714285714285714,3,6,4,0.46153846153846156,-0.21153846153846154,0.13461538461538461,-21.153846153846153,13.461538461538462,29.5,0.68132232615002497,approx_pratt_no_correction,pratt,"two-sided approximate, no continuity correction",6,7,0.89201820481181104,0.86860825296559163,False,False,False
openbci,cross_task_arithmetic_to_stroop,Arithmetic to Stroop,direction_specific_26_posthoc,balanced_accuracy,always_nn,Always neural,dasf_clean,DASF,13,0.53846153846153844,0.46153846153846156,-0.076923076923076927,-7.6923076923076925,0,0.15760629298902878,-0.4880711008692506,-1,0,10,3,0.38461538461538464,-0.17307692307692307,0,-17.307692307692307,0,0,0.083799863422930373,approx_pratt_no_correction,pratt,"two-sided approximate, no continuity correction",10,3,0.66605782658837087,0.70196121226917962,False,False,False
openbci,cross_task_arithmetic_to_stroop,Arithmetic to Stroop,direction_specific_26_posthoc,balanced_accuracy,always_nn,Always neural,cbsf,CB-SF,13,0.53846153846153844,0.48076923076923078,-0.057692307692307696,-5.7692307692307692,0,0.10963225241337865,-0.52623481158421759,-1,0,10,3,0.38461538461538464,-0.11538461538461539,0,-11.538461538461538,0,0,0.083264516663550406,approx_pratt_no_correction,pratt,"two-sided approximate, no continuity correction",10,3,0.66605782658837087,0.70196121226917962,False,False,False
openbci,cross_task_arithmetic_to_stroop,Arithmetic to Stroop,direction_specific_26_posthoc,balanced_accuracy,always_nn,Always neural,riemann_ts_logreg,Riemannian TS-LR,13,0.53846153846153844,0.46153846153846156,-0.076923076923076927,-7.6923076923076925,0,0.21371260356627761,-0.35993701653267801,-0.54347826086956519,1,9,3,0.42307692307692307,-0.19230769230769232,0.019230769230769232,-19.230769230769234,1.9230769230769231,10.5,0.27886603868289828,approx_pratt_no_correction,pratt,"two-sided approximate, no continuity correction",9,4,0.68750610036964732,0.70196121226917962,False,False,False
openbci,cross_task_arithmetic_to_stroop,Arithmetic to Stroop,direction_specific_26_posthoc,balanced_accuracy,always_nn,Always neural,riemann_mdm,Riemannian MDM,13,0.53846153846153844,0.5,-0.038461538461538464,-3.8461538461538463,0,0.17218430793029862,-0.22337423731498202,-0.3611111111111111,1,10,2,0.46153846153846156,-0.13461538461538461,0.038461538461538464,-13.461538461538462,3.8461538461538463,11.5,0.5323782283120907,approx_pratt_no_correction,pratt,"two-sided approximate, no continuity correction",10,3,0.81620045931579532,0.82790893216117634,False,False,False
openbci,cross_task_arithmetic_to_stroop,Arithmetic to Stroop,direction_specific_26_posthoc,balanced_accuracy,always_nn,Always neural,eegnet,EEGNet,13,0.53846153846153844,0.48076923076923078,-0.057692307692307696,-5.7692307692307692,0,0.20801257358446096,-0.27735009811261452,-0.3888888888888889,1,10,2,0.46153846153846156,-0.17307692307692307,0.038461538461538464,-17.307692307692307,3.8461538461538463,11,0.50132338724677605,approx_pratt_no_correction,pratt,"two-sided approximate, no continuity correction",10,3,0.81620045931579532,0.82790893216117634,False,False,False
openbci,cross_task_arithmetic_to_stroop,Arithmetic to Stroop,direction_specific_26_posthoc,balanced_accuracy,always_nn,Always neural,eeg_conformer,EEG-Conformer,13,0.53846153846153844,0.44230769230769229,-0.096153846153846159,-9.6153846153846168,0,0.217429623155726,-0.44222974201164617,-0.63636363636363635,1,8,4,0.38461538461538464,-0.21153846153846154,0.019230769230769232,-21.153846153846153,1.9230769230769231,10,0.15729920705028516,approx_pratt_no_correction,pratt,"two-sided approximate, no continuity correction",8,5,0.66750355240771342,0.70196121226917962,False,False,False
