setting,setting_display,method,method_display,reference_method,n_participants,exploratory_margin,exploratory_margin_pp,margin_status,mean_paired_difference,ci95_percentile_low,ci95_percentile_high,lower_ci_above_negative_margin,participants_below_negative_margin,fraction_participants_below_negative_margin,allowed_interpretation
cross_task_arithmetic_to_stroop,Arithmetic to Stroop,dasf_clean,DASF,always_nn,13,0.025000000000000001,2.5,post-hoc sensitivity parameter; not externally validated,-0.076923076923076927,-0.17307692307692307,0,False,3,0.23076923076923078,descriptive compatibility check only; not a formal non-inferiority test or guarantee
cross_task_arithmetic_to_stroop,Arithmetic to Stroop,dasf_clean,DASF,always_nn,13,0.050000000000000003,5,post-hoc sensitivity parameter; not externally validated,-0.076923076923076927,-0.17307692307692307,0,False,3,0.23076923076923078,descriptive compatibility check only; not a formal non-inferiority test or guarantee
cross_task_arithmetic_to_stroop,Arithmetic to Stroop,dasf_clean,DASF,always_nn,13,0.074999999999999997,7.5,post-hoc sensitivity parameter; not externally validated,-0.076923076923076927,-0.17307692307692307,0,False,3,0.23076923076923078,descriptive compatibility check only; not a formal non-inferiority test or guarantee
cross_task_arithmetic_to_stroop,Arithmetic to Stroop,cbsf,CB-SF,always_nn,13,0.025000000000000001,2.5,post-hoc sensitivity parameter; not externally validated,-0.057692307692307696,-0.11538461538461539,0,False,3,0.23076923076923078,descriptive compatibility check only; not a formal non-inferiority test or guarantee
cross_task_arithmetic_to_stroop,Arithmetic to Stroop,cbsf,CB-SF,always_nn,13,0.050000000000000003,5,post-hoc sensitivity parameter; not externally validated,-0.057692307692307696,-0.11538461538461539,0,False,3,0.23076923076923078,descriptive compatibility check only; not a formal non-inferiority test or guarantee
cross_task_arithmetic_to_stroop,Arithmetic to Stroop,cbsf,CB-SF,always_nn,13,0.074999999999999997,7.5,post-hoc sensitivity parameter; not externally validated,-0.057692307692307696,-0.11538461538461539,0,False,3,0.23076923076923078,descriptive compatibility check only; not a formal non-inferiority test or guarantee
cross_task_bidirectional,Bidirectional cross-task,dasf_clean,DASF,always_nn,13,0.025000000000000001,2.5,post-hoc sensitivity parameter; not externally validated,-0.067307692307692304,-0.13461538461538461,-0.0096153846153846159,False,5,0.38461538461538464,descriptive compatibility check only; not a formal non-inferiority test or guarantee
cross_task_bidirectional,Bidirectional cross-task,dasf_clean,DASF,always_nn,13,0.050000000000000003,5,post-hoc sensitivity parameter; not externally validated,-0.067307692307692304,-0.13461538461538461,-0.0096153846153846159,False,5,0.38461538461538464,descriptive compatibility check only; not a formal non-inferiority test or guarantee
cross_task_bidirectional,Bidirectional cross-task,dasf_clean,DASF,always_nn,13,0.074999999999999997,7.5,post-hoc sensitivity parameter; not externally validated,-0.067307692307692304,-0.13461538461538461,-0.0096153846153846159,False,5,0.38461538461538464,descriptive compatibility check only; not a formal non-inferiority test or guarantee
cross_task_bidirectional,Bidirectional cross-task,cbsf,CB-SF,always_nn,13,0.025000000000000001,2.5,post-hoc sensitivity parameter; not externally validated,-0.028846153846153848,-0.086538461538461536,0.028846153846153848,False,5,0.38461538461538464,descriptive compatibility check only; not a formal non-inferiority test or guarantee
