dataset,setting,setting_display,comparison_family,subject,method,method_display,n_recordings,n_class_0,n_class_1,tn,fp,fn,tp,accuracy,balanced_accuracy,sensitivity,specificity,precision,f1,auroc,pr_auc,average_precision,log_loss,brier_score
openbci,cross_task_bidirectional,Bidirectional cross-task,complete_settings_39_posthoc,1,always_fuse,Always fused,6,2,4,0,2,1,3,0.5,0.375,0.75,0,0.59999999999999998,0.66666666666666663,0.5,0.73124999999999996,0.77083333333333326,0.68076199500368195,0.24426719825687651
openbci,cross_task_bidirectional,Bidirectional cross-task,complete_settings_39_posthoc,1,always_nn,Always neural,6,2,4,1,1,2,2,0.5,0.5,0.5,0.5,0.66666666666666663,0.5714285714285714,0.5,0.73124999999999996,0.77083333333333326,1.2103329511746799,0.39275745824207881
openbci,cross_task_bidirectional,Bidirectional cross-task,complete_settings_39_posthoc,1,cbsf,CB-SF,6,2,4,0,2,1,3,0.5,0.375,0.75,0,0.59999999999999998,0.66666666666666663,0.5,0.73124999999999996,0.77083333333333326,0.67804920880786312,0.24347041733994304
openbci,cross_task_bidirectional,Bidirectional cross-task,complete_settings_39_posthoc,1,dasf_clean,DASF,6,2,4,0,2,1,3,0.5,0.375,0.75,0,0.59999999999999998,0.66666666666666663,0.25,0.65000000000000002,0.69166666666666665,1.2390592088488497,0.40692301228230349
openbci,cross_task_bidirectional,Bidirectional cross-task,complete_settings_39_posthoc,1,eeg_conformer,EEG-Conformer,6,2,4,0,2,0,4,0.66666666666666663,0.5,1,0,0.66666666666666663,0.80000000000000004,0.625,0.76666666666666661,0.8041666666666667,0.68014157436450695,0.20761546503712405
openbci,cross_task_bidirectional,Bidirectional cross-task,complete_settings_39_posthoc,1,eegnet,EEGNet,6,2,4,1,1,0,4,0.83333333333333337,0.75,1,0.5,0.80000000000000004,0.88888888888888884,1,1,1,0.430788523515863,0.13282003059983422
openbci,cross_task_bidirectional,Bidirectional cross-task,complete_settings_39_posthoc,1,equal_blend_050,Equal blend (50%),6,2,4,0,2,1,3,0.5,0.375,0.75,0,0.59999999999999998,0.66666666666666663,0.5,0.73124999999999996,0.77083333333333326,0.67912279445096646,0.24519473747767018
openbci,cross_task_bidirectional,Bidirectional cross-task,complete_settings_39_posthoc,1,extra_trees,Extra Trees,6,2,4,1,1,0,4,0.83333333333333337,0.75,1,0.5,0.80000000000000004,0.88888888888888884,0.625,0.76666666666666661,0.8041666666666667,0.59496664598797888,0.204999126208495
openbci,cross_task_bidirectional,Bidirectional cross-task,complete_settings_39_posthoc,1,fixed_blend_010,Fixed blend (10%),6,2,4,1,1,2,2,0.5,0.5,0.5,0.5,0.66666666666666663,0.5714285714285714,0.5,0.73124999999999996,0.77083333333333326,0.71997201838898039,0.2680791394015728
openbci,cross_task_bidirectional,Bidirectional cross-task,complete_settings_39_posthoc,1,fixed_blend_025,Fixed blend (25%),6,2,4,1,1,1,3,0.66666666666666663,0.625,0.75,0.5,0.75,0.75,0.5,0.73124999999999996,0.77083333333333326,0.69202409278955956,0.2532986147853924
openbci,cross_task_bidirectional,Bidirectional cross-task,complete_settings_39_posthoc,1,rf,Random forest,6,2,4,1,1,1,3,0.66666666666666663,0.625,0.75,0.5,0.75,0.75,0.625,0.76666666666666661,0.8041666666666667,0.60014722437355272,0.20539852423739502
openbci,cross_task_bidirectional,Bidirectional cross-task,complete_settings_39_posthoc,1,riemann_mdm,Riemannian MDM,6,2,4,1,1,0,4,0.83333333333333337,0.75,1,0.5,0.80000000000000004,0.88888888888888884,0.625,0.76666666666666661,0.8041666666666667,0.50537354680744151,0.16111874310115357
openbci,cross_task_bidirectional,Bidirectional cross-task,complete_settings_39_posthoc,1,riemann_ts_logreg,Riemannian TS-LR,6,2,4,0,2,0,4,0.66666666666666663,0.5,1,0,0.66666666666666663,0.80000000000000004,0.625,0.76666666666666661,0.8041666666666667,0.90841713588724515,0.26032885998710048
openbci,cross_task_bidirectional,Bidirectional cross-task,complete_settings_39_posthoc,1,stack_recording,OOF recording-level stacking,6,2,4,1,1,1,3,0.66666666666666663,0.625,0.75,0.5,0.75,0.75,0.5,0.73124999999999996,0.77083333333333326,1.0991435593851075,0.30107173580714747
openbci,cross_task_bidirectional,Bidirectional cross-task,complete_settings_39_posthoc,2,always_fuse,Always fused,6,2,4,1,1,2,2,0.5,0.5,0.5,0.5,0.66666666666666663,0.5714285714285714,0.625,0.8354166666666667,0.85416666666666663,0.77151415839642556,0.28597406560082178
openbci,cross_task_bidirectional,Bidirectional cross-task,complete_settings_39_posthoc,2,always_nn,Always neural,6,2,4,0,2,1,3,0.5,0.375,0.75,0,0.59999999999999998,0.66666666666666663,0.625,0.8354166666666667,0.85416666666666663,1.072347795990229,0.37008929083229497
openbci,cross_task_bidirectional,Bidirectional cross-task,complete_settings_39_posthoc,2,cbsf,CB-SF,6,2,4,1,1,2,2,0.5,0.5,0.5,0.5,0.66666666666666663,0.5714285714285714,0.625,0.8354166666666667,0.85416666666666663,0.74811984178178559,0.27461487924173833
openbci,cross_task_bidirectional,Bidirectional cross-task,complete_settings_39_posthoc,2,dasf_clean,DASF,6,2,4,0,2,1,3,0.5,0.375,0.75,0,0.59999999999999998,0.66666666666666663,0.5,0.73124999999999996,0.77083333333333326,0.99693398635328467,0.3485835228437511
openbci,cross_task_bidirectional,Bidirectional cross-task,complete_settings_39_posthoc,2,eeg_conformer,EEG-Conformer,6,2,4,2,0,2,2,0.66666666666666663,0.75,0.5,1,1,0.66666666666666663,0.75,0.87083333333333335,0.88749999999999996,0.80572864124355625,0.28832103833367584
openbci,cross_task_bidirectional,Bidirectional cross-task,complete_settings_39_posthoc,2,eegnet,EEGNet,6,2,4,0,2,0,4,0.66666666666666663,0.5,1,0,0.66666666666666663,0.80000000000000004,0.25,0.50416666666666665,0.60833333333333328,1.8146221187299025,0.31342284172516727
openbci,cross_task_bidirectional,Bidirectional cross-task,complete_settings_39_posthoc,2,equal_blend_050,Equal blend (50%),6,2,4,1,1,2,2,0.5,0.5,0.5,0.5,0.66666666666666663,0.5714285714285714,0.625,0.8354166666666667,0.85416666666666663,0.73551044217652084,0.26925586905662019
openbci,cross_task_bidirectional,Bidirectional cross-task,complete_settings_39_posthoc,2,extra_trees,Extra Trees,6,2,4,2,0,3,1,0.5,0.625,0.25,1,1,0.40000000000000002,0.875,0.94374999999999998,0.94999999999999996,0.67874090238943052,0.24297647243782561
openbci,cross_task_bidirectional,Bidirectional cross-task,complete_settings_39_posthoc,2,fixed_blend_010,Fixed blend (10%),6,2,4,0,2,1,3,0.5,0.375,0.75,0,0.59999999999999998,0.66666666666666663,0.625,0.8354166666666667,0.85416666666666663,0.78636252536296991,0.29134959163731783
openbci,cross_task_bidirectional,Bidirectional cross-task,complete_settings_39_posthoc,2,fixed_blend_025,Fixed blend (25%),6,2,4,1,1,2,2,0.5,0.5,0.5,0.5,0.66666666666666663,0.5714285714285714,0.625,0.8354166666666667,0.85416666666666663,0.74699105315068426,0.27513269824707193
openbci,cross_task_bidirectional,Bidirectional cross-task,complete_settings_39_posthoc,2,rf,Random forest,6,2,4,2,0,3,1,0.5,0.625,0.25,1,1,0.40000000000000002,0.625,0.76666666666666661,0.8041666666666667,0.87542377613836297,0.32951422729942875
openbci,cross_task_bidirectional,Bidirectional cross-task,complete_settings_39_posthoc,2,riemann_mdm,Riemannian MDM,6,2,4,0,2,0,4,0.66666666666666663,0.5,1,0,0.66666666666666663,0.80000000000000004,0.625,0.8354166666666667,0.85416666666666663,0.66627347169028273,0.23663004257999501
openbci,cross_task_bidirectional,Bidirectional cross-task,complete_settings_39_posthoc,2,riemann_ts_logreg,Riemannian TS-LR,6,2,4,1,1,2,2,0.5,0.5,0.5,0.5,0.66666666666666663,0.5714285714285714,0.625,0.76666666666666661,0.8041666666666667,1.7461922889888515,0.34145031147521338
openbci,cross_task_bidirectional,Bidirectional cross-task,complete_settings_39_posthoc,2,stack_recording,OOF recording-level stacking,6,2,4,1,1,2,2,0.5,0.5,0.5,0.5,0.66666666666666663,0.5714285714285714,0.5,0.73124999999999996,0.77083333333333326,1.3959104450210085,0.40774385552735043
openbci,cross_task_bidirectional,Bidirectional cross-task,complete_settings_39_posthoc,3,always_fuse,Always fused,6,2,4,1,1,2,2,0.5,0.5,0.5,0.5,0.66666666666666663,0.5714285714285714,0.625,0.76666666666666661,0.8041666666666667,1.1470718785216933,0.28492044047513893
openbci,cross_task_bidirectional,Bidirectional cross-task,complete_settings_39_posthoc,3,always_nn,Always neural,6,2,4,1,1,0,4,0.83333333333333337,0.75,1,0.5,0.80000000000000004,0.88888888888888884,0.625,0.76666666666666661,0.8041666666666667,4.2385850663808329,0.21957766585907137
openbci,cross_task_bidirectional,Bidirectional cross-task,complete_settings_39_posthoc,3,cbsf,CB-SF,6,2,4,1,1,1,3,0.66666666666666663,0.625,0.75,0.5,0.75,0.75,0.625,0.76666666666666661,0.8041666666666667,1.1777181607220617,0.27257392408305919
openbci,cross_task_bidirectional,Bidirectional cross-task,complete_settings_39_posthoc,3,dasf_clean,DASF,6,2,4,1,1,2,2,0.5,0.5,0.5,0.5,0.66666666666666663,0.5714285714285714,0.625,0.76666666666666661,0.8041666666666667,1.1470718785216933,0.28492044047513893
