dataset,setting,setting_display,comparison_family,method,method_display,metric,higher_is_better,n_participants,participant_macro_mean,participant_standard_deviation,participant_median,ci95_percentile_low,ci95_percentile_high,ci95_width
openbci,cross_task_arithmetic_to_stroop,Arithmetic to Stroop,direction_specific_26_posthoc,always_fuse,Always fused,accuracy,True,13,0.58974358974358965,0.24167035069399473,0.66666666666666663,0.46153846153846145,0.71794871794871795,0.2564102564102565
openbci,cross_task_arithmetic_to_stroop,Arithmetic to Stroop,direction_specific_26_posthoc,always_fuse,Always fused,balanced_accuracy,True,13,0.53846153846153844,0.24677405839641228,0.5,0.42307692307692307,0.67307692307692313,0.25000000000000006
openbci,cross_task_arithmetic_to_stroop,Arithmetic to Stroop,direction_specific_26_posthoc,always_fuse,Always fused,sensitivity,True,13,0.69230769230769229,0.38397382389415224,1,0.5,0.88461538461538458,0.38461538461538458
openbci,cross_task_arithmetic_to_stroop,Arithmetic to Stroop,direction_specific_26_posthoc,always_fuse,Always fused,specificity,True,13,0.38461538461538464,0.50636968354183332,0,0.15384615384615385,0.61538461538461542,0.46153846153846156
openbci,cross_task_arithmetic_to_stroop,Arithmetic to Stroop,direction_specific_26_posthoc,always_fuse,Always fused,precision,True,11,0.71212121212121204,0.19847906537954926,0.66666666666666663,0.60606060606060608,0.83333333333333326,0.22727272727272718
openbci,cross_task_arithmetic_to_stroop,Arithmetic to Stroop,direction_specific_26_posthoc,always_fuse,Always fused,f1,True,13,0.6282051282051283,0.32456413902629527,0.80000000000000004,0.44615384615384612,0.7846153846153846,0.33846153846153848
openbci,cross_task_arithmetic_to_stroop,Arithmetic to Stroop,direction_specific_26_posthoc,always_fuse,Always fused,auroc,True,13,0.61538461538461542,0.46340434799814922,1,0.38461538461538464,0.84615384615384615,0.46153846153846151
openbci,cross_task_arithmetic_to_stroop,Arithmetic to Stroop,direction_specific_26_posthoc,always_fuse,Always fused,pr_auc,True,13,0.78846153846153832,0.26866737449801775,1,0.64102564102564108,0.92307692307692291,0.28205128205128183
openbci,cross_task_arithmetic_to_stroop,Arithmetic to Stroop,direction_specific_26_posthoc,always_fuse,Always fused,average_precision,True,13,0.84615384615384626,0.19198691194707615,1,0.74358974358974372,0.94230769230769229,0.19871794871794857
openbci,cross_task_arithmetic_to_stroop,Arithmetic to Stroop,direction_specific_26_posthoc,always_fuse,Always fused,log_loss,False,13,0.83648790627542147,0.47261720624733694,0.68169536748353499,0.67594070990287336,1.1133394300217079,0.43739872011883452
openbci,cross_task_arithmetic_to_stroop,Arithmetic to Stroop,direction_specific_26_posthoc,always_fuse,Always fused,brier_score,False,13,0.26260023231664315,0.045221619375245478,0.24427576261658046,0.24137031379214297,0.28778362592248841,0.046413312130345441
openbci,cross_task_arithmetic_to_stroop,Arithmetic to Stroop,direction_specific_26_posthoc,always_nn,Always neural,accuracy,True,13,0.64102564102564108,0.16451603893094152,0.66666666666666663,0.5641025641025641,0.71794871794871795,0.15384615384615385
openbci,cross_task_arithmetic_to_stroop,Arithmetic to Stroop,direction_specific_26_posthoc,always_nn,Always neural,balanced_accuracy,True,13,0.53846153846153844,0.17218430793029862,0.5,0.46153846153846156,0.63461538461538458,0.17307692307692302
openbci,cross_task_arithmetic_to_stroop,Arithmetic to Stroop,direction_specific_26_posthoc,always_nn,Always neural,sensitivity,True,13,0.84615384615384615,0.31521258597805757,1,0.65384615384615385,1,0.34615384615384615
openbci,cross_task_arithmetic_to_stroop,Arithmetic to Stroop,direction_specific_26_posthoc,always_nn,Always neural,specificity,True,13,0.23076923076923078,0.4385290096535146,0,0,0.46153846153846156,0.46153846153846156
openbci,cross_task_arithmetic_to_stroop,Arithmetic to Stroop,direction_specific_26_posthoc,always_nn,Always neural,precision,True,12,0.70833333333333337,0.14433756729740643,0.66666666666666663,0.63888888888888895,0.80555555555555536,0.16666666666666641
openbci,cross_task_arithmetic_to_stroop,Arithmetic to Stroop,direction_specific_26_posthoc,always_nn,Always neural,f1,True,13,0.72051282051282051,0.24249416241101313,0.80000000000000004,0.58205128205128198,0.82051282051282071,0.23846153846153872
openbci,cross_task_arithmetic_to_stroop,Arithmetic to Stroop,direction_specific_26_posthoc,always_nn,Always neural,auroc,True,13,0.61538461538461542,0.41602514716892186,0.5,0.38461538461538464,0.80769230769230771,0.42307692307692307
openbci,cross_task_arithmetic_to_stroop,Arithmetic to Stroop,direction_specific_26_posthoc,always_nn,Always neural,pr_auc,True,13,0.80128205128205121,0.23823828120702736,0.79166666666666663,0.66666666666666674,0.91987179487179482,0.25320512820512808
openbci,cross_task_arithmetic_to_stroop,Arithmetic to Stroop,direction_specific_26_posthoc,always_nn,Always neural,average_precision,True,13,0.85256410256410264,0.17062604684879704,0.83333333333333326,0.7564102564102565,0.93589743589743601,0.17948717948717952
openbci,cross_task_arithmetic_to_stroop,Arithmetic to Stroop,direction_specific_26_posthoc,always_nn,Always neural,log_loss,False,13,1.268879009183338,0.91298190352102715,1.0642637774116117,0.84796303849084109,1.7924332028528993,0.94447016436205822
openbci,cross_task_arithmetic_to_stroop,Arithmetic to Stroop,direction_specific_26_posthoc,always_nn,Always neural,brier_score,False,13,0.31047286287844478,0.13865122035956776,0.30536831981022189,0.24133071724402405,0.38454743594662538,0.14321671870260133
openbci,cross_task_arithmetic_to_stroop,Arithmetic to Stroop,direction_specific_26_posthoc,cbsf,CB-SF,accuracy,True,13,0.58974358974358976,0.14617633655117152,0.66666666666666663,0.51282051282051277,0.66666666666666663,0.15384615384615385
openbci,cross_task_arithmetic_to_stroop,Arithmetic to Stroop,direction_specific_26_posthoc,cbsf,CB-SF,balanced_accuracy,True,13,0.48076923076923078,0.12338702919820613,0.5,0.42307692307692307,0.53846153846153844,0.11538461538461536
openbci,cross_task_arithmetic_to_stroop,Arithmetic to Stroop,direction_specific_26_posthoc,cbsf,CB-SF,sensitivity,True,13,0.80769230769230771,0.32522181779399545,1,0.61538461538461542,0.96153846153846156,0.34615384615384615
openbci,cross_task_arithmetic_to_stroop,Arithmetic to Stroop,direction_specific_26_posthoc,cbsf,CB-SF,specificity,True,13,0.15384615384615385,0.37553380809940534,0,0,0.38461538461538464,0.38461538461538464
openbci,cross_task_arithmetic_to_stroop,Arithmetic to Stroop,direction_specific_26_posthoc,cbsf,CB-SF,precision,True,12,0.66666666666666663,0.12309149097933272,0.66666666666666663,0.61111111111111116,0.73611111111111116,0.125
openbci,cross_task_arithmetic_to_stroop,Arithmetic to Stroop,direction_specific_26_posthoc,cbsf,CB-SF,f1,True,13,0.68205128205128207,0.23397348085539471,0.80000000000000004,0.5461538461538461,0.7794871794871796,0.2333333333333335
openbci,cross_task_arithmetic_to_stroop,Arithmetic to Stroop,direction_specific_26_posthoc,cbsf,CB-SF,auroc,True,13,0.5,0.40824829046386302,0.5,0.26923076923076922,0.69230769230769229,0.42307692307692307
openbci,cross_task_arithmetic_to_stroop,Arithmetic to Stroop,direction_specific_26_posthoc,cbsf,CB-SF,pr_auc,True,13,0.7403846153846152,0.2418544805117113,0.79166666666666663,0.60897435897435903,0.86217948717948711,0.25320512820512808
openbci,cross_task_arithmetic_to_stroop,Arithmetic to Stroop,direction_specific_26_posthoc,cbsf,CB-SF,average_precision,True,13,0.80769230769230782,0.17140694816821717,0.83333333333333326,0.71153846153846156,0.89743589743589736,0.18589743589743579
openbci,cross_task_arithmetic_to_stroop,Arithmetic to Stroop,direction_specific_26_posthoc,cbsf,CB-SF,log_loss,False,13,0.81535206616045408,0.49839548909935322,0.68026068883778468,0.65585703139874429,1.0993519492648429,0.44349491786609863
openbci,cross_task_arithmetic_to_stroop,Arithmetic to Stroop,direction_specific_26_posthoc,cbsf,CB-SF,brier_score,False,13,0.25013429382460262,0.035627845342046487,0.24368692915540482,0.23266258318759664,0.26987060458964079,0.037208021402044156
openbci,cross_task_arithmetic_to_stroop,Arithmetic to Stroop,direction_specific_26_posthoc,dasf_clean,DASF,accuracy,True,13,0.51282051282051266,0.1729581738875903,0.66666666666666663,0.43589743589743579,0.58974358974358987,0.15384615384615408
openbci,cross_task_arithmetic_to_stroop,Arithmetic to Stroop,direction_specific_26_posthoc,dasf_clean,DASF,balanced_accuracy,True,13,0.46153846153846156,0.13867504905630729,0.5,0.38461538461538464,0.53846153846153844,0.1538461538461538
openbci,cross_task_arithmetic_to_stroop,Arithmetic to Stroop,direction_specific_26_posthoc,dasf_clean,DASF,sensitivity,True,13,0.61538461538461542,0.41602514716892186,0.5,0.38461538461538464,0.80769230769230771,0.42307692307692307
openbci,cross_task_arithmetic_to_stroop,Arithmetic to Stroop,direction_specific_26_posthoc,dasf_clean,DASF,specificity,True,13,0.30769230769230771,0.48038446141526137,0,0.076923076923076927,0.53846153846153844,0.46153846153846151
openbci,cross_task_arithmetic_to_stroop,Arithmetic to Stroop,direction_specific_26_posthoc,dasf_clean,DASF,precision,True,10,0.65000000000000002,0.14593250596181886,0.66666666666666663,0.56666666666666665,0.75,0.18333333333333335
openbci,cross_task_arithmetic_to_stroop,Arithmetic to Stroop,direction_specific_26_posthoc,dasf_clean,DASF,f1,True,13,0.53589743589743588,0.32927010708353627,0.66666666666666663,0.35384615384615381,0.6974358974358974,0.34358974358974359
openbci,cross_task_arithmetic_to_stroop,Arithmetic to Stroop,direction_specific_26_posthoc,dasf_clean,DASF,auroc,True,13,0.46153846153846156,0.47703679372151431,0.5,0.23076923076923078,0.69230769230769229,0.46153846153846151
openbci,cross_task_arithmetic_to_stroop,Arithmetic to Stroop,direction_specific_26_posthoc,dasf_clean,DASF,pr_auc,True,13,0.69871794871794868,0.28113621471640976,0.79166666666666663,0.55128205128205132,0.84935897435897423,0.29807692307692291
openbci,cross_task_arithmetic_to_stroop,Arithmetic to Stroop,direction_specific_26_posthoc,dasf_clean,DASF,average_precision,True,13,0.78205128205128216,0.19993766834959151,0.83333333333333326,0.6794871794871794,0.88461538461538458,0.20512820512820518
openbci,cross_task_arithmetic_to_stroop,Arithmetic to Stroop,direction_specific_26_posthoc,dasf_clean,DASF,log_loss,False,13,1.1507201021424012,0.58529627313104537,0.9473132301073669,0.86449239284151269,1.4724114898805873,0.60791909703907465
openbci,cross_task_arithmetic_to_stroop,Arithmetic to Stroop,direction_specific_26_posthoc,dasf_clean,DASF,brier_score,False,13,0.32841181354918558,0.12016408620675971,0.29908602615751728,0.27029706274660492,0.3952853959489892,0.12498833320238428
openbci,cross_task_arithmetic_to_stroop,Arithmetic to Stroop,direction_specific_26_posthoc,eeg_conformer,EEG-Conformer,accuracy,True,13,0.53846153846153855,0.25598254926276814,0.66666666666666663,0.38461538461538464,0.66666666666666663,0.28205128205128199
openbci,cross_task_arithmetic_to_stroop,Arithmetic to Stroop,direction_specific_26_posthoc,eeg_conformer,EEG-Conformer,balanced_accuracy,True,13,0.44230769230769229,0.20801257358446093,0.5,0.32692307692307693,0.53846153846153844,0.21153846153846151
openbci,cross_task_arithmetic_to_stroop,Arithmetic to Stroop,direction_specific_26_posthoc,eeg_conformer,EEG-Conformer,sensitivity,True,13,0.73076923076923073,0.4385290096535146,1,0.5,0.92307692307692313,0.42307692307692313
openbci,cross_task_arithmetic_to_stroop,Arithmetic to Stroop,direction_specific_26_posthoc,eeg_conformer,EEG-Conformer,specificity,True,13,0.15384615384615385,0.37553380809940534,0,0,0.38461538461538464,0.38461538461538464
openbci,cross_task_arithmetic_to_stroop,Arithmetic to Stroop,direction_specific_26_posthoc,eeg_conformer,EEG-Conformer,precision,True,12,0.58333333333333337,0.28867513459481292,0.66666666666666663,0.41666666666666669,0.72222222222222221,0.30555555555555552
