dataset,protocol,subject,direction,recording_id,method,seed,true_label,p0,p1,pred_label,correct,n_windows,method_display,diagnostic_only_not_statistical_replicate
openbci,cross_task,1,arithmetic_to_stroop,stroop:s01:r1,always_fuse,1335,0,0.50554105046984898,0.49445894953015107,0,1,148,Always fused,True
openbci,cross_task,1,arithmetic_to_stroop,stroop:s01:r1,always_fuse,1388,0,0.50141021616148951,0.49858978383851049,0,1,148,Always fused,True
openbci,cross_task,1,arithmetic_to_stroop,stroop:s01:r1,always_fuse,1441,0,0.46208824193089293,0.53791175806910707,1,0,148,Always fused,True
openbci,cross_task,1,arithmetic_to_stroop,stroop:s01:r1,always_fuse,1494,0,0.42925338495357918,0.57074661504642077,1,0,148,Always fused,True
openbci,cross_task,1,arithmetic_to_stroop,stroop:s01:r1,always_fuse,1547,0,0.47072837167372644,0.5292716283262735,1,0,148,Always fused,True
openbci,cross_task,1,arithmetic_to_stroop,stroop:s01:r1,always_nn,1335,0,0.3918246489854979,0.60817535101450204,1,0,148,Always neural,True
openbci,cross_task,1,arithmetic_to_stroop,stroop:s01:r1,always_nn,1388,0,0.067498387029980178,0.93250161297001977,1,0,148,Always neural,True
openbci,cross_task,1,arithmetic_to_stroop,stroop:s01:r1,always_nn,1441,0,0.096138281671176648,0.90386171832882334,1,0,148,Always neural,True
openbci,cross_task,1,arithmetic_to_stroop,stroop:s01:r1,always_nn,1494,0,0.0098111378257800478,0.99018886217421997,1,0,148,Always neural,True
openbci,cross_task,1,arithmetic_to_stroop,stroop:s01:r1,always_nn,1547,0,0.50996342323563137,0.49003657676436857,0,1,148,Always neural,True
openbci,cross_task,1,arithmetic_to_stroop,stroop:s01:r1,extra_trees,1335,0,0.32605302690715549,0.67394697309284446,1,0,148,Extra Trees,True
openbci,cross_task,1,arithmetic_to_stroop,stroop:s01:r1,extra_trees,1388,0,0.32087323977919507,0.67912676022080498,1,0,148,Extra Trees,True
openbci,cross_task,1,arithmetic_to_stroop,stroop:s01:r1,extra_trees,1441,0,0.31532077809003378,0.68467922190996622,1,0,148,Extra Trees,True
openbci,cross_task,1,arithmetic_to_stroop,stroop:s01:r1,extra_trees,1494,0,0.32310820347724384,0.67689179652275611,1,0,148,Extra Trees,True
