setting,setting_display,method,method_display,metric,seeds,seed_mean,seed_standard_deviation,seed_minimum,seed_maximum,seed_range,interpretation
cross_task_arithmetic_to_stroop,Arithmetic to Stroop,always_fuse,Always fused,participant_macro_accuracy,5,0.5641025641025641,0.070220840705790599,0.51282051282051266,0.64102564102564108,0.12820512820512842,model-randomness diagnostic only; seeds are ensemble members
cross_task_arithmetic_to_stroop,Arithmetic to Stroop,always_fuse,Always fused,participant_macro_balanced_accuracy,5,0.54615384615384621,0.063198756635211489,0.5,0.61538461538461542,0.11538461538461542,model-randomness diagnostic only; seeds are ensemble members
cross_task_arithmetic_to_stroop,Arithmetic to Stroop,always_nn,Always neural,participant_macro_accuracy,5,0.62564102564102564,0.029235267310234292,0.58974358974358976,0.66666666666666663,0.076923076923076872,model-randomness diagnostic only; seeds are ensemble members
cross_task_arithmetic_to_stroop,Arithmetic to Stroop,always_nn,Always neural,participant_macro_balanced_accuracy,5,0.52692307692307683,0.029164905554044433,0.5,0.55769230769230771,0.057692307692307709,model-randomness diagnostic only; seeds are ensemble members
cross_task_arithmetic_to_stroop,Arithmetic to Stroop,eeg_conformer,EEG-Conformer,participant_macro_accuracy,5,0.60512820512820509,0.04290564238636288,0.53846153846153844,0.64102564102564108,0.10256410256410264,model-randomness diagnostic only; seeds are ensemble members
cross_task_arithmetic_to_stroop,Arithmetic to Stroop,eeg_conformer,EEG-Conformer,participant_macro_balanced_accuracy,5,0.52307692307692311,0.028523840334983314,0.48076923076923078,0.55769230769230771,0.076923076923076927,model-randomness diagnostic only; seeds are ensemble members
cross_task_arithmetic_to_stroop,Arithmetic to Stroop,eegnet,EEGNet,participant_macro_accuracy,5,0.58461538461538454,0.038031787113311122,0.53846153846153844,0.64102564102564108,0.10256410256410264,model-randomness diagnostic only; seeds are ensemble members
cross_task_arithmetic_to_stroop,Arithmetic to Stroop,eegnet,EEGNet,participant_macro_balanced_accuracy,5,0.46923076923076923,0.039877771833322556,0.42307692307692307,0.51923076923076927,0.096153846153846201,model-randomness diagnostic only; seeds are ensemble members
cross_task_arithmetic_to_stroop,Arithmetic to Stroop,extra_trees,Extra Trees,participant_macro_accuracy,5,0.6512820512820513,0.014044168141158055,0.64102564102564108,0.66666666666666663,0.02564102564102555,model-randomness diagnostic only; seeds are ensemble members
cross_task_arithmetic_to_stroop,Arithmetic to Stroop,extra_trees,Extra Trees,participant_macro_balanced_accuracy,5,0.56538461538461537,0.010533126105868542,0.55769230769230771,0.57692307692307687,0.019230769230769162,model-randomness diagnostic only; seeds are ensemble members
cross_task_arithmetic_to_stroop,Arithmetic to Stroop,rf,Random forest,participant_macro_accuracy,5,0.66666666666666674,0,0.66666666666666674,0.66666666666666674,0,model-randomness diagnostic only; seeds are ensemble members
cross_task_arithmetic_to_stroop,Arithmetic to Stroop,rf,Random forest,participant_macro_balanced_accuracy,5,0.61538461538461542,0,0.61538461538461542,0.61538461538461542,0,model-randomness diagnostic only; seeds are ensemble members
cross_task_arithmetic_to_stroop,Arithmetic to Stroop,riemann_mdm,Riemannian MDM,participant_macro_accuracy,5,0.64102564102564108,0,0.64102564102564108,0.64102564102564108,0,model-randomness diagnostic only; seeds are ensemble members
cross_task_arithmetic_to_stroop,Arithmetic to Stroop,riemann_mdm,Riemannian MDM,participant_macro_balanced_accuracy,5,0.5,0,0.5,0.5,0,model-randomness diagnostic only; seeds are ensemble members
cross_task_arithmetic_to_stroop,Arithmetic to Stroop,riemann_ts_logreg,Riemannian TS-LR,participant_macro_accuracy,5,0.58974358974358987,0,0.58974358974358987,0.58974358974358987,0,model-randomness diagnostic only; seeds are ensemble members
cross_task_arithmetic_to_stroop,Arithmetic to Stroop,riemann_ts_logreg,Riemannian TS-LR,participant_macro_balanced_accuracy,5,0.46153846153846156,0,0.46153846153846156,0.46153846153846156,0,model-randomness diagnostic only; seeds are ensemble members
cross_task_bidirectional,Bidirectional cross-task,always_fuse,Always fused,participant_macro_accuracy,5,0.5282051282051281,0.037815080009622123,0.47435897435897434,0.5641025641025641,0.089743589743589758,model-randomness diagnostic only; seeds are ensemble members
cross_task_bidirectional,Bidirectional cross-task,always_fuse,Always fused,participant_macro_balanced_accuracy,5,0.51923076923076916,0.028033422571371643,0.48076923076923078,0.55769230769230771,0.076923076923076927,model-randomness diagnostic only; seeds are ensemble members
cross_task_bidirectional,Bidirectional cross-task,always_nn,Always neural,participant_macro_accuracy,5,0.58974358974358976,0.015701857325533204,0.57692307692307687,0.61538461538461542,0.038461538461538547,model-randomness diagnostic only; seeds are ensemble members
cross_task_bidirectional,Bidirectional cross-task,always_nn,Always neural,participant_macro_balanced_accuracy,5,0.51923076923076916,0.017988737436413178,0.5,0.53846153846153844,0.038461538461538436,model-randomness diagnostic only; seeds are ensemble members
cross_task_bidirectional,Bidirectional cross-task,eeg_conformer,EEG-Conformer,participant_macro_accuracy,5,0.58461538461538454,0.044963276709615869,0.53846153846153844,0.65384615384615385,0.11538461538461542,model-randomness diagnostic only; seeds are ensemble members
