setting,setting_display,method,method_display,seed,n_participants,n_recordings,participant_macro_accuracy,participant_macro_balanced_accuracy,pooled_recording_accuracy,pooled_recording_balanced_accuracy,diagnostic_only_not_statistical_replicate
cross_task_bidirectional,Bidirectional cross-task,always_fuse,Always fused,1335,13,78,0.5641025641025641,0.52884615384615385,0.5641025641025641,0.52884615384615385,True
cross_task_bidirectional,Bidirectional cross-task,always_fuse,Always fused,1388,13,78,0.51282051282051277,0.50961538461538458,0.51282051282051277,0.50961538461538458,True
cross_task_bidirectional,Bidirectional cross-task,always_fuse,Always fused,1441,13,78,0.47435897435897434,0.48076923076923078,0.47435897435897434,0.48076923076923078,True
cross_task_bidirectional,Bidirectional cross-task,always_fuse,Always fused,1494,13,78,0.52564102564102566,0.51923076923076927,0.52564102564102566,0.51923076923076916,True
cross_task_bidirectional,Bidirectional cross-task,always_fuse,Always fused,1547,13,78,0.5641025641025641,0.55769230769230771,0.5641025641025641,0.55769230769230771,True
cross_task_bidirectional,Bidirectional cross-task,always_nn,Always neural,1335,13,78,0.61538461538461542,0.53846153846153844,0.61538461538461542,0.53846153846153855,True
cross_task_bidirectional,Bidirectional cross-task,always_nn,Always neural,1388,13,78,0.57692307692307698,0.50961538461538458,0.57692307692307687,0.50961538461538458,True
cross_task_bidirectional,Bidirectional cross-task,always_nn,Always neural,1441,13,78,0.58974358974358965,0.50961538461538458,0.58974358974358976,0.50961538461538458,True
cross_task_bidirectional,Bidirectional cross-task,always_nn,Always neural,1494,13,78,0.57692307692307687,0.5,0.57692307692307687,0.5,True
cross_task_bidirectional,Bidirectional cross-task,always_nn,Always neural,1547,13,78,0.58974358974358976,0.53846153846153844,0.58974358974358976,0.53846153846153844,True
cross_task_bidirectional,Bidirectional cross-task,eeg_conformer,EEG-Conformer,1335,13,78,0.58974358974358965,0.52884615384615385,0.58974358974358976,0.52884615384615385,True
cross_task_bidirectional,Bidirectional cross-task,eeg_conformer,EEG-Conformer,1388,13,78,0.55128205128205121,0.50961538461538458,0.55128205128205132,0.50961538461538458,True
cross_task_bidirectional,Bidirectional cross-task,eeg_conformer,EEG-Conformer,1441,13,78,0.53846153846153844,0.5,0.53846153846153844,0.5,True
cross_task_bidirectional,Bidirectional cross-task,eeg_conformer,EEG-Conformer,1494,13,78,0.65384615384615385,0.55769230769230771,0.65384615384615385,0.55769230769230771,True
cross_task_bidirectional,Bidirectional cross-task,eeg_conformer,EEG-Conformer,1547,13,78,0.58974358974358987,0.50961538461538458,0.58974358974358976,0.50961538461538458,True
cross_task_bidirectional,Bidirectional cross-task,eegnet,EEGNet,1335,13,78,0.5641025641025641,0.47115384615384615,0.5641025641025641,0.47115384615384615,True
cross_task_bidirectional,Bidirectional cross-task,eegnet,EEGNet,1388,13,78,0.5641025641025641,0.46153846153846156,0.5641025641025641,0.46153846153846156,True
cross_task_bidirectional,Bidirectional cross-task,eegnet,EEGNet,1441,13,78,0.53846153846153844,0.46153846153846156,0.53846153846153844,0.46153846153846156,True
cross_task_bidirectional,Bidirectional cross-task,eegnet,EEGNet,1494,13,78,0.55128205128205121,0.48076923076923078,0.55128205128205132,0.48076923076923073,True
cross_task_bidirectional,Bidirectional cross-task,eegnet,EEGNet,1547,13,78,0.60256410256410264,0.52884615384615385,0.60256410256410253,0.52884615384615385,True
cross_task_bidirectional,Bidirectional cross-task,extra_trees,Extra Trees,1335,13,78,0.64102564102564097,0.58653846153846156,0.64102564102564108,0.58653846153846156,True
cross_task_bidirectional,Bidirectional cross-task,extra_trees,Extra Trees,1388,13,78,0.62820512820512819,0.57692307692307687,0.62820512820512819,0.57692307692307687,True
cross_task_bidirectional,Bidirectional cross-task,extra_trees,Extra Trees,1441,13,78,0.62820512820512819,0.57692307692307687,0.62820512820512819,0.57692307692307687,True
cross_task_bidirectional,Bidirectional cross-task,extra_trees,Extra Trees,1494,13,78,0.62820512820512819,0.57692307692307687,0.62820512820512819,0.57692307692307687,True
cross_task_bidirectional,Bidirectional cross-task,extra_trees,Extra Trees,1547,13,78,0.64102564102564097,0.58653846153846156,0.64102564102564108,0.58653846153846156,True
cross_task_bidirectional,Bidirectional cross-task,rf,Random forest,1335,13,78,0.58974358974358965,0.56730769230769229,0.58974358974358976,0.56730769230769229,True
cross_task_bidirectional,Bidirectional cross-task,rf,Random forest,1388,13,78,0.58974358974358965,0.56730769230769229,0.58974358974358976,0.56730769230769229,True
cross_task_bidirectional,Bidirectional cross-task,rf,Random forest,1441,13,78,0.60256410256410253,0.57692307692307687,0.60256410256410253,0.57692307692307687,True
cross_task_bidirectional,Bidirectional cross-task,rf,Random forest,1494,13,78,0.58974358974358965,0.56730769230769229,0.58974358974358976,0.56730769230769229,True
cross_task_bidirectional,Bidirectional cross-task,rf,Random forest,1547,13,78,0.58974358974358965,0.56730769230769229,0.58974358974358976,0.56730769230769229,True
cross_task_bidirectional,Bidirectional cross-task,riemann_mdm,Riemannian MDM,1335,13,78,0.64102564102564108,0.53846153846153844,0.64102564102564108,0.53846153846153844,True
cross_task_bidirectional,Bidirectional cross-task,riemann_mdm,Riemannian MDM,1388,13,78,0.64102564102564108,0.53846153846153844,0.64102564102564108,0.53846153846153844,True
cross_task_bidirectional,Bidirectional cross-task,riemann_mdm,Riemannian MDM,1441,13,78,0.64102564102564108,0.53846153846153844,0.64102564102564108,0.53846153846153844,True
cross_task_bidirectional,Bidirectional cross-task,riemann_mdm,Riemannian MDM,1494,13,78,0.64102564102564108,0.53846153846153844,0.64102564102564108,0.53846153846153844,True
cross_task_bidirectional,Bidirectional cross-task,riemann_mdm,Riemannian MDM,1547,13,78,0.64102564102564108,0.53846153846153844,0.64102564102564108,0.53846153846153844,True
cross_task_bidirectional,Bidirectional cross-task,riemann_ts_logreg,Riemannian TS-LR,1335,13,78,0.52564102564102566,0.47115384615384615,0.52564102564102566,0.47115384615384615,True
cross_task_bidirectional,Bidirectional cross-task,riemann_ts_logreg,Riemannian TS-LR,1388,13,78,0.52564102564102566,0.47115384615384615,0.52564102564102566,0.47115384615384615,True
cross_task_bidirectional,Bidirectional cross-task,riemann_ts_logreg,Riemannian TS-LR,1441,13,78,0.52564102564102566,0.47115384615384615,0.52564102564102566,0.47115384615384615,True
