model,protocol,direction,cells,median_selected_epoch_range_across_seeds,mean_selected_epoch_range_across_seeds,maximum_selected_epoch_range_across_seeds,median_within_cell_epoch_sd,maximum_inner_fold_epoch_range_mean
EEG-Conformer,cross_task,arithmetic_to_stroop,13,7,8.4615384615384617,18,3.082207001484488,17.600000000000001
EEG-Conformer,cross_task,stroop_to_arithmetic,13,10,12.307692307692308,34,4.6043457732885349,48.600000000000001
EEG-Conformer,loso,arithmetic,15,5,4.666666666666667,7,1.8165902124584949,44.200000000000003
EEG-Conformer,loso,stroop,13,4,4.5384615384615383,9,1.8708286933869707,35.799999999999997
EEGNet,cross_task,arithmetic_to_stroop,13,13,16.846153846153847,40,5.7879184513951127,50
EEGNet,cross_task,stroop_to_arithmetic,13,26,23.615384615384617,38,10.61602562167217,46.399999999999999
EEGNet,loso,arithmetic,15,4,4.7999999999999998,12,1.7888543819998317,54.399999999999999
EEGNet,loso,stroop,13,5,5.6923076923076925,13,2,45.600000000000001
Residual MLP,cross_task,arithmetic_to_stroop,13,0,3.6923076923076925,21,0,14.800000000000001
Residual MLP,cross_task,stroop_to_arithmetic,13,9,15.461538461538462,49,3.8340579025361627,58.200000000000003
Residual MLP,loso,arithmetic,15,2,3.3999999999999999,9,0.89442719099991586,42.600000000000001
Residual MLP,loso,stroop,13,4,4.2307692307692308,8,1.51657508881031,42.799999999999997
