model,protocol,direction,subject,seed,selected_epoch,inner_folds,inner_epoch_mean,inner_epoch_standard_deviation,inner_epoch_minimum,inner_epoch_maximum,inner_epoch_range,outer_training_recordings,outer_test_recordings,parameter_count
Residual MLP,cross_task,arithmetic_to_stroop,1,1335,1,2,1.5,0.70710678118654757,1,2,1,4,3,
Residual MLP,cross_task,arithmetic_to_stroop,1,1388,9,2,9,11.313708498984761,1,17,16,4,3,
Residual MLP,cross_task,arithmetic_to_stroop,1,1441,7,2,7,8.4852813742385695,1,13,12,4,3,
Residual MLP,cross_task,arithmetic_to_stroop,1,1494,22,2,22,29.698484809834994,1,43,42,4,3,
Residual MLP,cross_task,arithmetic_to_stroop,1,1547,2,2,2.5,2.1213203435596424,1,4,3,4,3,
Residual MLP,cross_task,arithmetic_to_stroop,2,1335,1,2,1,0,1,1,0,4,3,
Residual MLP,cross_task,arithmetic_to_stroop,2,1388,1,2,1.5,0.70710678118654757,1,2,1,4,3,
Residual MLP,cross_task,arithmetic_to_stroop,2,1441,1,2,1.5,0.70710678118654757,1,2,1,4,3,
Residual MLP,cross_task,arithmetic_to_stroop,2,1494,1,2,1,0,1,1,0,4,3,
Residual MLP,cross_task,arithmetic_to_stroop,2,1547,1,2,1,0,1,1,0,4,3,
Residual MLP,cross_task,arithmetic_to_stroop,3,1335,1,2,1,0,1,1,0,4,3,
Residual MLP,cross_task,arithmetic_to_stroop,3,1388,1,2,1,0,1,1,0,4,3,
Residual MLP,cross_task,arithmetic_to_stroop,3,1441,1,2,1,0,1,1,0,4,3,
Residual MLP,cross_task,arithmetic_to_stroop,3,1494,1,2,1,0,1,1,0,4,3,
Residual MLP,cross_task,arithmetic_to_stroop,3,1547,1,2,1,0,1,1,0,4,3,
Residual MLP,cross_task,arithmetic_to_stroop,4,1335,1,2,1,0,1,1,0,4,3,
Residual MLP,cross_task,arithmetic_to_stroop,4,1388,1,2,1,0,1,1,0,4,3,
Residual MLP,cross_task,arithmetic_to_stroop,4,1441,1,2,1,0,1,1,0,4,3,
Residual MLP,cross_task,arithmetic_to_stroop,4,1494,1,2,1,0,1,1,0,4,3,
Residual MLP,cross_task,arithmetic_to_stroop,4,1547,1,2,1,0,1,1,0,4,3,
Residual MLP,cross_task,arithmetic_to_stroop,5,1335,1,2,1,0,1,1,0,4,3,
Residual MLP,cross_task,arithmetic_to_stroop,5,1388,1,2,1,0,1,1,0,4,3,
Residual MLP,cross_task,arithmetic_to_stroop,5,1441,1,2,1,0,1,1,0,4,3,
Residual MLP,cross_task,arithmetic_to_stroop,5,1494,1,2,1,0,1,1,0,4,3,
Residual MLP,cross_task,arithmetic_to_stroop,5,1547,1,2,1,0,1,1,0,4,3,
Residual MLP,cross_task,arithmetic_to_stroop,6,1335,1,2,1,0,1,1,0,4,3,
Residual MLP,cross_task,arithmetic_to_stroop,6,1388,1,2,1,0,1,1,0,4,3,
Residual MLP,cross_task,arithmetic_to_stroop,6,1441,1,2,1,0,1,1,0,4,3,
Residual MLP,cross_task,arithmetic_to_stroop,6,1494,1,2,1,0,1,1,0,4,3,
Residual MLP,cross_task,arithmetic_to_stroop,6,1547,1,2,1.5,0.70710678118654757,1,2,1,4,3,
Residual MLP,cross_task,arithmetic_to_stroop,7,1335,2,2,2.5,2.1213203435596424,1,4,3,4,3,
Residual MLP,cross_task,arithmetic_to_stroop,7,1388,2,2,2.5,2.1213203435596424,1,4,3,4,3,
Residual MLP,cross_task,arithmetic_to_stroop,7,1441,2,2,2.5,2.1213203435596424,1,4,3,4,3,
Residual MLP,cross_task,arithmetic_to_stroop,7,1494,1,2,1.5,0.70710678118654757,1,2,1,4,3,
Residual MLP,cross_task,arithmetic_to_stroop,7,1547,9,2,9.5,12.020815280171307,1,18,17,4,3,
Residual MLP,cross_task,arithmetic_to_stroop,8,1335,5,2,5,5.6568542494923806,1,9,8,4,3,
Residual MLP,cross_task,arithmetic_to_stroop,8,1388,6,2,6.5,7.7781745930520225,1,12,11,4,3,
Residual MLP,cross_task,arithmetic_to_stroop,8,1441,4,2,4.5,4.9497474683058327,1,8,7,4,3,
Residual MLP,cross_task,arithmetic_to_stroop,8,1494,9,2,9.5,12.020815280171307,1,18,17,4,3,
Residual MLP,cross_task,arithmetic_to_stroop,8,1547,6,2,6,7.0710678118654755,1,11,10,4,3,
Residual MLP,cross_task,arithmetic_to_stroop,9,1335,1,2,1,0,1,1,0,4,3,
Residual MLP,cross_task,arithmetic_to_stroop,9,1388,1,2,1.5,0.70710678118654757,1,2,1,4,3,
Residual MLP,cross_task,arithmetic_to_stroop,9,1441,3,2,3,2.8284271247461903,1,5,4,4,3,
Residual MLP,cross_task,arithmetic_to_stroop,9,1494,1,2,1,0,1,1,0,4,3,
Residual MLP,cross_task,arithmetic_to_stroop,9,1547,1,2,1,0,1,1,0,4,3,
Residual MLP,cross_task,arithmetic_to_stroop,10,1335,1,2,1,0,1,1,0,4,3,
Residual MLP,cross_task,arithmetic_to_stroop,10,1388,1,2,1,0,1,1,0,4,3,
Residual MLP,cross_task,arithmetic_to_stroop,10,1441,1,2,1,0,1,1,0,4,3,
Residual MLP,cross_task,arithmetic_to_stroop,10,1494,1,2,1,0,1,1,0,4,3,
Residual MLP,cross_task,arithmetic_to_stroop,10,1547,1,2,1,0,1,1,0,4,3,
Residual MLP,cross_task,arithmetic_to_stroop,11,1335,1,2,1,0,1,1,0,4,3,
Residual MLP,cross_task,arithmetic_to_stroop,11,1388,1,2,1,0,1,1,0,4,3,
Residual MLP,cross_task,arithmetic_to_stroop,11,1441,1,2,1,0,1,1,0,4,3,
Residual MLP,cross_task,arithmetic_to_stroop,11,1494,1,2,1,0,1,1,0,4,3,
Residual MLP,cross_task,arithmetic_to_stroop,11,1547,1,2,1,0,1,1,0,4,3,
Residual MLP,cross_task,arithmetic_to_stroop,12,1335,2,2,2.5,2.1213203435596424,1,4,3,4,3,
Residual MLP,cross_task,arithmetic_to_stroop,12,1388,5,2,5.5,6.3639610306789276,1,10,9,4,3,
Residual MLP,cross_task,arithmetic_to_stroop,12,1441,1,2,1,0,1,1,0,4,3,
Residual MLP,cross_task,arithmetic_to_stroop,12,1494,1,2,1.5,0.70710678118654757,1,2,1,4,3,
Residual MLP,cross_task,arithmetic_to_stroop,12,1547,1,2,1.5,0.70710678118654757,1,2,1,4,3,
Residual MLP,cross_task,arithmetic_to_stroop,13,1335,1,2,1.5,0.70710678118654757,1,2,1,4,3,
Residual MLP,cross_task,arithmetic_to_stroop,13,1388,1,2,1,0,1,1,0,4,3,
Residual MLP,cross_task,arithmetic_to_stroop,13,1441,1,2,1,0,1,1,0,4,3,
Residual MLP,cross_task,arithmetic_to_stroop,13,1494,1,2,1,0,1,1,0,4,3,
Residual MLP,cross_task,arithmetic_to_stroop,13,1547,9,2,9.5,12.020815280171307,1,18,17,4,3,
Residual MLP,cross_task,stroop_to_arithmetic,1,1335,1,2,1,0,1,1,0,4,3,
Residual MLP,cross_task,stroop_to_arithmetic,1,1388,1,2,1,0,1,1,0,4,3,
Residual MLP,cross_task,stroop_to_arithmetic,1,1441,1,2,1.5,0.70710678118654757,1,2,1,4,3,
Residual MLP,cross_task,stroop_to_arithmetic,1,1494,1,2,1,0,1,1,0,4,3,
Residual MLP,cross_task,stroop_to_arithmetic,1,1547,1,2,1,0,1,1,0,4,3,
Residual MLP,cross_task,stroop_to_arithmetic,2,1335,8,2,8,9.8994949366116654,1,15,14,4,3,
Residual MLP,cross_task,stroop_to_arithmetic,2,1388,11,2,11,14.142135623730951,1,21,20,4,3,
Residual MLP,cross_task,stroop_to_arithmetic,2,1441,6,2,6.5,7.7781745930520225,1,12,11,4,3,
Residual MLP,cross_task,stroop_to_arithmetic,2,1494,30,2,30,41.012193308819754,1,59,58,4,3,
Residual MLP,cross_task,stroop_to_arithmetic,2,1547,4,2,4,4.2426406871192848,1,7,6,4,3,
Residual MLP,cross_task,stroop_to_arithmetic,3,1335,50,2,50.5,70.003571337468202,1,100,99,4,3,
