model,protocol,direction,subject,seeds,selected_epoch_mean,selected_epoch_standard_deviation,selected_epoch_minimum,selected_epoch_maximum,selected_epoch_range,inner_epoch_range_mean_across_seeds
EEG-Conformer,cross_task,arithmetic_to_stroop,1,5,16.399999999999999,5.5045435778091543,8,21,13,17.600000000000001
EEG-Conformer,cross_task,arithmetic_to_stroop,2,5,4,2,2,6,4,5.4000000000000004
EEG-Conformer,cross_task,arithmetic_to_stroop,3,5,4.4000000000000004,2.1908902300206643,2,8,6,6.7999999999999998
EEG-Conformer,cross_task,arithmetic_to_stroop,4,5,12.4,3.7815340802378077,8,18,10,7.4000000000000004
EEG-Conformer,cross_task,arithmetic_to_stroop,5,5,3,3.082207001484488,1,8,7,4
EEG-Conformer,cross_task,arithmetic_to_stroop,6,5,7.4000000000000004,4.6690470119715011,1,14,13,11.4
EEG-Conformer,cross_task,arithmetic_to_stroop,7,5,8.5999999999999996,7.1274118724821847,1,18,17,14.800000000000001
EEG-Conformer,cross_task,arithmetic_to_stroop,8,5,10.199999999999999,7.8866976612521409,2,20,18,16.399999999999999
EEG-Conformer,cross_task,arithmetic_to_stroop,9,5,4.7999999999999998,2.7748873851023217,2,8,6,7.5999999999999996
EEG-Conformer,cross_task,arithmetic_to_stroop,10,5,1.3999999999999999,0.54772255750516607,1,2,1,0.40000000000000002
EEG-Conformer,cross_task,arithmetic_to_stroop,11,5,1.6000000000000001,0.54772255750516607,1,2,1,1.2
EEG-Conformer,cross_task,arithmetic_to_stroop,12,5,2,2.2360679774997898,1,6,5,2.2000000000000002
EEG-Conformer,cross_task,arithmetic_to_stroop,13,5,7.2000000000000002,3.271085446759225,3,12,9,12
EEG-Conformer,cross_task,stroop_to_arithmetic,1,5,11.199999999999999,4.6043457732885349,6,16,10,12.4
EEG-Conformer,cross_task,stroop_to_arithmetic,2,5,9.4000000000000004,4.0987803063838397,6,16,10,12.4
EEG-Conformer,cross_task,stroop_to_arithmetic,3,5,1.3999999999999999,0.54772255750516607,1,2,1,0.59999999999999998
EEG-Conformer,cross_task,stroop_to_arithmetic,4,5,14.800000000000001,7.1203932475671587,7,26,19,27.600000000000001
EEG-Conformer,cross_task,stroop_to_arithmetic,5,5,16.800000000000001,14.601369798755183,4,38,34,32
EEG-Conformer,cross_task,stroop_to_arithmetic,6,5,1.2,0.44721359549995804,1,2,1,0.20000000000000001
EEG-Conformer,cross_task,stroop_to_arithmetic,7,5,10.4,4.7749345545253288,6,18,12,18.399999999999999
EEG-Conformer,cross_task,stroop_to_arithmetic,8,5,4,2.7386127875258306,1,8,7,3.7999999999999998
EEG-Conformer,cross_task,stroop_to_arithmetic,9,5,13.6,8.203657720797473,7,26,19,24.399999999999999
EEG-Conformer,cross_task,stroop_to_arithmetic,10,5,2.6000000000000001,1.9493588689617927,1,6,5,2.6000000000000001
EEG-Conformer,cross_task,stroop_to_arithmetic,11,5,26,9.2736184954957039,14,38,24,48.600000000000001
EEG-Conformer,cross_task,stroop_to_arithmetic,12,5,7,5.5677643628300215,2,15,13,10.4
EEG-Conformer,cross_task,stroop_to_arithmetic,13,5,6.2000000000000002,2.4899799195977463,3,8,5,8.5999999999999996
EEG-Conformer,loso,arithmetic,1,5,3.6000000000000001,1.6733200530681511,2,6,4,35
EEG-Conformer,loso,arithmetic,2,5,3.6000000000000001,1.1401754250991381,2,5,3,34
EEG-Conformer,loso,arithmetic,3,5,4.4000000000000004,1.51657508881031,2,6,4,38.799999999999997
EEG-Conformer,loso,arithmetic,4,5,6.5999999999999996,1.6733200530681511,4,8,4,37.399999999999999
