protocol,direction,outer_target_subject,seed_scope,inner_fold,recording_disjoint,participant_disjoint,outer_training_participants,outer_training_recordings,inner_training_participants,inner_training_recordings,inner_validation_participants,inner_validation_recordings,outer_test_participants,outer_test_recordings,inner_training_windows,inner_validation_windows,outer_test_windows,inner_training_subject_ids,inner_validation_subject_ids,inner_training_recording_ids,inner_validation_recording_ids,outer_test_recording_ids
cross_task,arithmetic_to_stroop,1,1335,1,True,False,1,4,1,2,1,2,1,3,370,326,496,1,1,arithmetic:s01:r1|arithmetic:s01:r3,arithmetic:s01:r0|arithmetic:s01:r2,stroop:s01:r1|stroop:s01:r2|stroop:s01:r3
cross_task,arithmetic_to_stroop,1,1335,2,True,False,1,4,1,2,1,2,1,3,326,370,496,1,1,arithmetic:s01:r0|arithmetic:s01:r2,arithmetic:s01:r1|arithmetic:s01:r3,stroop:s01:r1|stroop:s01:r2|stroop:s01:r3
cross_task,arithmetic_to_stroop,1,1388,1,True,False,1,4,1,2,1,2,1,3,321,375,496,1,1,arithmetic:s01:r1|arithmetic:s01:r2,arithmetic:s01:r0|arithmetic:s01:r3,stroop:s01:r1|stroop:s01:r2|stroop:s01:r3
cross_task,arithmetic_to_stroop,1,1388,2,True,False,1,4,1,2,1,2,1,3,375,321,496,1,1,arithmetic:s01:r0|arithmetic:s01:r3,arithmetic:s01:r1|arithmetic:s01:r2,stroop:s01:r1|stroop:s01:r2|stroop:s01:r3
cross_task,arithmetic_to_stroop,1,1441,1,True,False,1,4,1,2,1,2,1,3,321,375,496,1,1,arithmetic:s01:r1|arithmetic:s01:r2,arithmetic:s01:r0|arithmetic:s01:r3,stroop:s01:r1|stroop:s01:r2|stroop:s01:r3
cross_task,arithmetic_to_stroop,1,1441,2,True,False,1,4,1,2,1,2,1,3,375,321,496,1,1,arithmetic:s01:r0|arithmetic:s01:r3,arithmetic:s01:r1|arithmetic:s01:r2,stroop:s01:r1|stroop:s01:r2|stroop:s01:r3
cross_task,arithmetic_to_stroop,1,1494,1,True,False,1,4,1,2,1,2,1,3,321,375,496,1,1,arithmetic:s01:r1|arithmetic:s01:r2,arithmetic:s01:r0|arithmetic:s01:r3,stroop:s01:r1|stroop:s01:r2|stroop:s01:r3
cross_task,arithmetic_to_stroop,1,1494,2,True,False,1,4,1,2,1,2,1,3,375,321,496,1,1,arithmetic:s01:r0|arithmetic:s01:r3,arithmetic:s01:r1|arithmetic:s01:r2,stroop:s01:r1|stroop:s01:r2|stroop:s01:r3
cross_task,arithmetic_to_stroop,1,1547,1,True,False,1,4,1,2,1,2,1,3,370,326,496,1,1,arithmetic:s01:r1|arithmetic:s01:r3,arithmetic:s01:r0|arithmetic:s01:r2,stroop:s01:r1|stroop:s01:r2|stroop:s01:r3
cross_task,arithmetic_to_stroop,1,1547,2,True,False,1,4,1,2,1,2,1,3,326,370,496,1,1,arithmetic:s01:r0|arithmetic:s01:r2,arithmetic:s01:r1|arithmetic:s01:r3,stroop:s01:r1|stroop:s01:r2|stroop:s01:r3
cross_task,stroop_to_arithmetic,1,1335,1,True,False,1,4,1,2,1,2,1,3,357,296,539,1,1,stroop:s01:r1|stroop:s01:r3,stroop:s01:r0|stroop:s01:r2,arithmetic:s01:r1|arithmetic:s01:r2|arithmetic:s01:r3
cross_task,stroop_to_arithmetic,1,1335,2,True,False,1,4,1,2,1,2,1,3,296,357,539,1,1,stroop:s01:r0|stroop:s01:r2,stroop:s01:r1|stroop:s01:r3,arithmetic:s01:r1|arithmetic:s01:r2|arithmetic:s01:r3
cross_task,stroop_to_arithmetic,1,1388,1,True,False,1,4,1,2,1,2,1,3,287,366,539,1,1,stroop:s01:r1|stroop:s01:r2,stroop:s01:r0|stroop:s01:r3,arithmetic:s01:r1|arithmetic:s01:r2|arithmetic:s01:r3
cross_task,stroop_to_arithmetic,1,1388,2,True,False,1,4,1,2,1,2,1,3,366,287,539,1,1,stroop:s01:r0|stroop:s01:r3,stroop:s01:r1|stroop:s01:r2,arithmetic:s01:r1|arithmetic:s01:r2|arithmetic:s01:r3
cross_task,stroop_to_arithmetic,1,1441,1,True,False,1,4,1,2,1,2,1,3,287,366,539,1,1,stroop:s01:r1|stroop:s01:r2,stroop:s01:r0|stroop:s01:r3,arithmetic:s01:r1|arithmetic:s01:r2|arithmetic:s01:r3
cross_task,stroop_to_arithmetic,1,1441,2,True,False,1,4,1,2,1,2,1,3,366,287,539,1,1,stroop:s01:r0|stroop:s01:r3,stroop:s01:r1|stroop:s01:r2,arithmetic:s01:r1|arithmetic:s01:r2|arithmetic:s01:r3
cross_task,stroop_to_arithmetic,1,1494,1,True,False,1,4,1,2,1,2,1,3,287,366,539,1,1,stroop:s01:r1|stroop:s01:r2,stroop:s01:r0|stroop:s01:r3,arithmetic:s01:r1|arithmetic:s01:r2|arithmetic:s01:r3
cross_task,stroop_to_arithmetic,1,1494,2,True,False,1,4,1,2,1,2,1,3,366,287,539,1,1,stroop:s01:r0|stroop:s01:r3,stroop:s01:r1|stroop:s01:r2,arithmetic:s01:r1|arithmetic:s01:r2|arithmetic:s01:r3
cross_task,stroop_to_arithmetic,1,1547,1,True,False,1,4,1,2,1,2,1,3,357,296,539,1,1,stroop:s01:r1|stroop:s01:r3,stroop:s01:r0|stroop:s01:r2,arithmetic:s01:r1|arithmetic:s01:r2|arithmetic:s01:r3
cross_task,stroop_to_arithmetic,1,1547,2,True,False,1,4,1,2,1,2,1,3,296,357,539,1,1,stroop:s01:r0|stroop:s01:r2,stroop:s01:r1|stroop:s01:r3,arithmetic:s01:r1|arithmetic:s01:r2|arithmetic:s01:r3
